,taxon_name,mean.LMA.g.m2,mean.leafN.mg.g,mean.RMF.g.g,mean.SRL,LMA.kg.m2,SLA.m2.kg
1,Abutilon halophilum,125.5228737,NA,NA,NA,0.125522874,7.966675479
2,Acaena echinata,75.81501137,NA,NA,NA,0.075815011,13.19
3,Actinobole uliginosum,143.5391239,NA,NA,NA,0.143539124,6.9667417
4,Aira elegantissima,38.70215621,NA,NA,817.47,0.038702156,25.83835367
5,Aristida contorta,102.5626536,NA,NA,NA,0.102562654,9.750137748
6,Aristida holathera,120.1013511,7.901,NA,NA,0.120101351,8.326301
7,Asperula gunnii,47.5813927,NA,NA,NA,0.047581393,21.01661896
8,Asterolasia trymalioides,201.2357752,NA,NA,NA,0.201235775,4.969295341
9,Astrebla lappacea,92.59259259,NA,NA,NA,0.092592593,10.8
10,Astrebla pectinata,88.17228002,NA,NA,NA,0.08817228,11.34143293
11,Avena barbata,257.9041875,29.57599696,NA,52.18888889,0.257904188,3.877408931
12,Blennospora drummondii,53.4897395,NA,NA,NA,0.053489739,18.69517424
13,Brachyscome perpusilla,25.22117273,NA,NA,NA,0.025221173,39.64922689
14,Briza maxima,40.68463927,20.75,NA,120.3,0.040684639,24.57930113
15,Briza minor,24.65330143,17.3,NA,NA,0.024653301,40.56251869
16,Bromus catharticus,69.63788301,NA,NA,NA,0.069637883,14.36
17,Bromus hordeaceus,32.8937912,NA,NA,NA,0.032893791,30.40087395
18,Bromus rubens,53.43772401,28.76869872,NA,NA,0.053437724,18.71337185
19,Bulbine bulbosa,78.17770542,NA,NA,NA,0.078177705,12.79137057
20,Calotis hispidula,51.88860196,NA,NA,NA,0.051888602,19.27205518
21,Calotis lappulacea,51.19584715,NA,NA,NA,0.051195847,19.53283432
22,Calytrix tetragona,298.4876475,11.53144707,0.332159997,NA,0.298487647,3.350222391
23,Carex breviculmis,82.45518942,18.30157885,NA,NA,0.082455189,12.12779944
24,Carex echinata,56.34347895,NA,NA,NA,0.056343479,17.74828283
25,Carex hebes,52.36656595,NA,NA,NA,0.052366566,19.09615385
26,Celmisia costiniana,103.5675214,NA,NA,NA,0.103567521,9.655536667
