"","Taxon","site_code","mean.after.control.0","mean.after.drought.0","mean.before.control.0","mean.before.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"19","ACMISPON STRIGOSUS","gmmolar.us",0,0,3.416666667,2.771428571,-2.771428571,-3.416666667,0.645238095,29.9,0.0756,NA,21.8,NA,NA,NA,NA,"FORB","ANNUAL","LEGUME"
"20","ACMISPON STRIGOSUS","gmgranite.us",0,0.5,2.214285714,1.333333333,-0.833333333,-2.214285714,1.380952381,29.9,0.0756,NA,21.8,NA,NA,NA,NA,"FORB","ANNUAL","LEGUME"
"21","ACTINOBOLE ULIGINOSUM","cobar.au",0,0,1,1,-1,-1,0,NA,0.015,NA,18.35659068,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"22","ACTINOBOLE ULIGINOSUM","brokenh.au",0,0,4.333333333,3,-3,-4.333333333,1.333333333,NA,0.015,NA,18.35659068,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"43","AIRA CARYOPHYLLEA","lcsouth.cl",0,0,3.5,12,-12,-3.5,-8.5,19.9,0.155,NA,21.08,NA,NA,NA,0.21,"GRASS","ANNUAL","GRASS"
"44","AIRA CARYOPHYLLEA","scruzh.us",0,2.2727273,0,0,2.2727273,0,2.2727273,19.9,0.155,NA,21.08,NA,NA,NA,0.21,"GRASS","ANNUAL","GRASS"
"45","AIRA CARYOPHYLLEA","cowidrt.ca",1,0,2,0,0,-1,1,19.9,0.155,NA,21.08,NA,NA,NA,0.21,"GRASS","ANNUAL","GRASS"
"46","AIRA CARYOPHYLLEA","lcnorth.cl",0,0,0,0.5,-0.5,0,-0.5,19.9,0.155,NA,21.08,NA,NA,NA,0.21,"GRASS","ANNUAL","GRASS"
"47","AIRA ELEGANTISSIMA","jilpanger.au",0.625,0.5,0.75,0.5,0,-0.125,0.125,NA,0.45,NA,25.838354,0.066,NA,NA,0.228,"GRASS","ANNUAL","GRASS"
"59","ALTERNANTHERA SESSILIS","brokenh.au",0,0,1.5,1,-1,-1.5,0.5,20,0.3,9.62,13.2,NA,NA,46.03,0.292,"FORB","ANNUAL","FORB"
"60","ALYSSUM DESERTORUM","nplatte.us",2,2,0,0,2,2,0,NA,0.1,NA,27.17578947,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"61","AMBROSIA ARTEMISIIFOLIA","cedarsav.us",8,1.5,0,0,1.5,8,-6.5,23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36,"FORB","ANNUAL","FORB"
"62","AMBROSIA ARTEMISIIFOLIA","esw.ca",0,0,0,1,-1,0,-1,23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36,"FORB","ANNUAL","FORB"
"63","AMBROSIA DELTOIDEA","capwhite.us",0,0,0.5,0.5,-0.5,-0.5,0,44.19,0.4,NA,2.617596281,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"64","AMBROSIA DELTOIDEA","capmcd.us",0,0,0.5,0.5,-0.5,-0.5,0,44.19,0.4,NA,2.617596281,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"75","AMPHICARPAEA BRACTEATA","cedarsav.us",1,0,3,0,0,-2,2,23.5625,0.1525,NA,31.34796238,NA,NA,NA,NA,"FORB","ANNUAL","LEGUME"
"76","ANAGALLIS ARVENSIS","marcdrt.ar",0,0,0,2,-2,0,-2,25,0.187,NA,28.34396552,0.315,NA,NA,NA,"FORB","ANNUAL","FORB"
"77","ANAGALLIS ARVENSIS","scruzh.us",4.516493875,5.6818182,2.3255814,0,5.6818182,2.190912475,3.490905725,25,0.187,NA,28.34396552,0.315,NA,NA,NA,"FORB","ANNUAL","FORB"
"85","ANDROSACE SEPTENTRIONALIS","mattheis.ca",1,1,0,0,1,1,0,19.4925,0.011,12.29704857,30.84123333,0.1,NA,79.99696667,NA,"FORB","ANNUAL","FORB"
"86","ANDROSACE SEPTENTRIONALIS","kernb.ca",0.5,0.5,0.5,0.5,0,0,0,19.4925,0.011,12.29704857,30.84123333,0.1,NA,79.99696667,NA,"FORB","ANNUAL","FORB"
"99","APERA SPICA-VENTI","baddrt.de",4.7625,9.366666667,1.775,7,2.366666667,2.9875,-0.620833333,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,"GRASS","ANNUAL","GRASS"
"100","APHANES ARVENSIS","jenadrt.de",0.5,0,0,0,0,0.5,-0.5,15,0.1,NA,35.07,0.05,NA,21.0833,NA,"FORB","ANNUAL","FORB"
"103","ARENARIA SERPYLLIFOLIA","jenadrt.de",0.5,0.5,0,0,0.5,0.5,0,12,0.075,13.275,23.7,0.21,0.067,627.505,0.207422972,"FORB","ANNUAL","FORB"
"104","ARENARIA SERPYLLIFOLIA","kiskun.hu",0.01,0.01,0.505,0,0.01,-0.495,0.505,12,0.075,13.275,23.7,0.21,0.067,627.505,0.207422972,"FORB","ANNUAL","FORB"
"108","ARISTIDA HOLATHERA","ethadb.au",14.5,3,2.75,1.5,1.5,11.75,-10.25,8.4875,0.7,2.975,5.62,NA,0.745,NA,0.375,"GRASS","ANNUAL","GRASS"
"109","ARISTIDA HOLATHERA","ethadn.au",0,2.5,0,4,-1.5,0,-1.5,8.4875,0.7,2.975,5.62,NA,0.745,NA,0.375,"GRASS","ANNUAL","GRASS"
"145","ASTRAGALUS NUTTALLIANUS","capwhite.us",0.5,0.75,0,0.5,0.25,0.5,-0.25,NA,NA,NA,20.29476228,0.13,NA,9.530497,0.2,"LEGUME","ANNUAL","LEGUME"
"146","ASTRAGALUS NUTTALLIANUS","capmcd.us",1,0.75,0,0,0.75,1,-0.25,NA,NA,NA,20.29476228,0.13,NA,9.530497,0.2,"LEGUME","ANNUAL","LEGUME"
"150","ATRIPLEX PROSTRATA","baddrt.de",0,0,0,0.5,-0.5,0,-0.5,NA,0.916666667,NA,19.49884967,NA,0.262341772,153.549483,0.1807,"FORB","ANNUAL","FORB"
"151","AVENA BARBATA","naposta.ar",15,20,5,5,15,10,5,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"152","AVENA BARBATA","scruzm.us",75.91367574,66.17974404,86.6924611,81.37091954,-15.1911755,-10.77878536,-4.41239014,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
