,site_code,Taxon,mean.after.control.0,mean.after.drought.0,mean.before.control.0,mean.before.drought.0,drought.after.before,control.after.before,cover.change
275,capwhite.us,PECTOCARYA HETEROCARPA,1.25,0,0.5,0.5,-0.5,0.75,-1.25
276,capwhite.us,PECTOCARYA PLATYCARPA,1.25,0.5,0.5,0,0.5,0.75,-0.25
277,capwhite.us,PECTOCARYA RECURVATA,0.5,0.5,0.5,0.875,-0.375,0,-0.375
278,capwhite.us,PHYSARIA GORDONII,0.5,0.5,2.333333333,4.6,-4.1,-1.833333333,-2.266666667
279,capwhite.us,PLANTAGO OVATA,9.5,4.571428571,1.428571429,2.857142857,1.714285714,8.071428571,-6.357142857
280,capwhite.us,PLANTAGO PATAGONICA,1.5,1,0.714285714,0.583333333,0.416666667,0.785714286,-0.369047619
281,capwhite.us,SCHISMUS ARABICUS,35.71428571,7.714285714,24.71428571,32,-24.28571429,11,-35.28571429
282,capwhite.us,VULPIA OCTOFLORA,0.5,0,0,0.5,-0.5,0.5,-1
283,cdpt_drt.us,ARISTIDA PURPUREA,6,4.333333333,0,5,-0.666666667,6,-6.666666667
284,cdpt_drt.us,ARTEMISIA FILIFOLIA,8,0,4.5,0,0,3.5,-3.5
285,cdpt_drt.us,ARTEMISIA FRIGIDA,4.666666667,11.5,6.2,12.5,-1,-1.533333333,0.533333333
286,cdpt_drt.us,ASCLEPIAS PUMILA,0,0.1,0,0,0.1,0,0.1
287,cdpt_drt.us,ASTRAGALUS LAXMANNII,0.1,0,0,0,0,0.1,-0.1
288,cdpt_drt.us,BOUTELOUA GRACILIS,15,12.83333333,11.66666667,10.66666667,2.166666667,3.333333333,-1.166666667
289,cdpt_drt.us,BROMUS JAPONICUS,2,4,5.5,1,3,-3.5,6.5
290,cdpt_drt.us,BUCHLOE DACTYLOIDES,1,0,2,0,0,-1,1
291,cdpt_drt.us,CAREX FILIFOLIA,18.5,19.16666667,20.16666667,20.5,-1.333333333,-1.666666667,0.333333333
292,cdpt_drt.us,CHENOPODIUM ALBUM,0.1,0.1,0,0,0.1,0.1,0
293,cdpt_drt.us,COREOPSIS TINCTORIA,3.5,2.25,2,1.75,0.5,1.5,-1
294,cdpt_drt.us,DALEA ENNEANDRA,0.5,0,0.5,0,0,0,0
295,cdpt_drt.us,DICHANTHELIUM OLIGOSANTHES,3,0.5,1.25,2,-1.5,1.75,-3.25
296,cdpt_drt.us,ELYMUS ELYMOIDES,0,1,0,0,1,0,1
297,cdpt_drt.us,ESCOBARIA VIVIPARA,0.18,0,0.3,0.5,-0.5,-0.12,-0.38
298,cdpt_drt.us,GAURA COCCINEA,2,1,0.1,0.5,0.5,1.9,-1.4
299,cdpt_drt.us,HELIANTHUS ANNUUS,0.5,0.866666667,0,0,0.866666667,0.5,0.366666667
300,cdpt_drt.us,HESPEROSTIPA COMATA,10.16666667,15.5,13.66666667,10.83333333,4.666666667,-3.5,8.166666667
301,cdpt_drt.us,HETEROTHECA VILLOSA,0,0.55,0,0.3,0.25,0,0.25
302,cdpt_drt.us,KOELERIA MACRANTHA,10,12,0,14,-2,10,-12
303,cdpt_drt.us,LEPIDIUM DENSIFLORUM,0,0.1,0,0,0.1,0,0.1
304,cdpt_drt.us,LIATRIS PUNCTATA,0.5,1,0.5,0.5,0.5,0,0.5
305,cdpt_drt.us,LINUM RIGIDUM,0.1,0,0,0,0,0.1,-0.1
306,cdpt_drt.us,LITHOSPERMUM INCISUM,2.75,2.166666667,1.75,1.916666667,0.25,1,-0.75
307,cdpt_drt.us,LYGODESMIA JUNCEA,1.2,0.55,1,0.5,0.05,0.2,-0.15
308,cdpt_drt.us,MACHAERANTHERA PINNATIFIDA,0.3,0.1,0.5,0.5,-0.4,-0.2,-0.2
309,cdpt_drt.us,OPUNTIA POLYACANTHA,0.1,1,0,0,1,0.1,0.9
310,cdpt_drt.us,PENSTEMON ALBIDUS,0,0.5,0,0,0.5,0,0.5
311,cdpt_drt.us,PLANTAGO PATAGONICA,0.1,0,0,0,0,0.1,-0.1
312,cdpt_drt.us,POLYGALA ALBA,0,2,0.5,1,1,-0.5,1.5
313,cdpt_drt.us,PSORALIDIUM TENUIFLORUM,1.666666667,6.366666667,0.3,10.2,-3.833333333,1.366666667,-5.2
314,cdpt_drt.us,SPHAERALCEA COCCINEA,1,1.9,0.666666667,0.9,1,0.333333333,0.666666667
315,cdpt_drt.us,SPOROBOLUS CRYPTANDRUS,3,1.125,7,1,0.125,-4,4.125
316,cdpt_drt.us,TRADESCANTIA OCCIDENTALIS,1,0,0.5,0,0,0.5,-0.5
317,cdpt_drt.us,TRAGOPOGON DUBIUS,0,0.1,0.5,0,0.1,-0.5,0.6
318,cdpt_drt.us,VERBENA STRICTA,0,0.1,0,0.1,0,0,0
319,cedarsav.us,AMBROSIA ARTEMISIIFOLIA,8,1.5,0,0,1.5,8,-6.5
320,cedarsav.us,AMORPHA CANESCENS,2.333333333,6.75,9.5,9.333333333,-2.583333333,-7.166666667,4.583333333
321,cedarsav.us,AMPHICARPAEA BRACTEATA,1,0,3,0,0,-2,2
322,cedarsav.us,ANDROPOGON GERARDII,17.14285714,8.8,7.666666667,9.75,-0.95,9.476190476,-10.42619048
323,cedarsav.us,ARTEMISIA LUDOVICIANA,1,1,1.6,3,-2,-0.6,-1.4
324,cedarsav.us,CALAMOVILFA LONGIFOLIA,5,5,0,0,5,5,0
325,cedarsav.us,COMANDRA UMBELLATA,9.666666667,6.666666667,1.6,2,4.666666667,8.066666667,-3.4
326,cedarsav.us,COREOPSIS PALMATA,27.5,6.666666667,11,6,0.666666667,16.5,-15.83333333
327,cedarsav.us,DIGITARIA COGNATA,2,0,0,0,0,2,-2
328,cedarsav.us,EUTHAMIA GRAMINIFOLIA,4.333333333,4,5.5,8,-4,-1.166666667,-2.833333333
329,cedarsav.us,HELIANTHEMUM BICKNELLII,0,4,0,1,3,0,3
330,cedarsav.us,LATHYRUS VENOSUS,5,4.5,4.9,4.75,-0.25,0.1,-0.35
331,cedarsav.us,LESPEDEZA CAPITATA,0,2,0,0,2,0,2
332,cedarsav.us,LITHOSPERMUM CANESCENS,3,4.333333333,2.5,0,4.333333333,0.5,3.833333333
333,cedarsav.us,MUHLENBERGIA RACEMOSA,5,0,5.2,0,0,-0.2,0.2
334,cedarsav.us,PANICUM ACUMINATUM,3,4,3.2,2,2,-0.2,2.2
335,cedarsav.us,PANICUM OLIGOSANTHES,5,0,2.5,2,-2,2.5,-4.5
336,cedarsav.us,PANICUM VIRGATUM,2,0,0,0,0,2,-2
337,cedarsav.us,PENSTEMON GRACILIS,0,1,0,0,1,0,1
338,cedarsav.us,POA PRATENSIS,5.4,5.6,5.857142857,6.4,-0.8,-0.457142857,-0.342857143
339,cedarsav.us,QUERCUS ELLIPSOIDALIS,0,20,0,21,-1,0,-1
340,cedarsav.us,QUERCUS MACROCARPA,6,15,10,15,0,-4,4
341,cedarsav.us,ROSA ARKANSANA,0,3,1,3,0,-1,1
342,cedarsav.us,SCHIZACHYRIUM SCOPARIUM,20.625,17,14.28571429,16,1,6.339285714,-5.339285714
343,cedarsav.us,SOLIDAGO MISSOURIENSIS,6,0,15,0,0,-9,9
344,cedarsav.us,SORGHASTRUM NUTANS,12.5,25,23.5,17.2,7.8,-11,18.8
345,cedarsav.us,STIPA SPARTEA,15,0,3.666666667,3.5,-3.5,11.33333333,-14.83333333
346,cedarsav.us,SYMPHYOTRICHUM OOLENTANGIENSE,7.666666667,0,6.6,2,-2,1.066666667,-3.066666667
347,cedartrait.us,ACHILLEA MILLEFOLIUM,1,1,3.5,1,0,-2.5,2.5
348,cedartrait.us,AMORPHA CANESCENS,3,0,6.166666667,2.5,-2.5,-3.166666667,0.666666667
349,cedartrait.us,ANDROPOGON GERARDII,17,6.4,13,5,1.4,4,-2.6
350,cedartrait.us,BAPTISIA ALBA,11.33333333,0,17.5,0,0,-6.166666667,6.166666667
351,cedartrait.us,BOUTELOUA GRACILIS,0,8,2,1.5,6.5,-2,8.5
352,cedartrait.us,COREOPSIS PALMATA,25,13,17.25,9,4,7.75,-3.75
353,cedartrait.us,DALEA VILLOSA,3.166666667,3,10.33333333,5.75,-2.75,-7.166666667,4.416666667
354,cedartrait.us,DIGITARIA COGNATA,2,0,0,0,0,2,-2
355,cedartrait.us,KOELERIA MICRATHERA,5,4,2,2.5,1.5,3,-1.5
356,cedartrait.us,LESPEDEZA CAPITATA,2.333333333,2.75,5.3,9,-6.25,-2.966666667,-3.283333333
357,cedartrait.us,LIATRIS ASPERA,8.428571429,11.8,8.555555556,13.5,-1.7,-0.126984127,-1.573015873
358,cedartrait.us,MONARDA FISTULOSA,2,8,3,11,-3,-1,-2
359,cedartrait.us,PANICUM OLIGOSANTHES,0,2,2,3.5,-1.5,-2,0.5
360,cedartrait.us,PANICUM VIRGATUM,1,4,0,0,4,1,3
361,cedartrait.us,PETALOSTEMON CANDIDUS,1,1,1.625,1.5,-0.5,-0.625,0.125
362,cedartrait.us,PETALOSTEMON PURPUREUS,5.777777778,5.666666667,9.1,8.7,-3.033333333,-3.322222222,0.288888889
363,cedartrait.us,POA PRATENSIS,4.125,2.6,3.111111111,3.2,-0.6,1.013888889,-1.613888889
364,cedartrait.us,ROSA ARKANSANA,12,15,9,11,4,3,1
365,cedartrait.us,SCHIZACHYRIUM SCOPARIUM,10.11111111,6,9.555555556,7.4,-1.4,0.555555556,-1.955555556
366,cedartrait.us,SOLIDAGO NEMORALIS,10,7,10.14285714,12,-5,-0.142857143,-4.857142857
367,cedartrait.us,SOLIDAGO RIGIDA,20,9,12.33333333,9,0,7.666666667,-7.666666667
368,cedartrait.us,SORGHASTRUM NUTANS,15,2,6.6,7.5,-5.5,8.4,-13.9
369,cedartrait.us,TARAXACUM CAMPYLODES,0,5,1.25,1.333333333,3.666666667,-1.25,4.916666667
370,cerrillos.ar,ALLIONIA INCARNATA,0.94,1.25,0,0,1.25,0.94,0.31
371,cerrillos.ar,ARISTIDA MENDOCINA,11.67,19.37666667,17.19,20.42,-1.043333333,-5.52,4.476666667
372,cerrillos.ar,BOERHAVIA DIFFUSA,0,0.63,0,0,0.63,0,0.63
373,cerrillos.ar,BOUTELOUA ARISTIDOIDES,12.815,36.565,0,2.505,34.06,12.815,21.245
374,cerrillos.ar,BRACHIARIA PAUCISPICATA,0.63,0,0,0,0,0.63,-0.63
375,cerrillos.ar,CENCHRUS CILIARIS,0,1.25,0,0,1.25,0,1.25
376,cerrillos.ar,CORDOBIA ARGENTEA,16.46333333,8.753333333,20.005,6.043333333,2.71,-3.541666667,6.251666667
377,cerrillos.ar,COTTEA PAPPOPHOROIDES,8.126666667,1.25,0,0,1.25,8.126666667,-6.876666667
378,cerrillos.ar,DIGITARIA CALIFORNICA,0.63,0,0.63,0,0,0,0
379,cerrillos.ar,ERAGROSTIS ORTHOCLADA,4.38,0.63,0.63,0,0.63,3.75,-3.12
380,cerrillos.ar,EUPHORBIA EICHLERI,0,1.875,0,0,1.875,0,1.875
381,cerrillos.ar,GAYA PARVIFLORA,2.505,1.88,5,4.38,-2.5,-2.495,-0.005
382,cerrillos.ar,GOUINIA PARAGUAYENSIS,2.815,7.5,2.505,8.13,-0.63,0.31,-0.94
383,cerrillos.ar,LARREA DIVARICATA,32.29333333,19.50333333,36.04333333,17.08666667,2.416666667,-3.75,6.166666667
384,cerrillos.ar,LEPTOCHLOA DUBIA,3.75,0,0,0,0,3.75,-3.75
385,cerrillos.ar,PAPPOPHORUM KRAPOVICKASII,0.836666667,17.50333333,0.63,14.17,3.333333333,0.206666667,3.126666667
386,cerrillos.ar,PROSOPIS PUGIONATA,10,0,4.38,0,0,5.62,-5.62
387,cerrillos.ar,PROSOPIS TORQUATA,3.75,0,3.75,4.38,-4.38,0,-4.38
388,cerrillos.ar,RHYNCHOSIDA PHYSOCALYX,0,1.25,0,0,1.25,0,1.25
389,cerrillos.ar,SETARIA PAMPEANA,20.00333333,3.75,14.16666667,10,-6.25,5.836666667,-12.08666667
390,cerrillos.ar,SIDA ARGENTINA,3.96,2.086666667,0,0,2.086666667,3.96,-1.873333333
391,cerrillos.ar,TRAGIA HIERONYMI,0.63,0,0,0,0,0.63,-0.63
392,cerrillos.ar,XEROALOYSIA OVATIFOLIA,1.255,0,0.63,0,0,0.625,-0.625
393,chacra.ar,BACCHARIS GILLIESII,0,5,1.5,1.5,3.5,-1.5,5
394,chacra.ar,NASSELLA LONGIGLUMIS,50,36.66666667,21.66666667,36.66666667,0,28.33333333,-28.33333333
395,chacra.ar,NASSELLA TENUIS,1,3.5,10.5,5,-1.5,-9.5,8
396,chacra.ar,NOTICASTRUM SERICEUM,0,0.5,0,0,0.5,0,0.5
397,chacra.ar,PAPPOPHORUM MUCRONULATUM,0,13,5,3.25,9.75,-5,14.75
398,chacra.ar,POA LIGULARIS,5,1,3.833333333,1.5,-0.5,1.166666667,-1.666666667
399,chacra.ar,SCHINUS JOHNSTONII,1,0,1.5,1.5,-1.5,-0.5,-1
400,charleville.au,EREMOPHILA GILESII,45,46.66666667,41.66666667,35,11.66666667,3.333333333,8.333333333
401,chilcasdrt.ar,ACMELLA DECUMBENS,0.25,0.25,0,0,0.25,0.25,0
402,chilcasdrt.ar,ALLIUM NEAPOLITANUM,0.25,0.25,0,0,0.25,0.25,0
403,chilcasdrt.ar,AMBROSIA TENUIFOLIA,2.583333333,2.958333333,0,0,2.958333333,2.583333333,0.375
404,chilcasdrt.ar,ASTER SQUAMATUS,0,0.25,0,0,0.25,0,0.25
405,chilcasdrt.ar,BACCHARIS PINGRAEA,2.5,5,0,0,5,2.5,2.5
406,chilcasdrt.ar,BRIZA SUBARISTATA,0,5,0,0,5,0,5
407,chilcasdrt.ar,CAREX BONARIENSIS,1,0,0,0,0,1,-1
408,chilcasdrt.ar,CAREX PHALAROIDES,2.5,0.25,0,0,0.25,2.5,-2.25
409,chilcasdrt.ar,CIRSIUM VULGARE,1,0,0,0,0,1,-1
410,chilcasdrt.ar,CYPELLA HERBERTII,0,0.25,0,0,0.25,0,0.25
411,chilcasdrt.ar,CYPERUS ERAGROSTIS,1,0.25,0,0,0.25,1,-0.75
412,chilcasdrt.ar,DANTHONIA MONTEVIDENSIS,1,0,0,0,0,1,-1
413,chilcasdrt.ar,ELEOCHARIS VIRIDANS,1.75,0,0,0,0,1.75,-1.75
414,chilcasdrt.ar,ERIGERON BONARIENSIS,5,1,0,0,1,5,-4
415,chilcasdrt.ar,FESTUCA ARUNDINACEA,64.16666667,66.66666667,0,0,66.66666667,64.16666667,2.5
416,chilcasdrt.ar,HYDROCOTYLE BONARIENSIS,1.375,0,0,0,0,1.375,-1.375
417,chilcasdrt.ar,JAEGERIA HIRTA,0,0.25,0,0,0.25,0,0.25
418,chilcasdrt.ar,LEERSIA HEXANDRA,0.875,0.625,0,0,0.625,0.875,-0.25
419,chilcasdrt.ar,LOTUS GLABER,3.1875,3,0,0,3,3.1875,-0.1875
420,chilcasdrt.ar,LYTHRUM HYSSOPIFOLIA,0.25,0,0,0,0,0.25,-0.25
421,chilcasdrt.ar,PANICUM BERGII,1.375,0.25,0,0,0.25,1.375,-1.125
422,chilcasdrt.ar,PANICUM GOUINII,1.5625,0,0,0,0,1.5625,-1.5625
423,chilcasdrt.ar,PANICUM SABULORUM,1.375,0,0,0,0,1.375,-1.375
424,chilcasdrt.ar,PASPALIDIUM PALUDIVAGUM,4.791666667,10,0,0,10,4.791666667,5.208333333
425,chilcasdrt.ar,PASPALUM DILATATUM,19.33333333,17.08333333,0,0,17.08333333,19.33333333,-2.25
426,chilcasdrt.ar,PASPALUM VAGINATUM,0.25,0.25,0,0,0.25,0.25,0
427,chilcasdrt.ar,PHYLA CANESCENS,0,5.5,0,0,5.5,0,5.5
428,chilcasdrt.ar,PLANTAGO LANCEOLATA,1.375,0,0,0,0,1.375,-1.375
429,chilcasdrt.ar,POLYPOGON ELONGATUS,0.625,0,0,0,0,0.625,-0.625
430,chilcasdrt.ar,SETARIA PARVIFLORA,1,0,0,0,0,1,-1
431,chilcasdrt.ar,STEINCHISMA HIANS,5,3,0,0,3,5,-2
432,chilcasdrt.ar,STENOTAPHRUM SECUNDATUM,5.125,5,0,0,5,5.125,-0.125
433,ciempoz.es,CENTAUREA HYSSOPIFOLIA,0,1.5,0,2.04,-0.54,0,-0.54
434,ciempoz.es,GYPSOPHILA STRUTHIUM,4.6725,8.034,1.08,3.145,4.889,3.5925,1.2965
435,ciempoz.es,HELIANTHEMUM SQUAMATUM,5.405,1.514166667,0.67,1.1775,0.336666667,4.735,-4.398333333
436,ciempoz.es,LEPIDIUM SUBULATUM,15.94071429,12.93785714,16.40857143,15.48,-2.542142857,-0.467857143,-2.074285714
437,ciempoz.es,THYMUS VULGARIS,8.52375,7.914166667,8.98,8.71,-0.795833333,-0.45625,-0.339583333
438,cmss.us,ACHILLEA MILLEFOLIUM,2,0,0,20,-20,2,-22
439,cmss.us,ASTRAGALUS MISER,6.333333333,2,2,10,-8,4.333333333,-12.33333333
440,cmss.us,CERASTIUM ARVENSE,2,5,0,0,5,2,3
441,cmss.us,CHRYSOTHAMNUS VISCIDIFLORUS,10,0,0,0,0,10,-10
442,cmss.us,ELYMUS SPICATUS,12.5,10,27.5,5,5,-15,20
443,cmss.us,EREMOGONE CONGESTA,2,5,3.5,25,-20,-1.5,-18.5
444,cmss.us,FESTUCA IDAHOENSIS,27.5,25,13.5,5,20,14,6
445,cmss.us,PHLOX MULTIFLORA,10,13.33333333,0,0,13.33333333,10,3.333333333
446,cmss.us,POA CUSICKII,10,10,0,0,10,10,0
447,cmss.us,PTERYXIA HENDERSONII,0,25,0,0,25,0,25
448,cmss.us,SEDUM LANCEOLATUM,2,2,14,20,-18,-12,-6
449,cobar.au,CALOTIS LAPPULACEA,1.333333333,1,1,0,1,0.333333333,0.666666667
450,cobar.au,EMEX AUSTRALIS,0,1,0,0,1,0,1
451,cobar.au,EREMOPHILA DUTTONII,1,0,1,0,0,0,0
452,cobar.au,PTILOTUS ATRIPLICIFOLIUS,8.25,1.5,3,1,0.5,5.25,-4.75
453,cobar.au,SCLEROLAENA DIACANTHA,1,1,3.333333333,5,-4,-2.333333333,-1.666666667
454,cobar.au,SIDA PETROPHILA,1,0,0,0,0,1,-1
455,cobar.au,STIPA SCABRA,3.5,12,4,1,11,-0.5,11.5
456,cobar.au,TRIPOGON LOLIIFORMIS,1.5,1,1,0,1,0.5,0.5
457,cowidrt.ca,ACER MACROPHYLLUM,2,1,0,0,1,2,-1
458,cowidrt.ca,ACMISPON PARVIFLORUS,1,1,1,0,1,0,1
459,cowidrt.ca,AIRA CARYOPHYLLEA,1,0,2,0,0,-1,1
460,cowidrt.ca,ALOPECURUS PRATENSIS,1,0,0,0,0,1,-1
461,cowidrt.ca,ANTHOXANTHUM ODORATUM,3.333333333,3.4,8.5,7.2,-3.8,-5.166666667,1.366666667
462,cowidrt.ca,BERBERIS NERVOSA,0,50,0,34,16,0,16
463,cowidrt.ca,BROMUS STERILIS,13,3.333333333,12,1.5,1.833333333,1,0.833333333
464,cowidrt.ca,CAMASSIA QUAMASH,3,5,3,1,4,0,4
465,cowidrt.ca,CAREX INOPS,6.25,3,7.5,4,-1,-1.25,0.25
466,cowidrt.ca,CERASTIUM ARVENSE,2,1.5,1.5,1.5,0,0.5,-0.5
467,cowidrt.ca,CERASTIUM GLOMERATUM,1,1,3,1,0,-2,2
468,cowidrt.ca,CLAYTONIA PERFOLIATA,11.5,21.66666667,0,0,21.66666667,11.5,10.16666667
469,cowidrt.ca,CYTISUS SCOPARIUS,3,0,5.5,5.666666667,-5.666666667,-2.5,-3.166666667
470,cowidrt.ca,DACTYLIS GLOMERATA,6.75,4.25,13.8,6.2,-1.95,-7.05,5.1
471,cowidrt.ca,DELPHINIUM MENZIESII,4.5,2,1.333333333,0,2,3.166666667,-1.166666667
472,cowidrt.ca,DODECATHEON HENDERSONII,2.333333333,2.666666667,2.333333333,2.333333333,0.333333333,0,0.333333333
473,cowidrt.ca,ELYMUS GLAUCUS,0,6,2,3.666666667,2.333333333,-2,4.333333333
474,cowidrt.ca,ERYTHRONIUM OREGONUM,1.5,2,0,0,2,1.5,0.5
475,cowidrt.ca,GALIUM APARINE,1,1,1,2.5,-1.5,0,-1.5
476,cowidrt.ca,GERANIUM MOLLE,3,3.5,1.5,2,1.5,1.5,0
477,cowidrt.ca,LATHYRUS SPHAERICUS,2,1.5,7,5,-3.5,-5,1.5
478,cowidrt.ca,LOMATIUM NUDICAULE,2,0,2,0,0,0,0
479,cowidrt.ca,LOMATIUM UTRICULATUM,9.5,3,5,1.333333333,1.666666667,4.5,-2.833333333
480,cowidrt.ca,MELICA SUBULATA,8.333333333,17.5,9.333333333,19,-1.5,-1,-0.5
481,cowidrt.ca,PLANTAGO LANCEOLATA,0,2,0,0,2,0,2
482,cowidrt.ca,POA PRATENSIS,3.8,2.8,6.2,2.4,0.4,-2.4,2.8
483,cowidrt.ca,QUERCUS GARRYANA,3,4,3.5,4.5,-0.5,-0.5,0
484,cowidrt.ca,RANUNCULUS OCCIDENTALIS,2,2,1,1,1,1,0
485,cowidrt.ca,SANICULA CRASSICAULIS,2.5,7.333333333,2.333333333,5,2.333333333,0.166666667,2.166666667
486,cowidrt.ca,SYMPHORICARPOS ALBUS,10.5,7.8,16.25,11,-3.2,-5.75,2.55
487,cowidrt.ca,TRIFOLIUM DUBIUM,3,0,2,0,0,1,-1
488,cowidrt.ca,VALERIANA samolifolia,4,13,1.333333333,5.25,7.75,2.666666667,5.083333333
489,cowidrt.ca,VALERIANELLA LOCUSTA,1.8,2.5,1.8,2,0.5,0,0.5
490,cowidrt.ca,VERONICA ARVENSIS,1,1,1.333333333,1.333333333,-0.333333333,-0.333333333,0
491,cowidrt.ca,VICIA HIRSUTA,1.8,2.25,3.6,3.4,-1.15,-1.8,0.65
492,cowidrt.ca,VICIA SATIVA,1,1.75,2.8,2.4,-0.65,-1.8,1.15
493,credoj.au,CEPHALIPTERUM DRUMMONDII,0.5,0.5,0.5,0,0.5,0,0.5
494,credoj.au,CUCUMIS MYRIOCARPUS,0,0.5,0,0,0.5,0,0.5
495,credoj.au,CUSCUTA PLANIFLORA,0.5,0.5,0.625,1,-0.5,-0.125,-0.375
496,credoj.au,ENNEAPOGON CAERULESCENS,8.4,7.333333333,17,16.5,-9.166666667,-8.6,-0.566666667
497,credoj.au,ENNEAPOGON POLYPHYLLUS,5.25,0,10.25,0.75,-0.75,-5,4.25
498,credoj.au,ERAGROSTIS DIELSII,1,0,5,15,-15,-4,-11
499,credoj.au,ERODIUM AUREUM,0.5,0,0.5,0,0,0,0
500,credoj.au,EUPHORBIA DRUMMONDII,0,0.5,0.5,0,0.5,-0.5,1
501,credoj.au,GOODENIA MIMULOIDES,0.5,0,0.5,0.5,-0.5,0,-0.5
502,credoj.au,ISOETOPSIS GRAMINIFOLIA,0.5,0,0,0,0,0.5,-0.5
503,credoj.au,MAIREANA CARNOSA,4.8,1.4,0.7,0.6,0.8,4.1,-3.3
504,credoj.au,MAIREANA SEDIFOLIA,1.875,3.4,1.4,5.375,-1.975,0.475,-2.45
505,credoj.au,MAIREANA TRICHOPTERA,0.5,0.5,0.5,0.5,0,0,0
506,credoj.au,MEDICAGO MINIMA,8,0,0.666666667,0.5,-0.5,7.333333333,-7.833333333
507,credoj.au,PTILOTUS OBOVATUS,2.25,0.75,1.5,1,-0.25,0.75,-1
508,credoj.au,RYTIDOSPERMA CAESPITOSUM,1.125,2.333333333,1,0.7,1.633333333,0.125,1.508333333
509,credoj.au,SALVIA VERBENACA,0.6,0.5,2.2,0.8,-0.3,-1.6,1.3
510,credoj.au,SCLEROLAENA OBLIQUICUSPIS,0.5,0,0.5,0.5,-0.5,0,-0.5
511,credoj.au,SIDA INTRICATA,0,0.5,1.25,11,-10.5,-1.25,-9.25
512,credoj.au,SIDA SPODOCHROMA,0,0.5,0,0.5,0,0,0
513,credoj.au,STIPA NITIDA,0.5,8.5,0.5,6.833333333,1.666666667,0,1.666666667
514,credoj.au,VITTADINIA EREMAEA,14.1,3.5,2,1.3,2.2,12.1,-9.9
515,credoj.au,VITTADINIA HUMERATA,0.5,2.75,0,0,2.75,0.5,2.25
516,credom.au,ARISTIDA CONTORTA,0,0.5,0,5,-4.5,0,-4.5
517,credom.au,CALOTIS HISPIDULA,0.5,0,0,0,0,0.5,-0.5
518,credom.au,CENTAUREA MELITENSIS,0.5,0,0.5,0.5,-0.5,0,-0.5
519,credom.au,CEPHALIPTERUM DRUMMONDII,20,1,0.5,1,0,19.5,-19.5
520,credom.au,CUSCUTA PLANIFLORA,0.5,1,0,0.5,0.5,0.5,0
521,credom.au,ENNEAPOGON CAERULESCENS,11,7.5,6.1,1.166666667,6.333333333,4.9,1.433333333
522,credom.au,ENNEAPOGON POLYPHYLLUS,0.666666667,1,1.125,0.75,0.25,-0.458333333,0.708333333
523,credom.au,ENTEROPOGON RAMOSUS,0.5,0,0,0,0,0.5,-0.5
524,credom.au,ERAGROSTIS DIELSII,1.25,0.5,10.5,1,-0.5,-9.25,8.75
525,credom.au,ERODIUM AUREUM,0.5,0,0.5,0.5,-0.5,0,-0.5
526,credom.au,EUPHORBIA DRUMMONDII,0.5,0.5,0,0.5,0,0.5,-0.5
527,credom.au,GOODENIA MIMULOIDES,0.5,0.5,0.5,0.5,0,0,0
528,credom.au,ISOETOPSIS GRAMINIFOLIA,0.5,0.5,0,0,0.5,0.5,0
529,credom.au,MAIREANA CARNOSA,0.5,0.5,0.5,0,0.5,0,0.5
530,credom.au,MAIREANA SEDIFOLIA,10.25,1,10.16666667,1,0,0.083333333,-0.083333333
531,credom.au,MAIREANA TRICHOPTERA,0.5,0.5,0.5,0.5,0,0,0
532,credom.au,MARSDENIA AUSTRALIS,0,0.5,0,0,0.5,0,0.5
533,credom.au,MEDICAGO MINIMA,5.75,2,0.5,0.5,1.5,5.25,-3.75
534,credom.au,PASPALIDIUM CLEMENTII,0.5,0,1,0.5,-0.5,-0.5,0
535,credom.au,PTILOTUS HOLOSERICEUS,0.5,0,0.5,0,0,0,0
536,credom.au,PTILOTUS OBOVATUS,0.5,1.25,0.5,0.75,0.5,0,0.5
537,credom.au,RYTIDOSPERMA CAESPITOSUM,0.625,0.5,0.75,0.5,0,-0.125,0.125
538,credom.au,SALVIA VERBENACA,1.4,0.8,0.7,1.6,-0.8,0.7,-1.5
539,credom.au,SIDA SPODOCHROMA,0,0.5,0,0,0.5,0,0.5
540,credom.au,SONCHUS OLERACEUS,1,0,0.5,0,0,0.5,-0.5
541,credom.au,STIPA NITIDA,0.5,4.125,0.75,5.5,-1.375,-0.25,-1.125
542,credom.au,STIPA elegantissima,0.5,0,0.5,0,0,0,0
543,credom.au,SWAINSONA AFFINIS,0.5,0,0,0,0,0.5,-0.5
544,credom.au,VITTADINIA EREMAEA,0.5,0.5,0.625,0.5,0,-0.125,0.125
545,credom.au,VITTADINIA HUMERATA,0.5,0,0.5,0,0,0,0
546,ebro.es,BRACHYPODIUM RETUSUM,0.863067333,0,0.85085,0,0,0.012217333,-0.012217333
547,ebro.es,DACTYLIS GLOMERATA,0,0.002181667,0,0,0.002181667,0,0.002181667
548,ebro.es,GENISTA SCORPIUS,14.58778689,5.560632001,15.94449267,5.190912221,0.36971978,-1.35670578,1.72642556
549,ebro.es,GYPSOPHILA STRUTHIUM,0,2.835730333,0,4.859880667,-2.024150334,0,-2.024150334
550,ebro.es,HELIANTHEMUM LAVANDULIFOLIUM,2.534224,2.691667611,1.612688,2.126979556,0.564688056,0.921536,-0.356847944
551,ebro.es,HELIANTHEMUM MARIFOLIUM,1.093524056,1.185808556,0.817397778,0.913100222,0.272708333,0.276126278,-0.003417945
