"","site_code","Taxon","mean.before.control.0","mean.before.drought.0","mean.after.control.0","mean.after.drought.0","drought.after.before","control.after.before","cover.change"
"41","allmendo.ch","BRIZA MEDIA",1.66666666666667,2.66666666666667,1.83333333333333,2.41666666666667,-0.25,0.166666666666667,-0.416666666666667
"42","allmendo.ch","BROMUS ERECTUS",17.25,16.5,22.8333333333333,15.6666666666667,-0.833333333333334,5.58333333333333,-6.41666666666667
"43","allmendo.ch","CAREX CARYOPHYLLEA",14.1666666666667,15.75,12.4166666666667,14.1666666666667,-1.58333333333333,-1.75,0.166666666666666
"44","allmendo.ch","CAREX FLACCA",1.75,5,1.5,1.5,-3.5,-0.25,-3.25
"45","allmendo.ch","CENTAUREA JACEA",1,0.583333333333333,1,2.25,1.66666666666667,0,1.66666666666667
"46","allmendo.ch","CENTAUREA SCABIOSA",3,1.58333333333333,4.125,1.75,0.166666666666667,1.125,-0.958333333333333
"47","allmendo.ch","EUPHORBIA CYPARISSIAS",2.25,0.25,2.25,1.75,1.5,0,1.5
"48","allmendo.ch","FESTUCA OVINA",7.08333333333333,7.25,5.41666666666667,7.08333333333333,-0.166666666666667,-1.66666666666667,1.5
"49","allmendo.ch","GALIUM VERUM",1.41666666666667,1.375,1.75,0.875,-0.5,0.333333333333333,-0.833333333333333
"50","allmendo.ch","GLOBULARIA VULGARIS",0.375,0.375,0.583333333333333,1.33333333333333,0.958333333333333,0.208333333333333,0.75
"51","allmendo.ch","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM",3.66666666666667,4.16666666666667,5.83333333333333,5.41666666666667,1.25,2.16666666666667,-0.916666666666667
"52","allmendo.ch","HELICTOTRICHON PRATENSE",1.75,3.83333333333333,1.08333333333333,3.75,-0.0833333333333335,-0.666666666666667,0.583333333333333
"53","allmendo.ch","HIPPOCREPIS COMOSA",6.66666666666667,4.16666666666667,5.33333333333333,2.83333333333333,-1.33333333333333,-1.33333333333333,4.44089209850063e-16
"54","allmendo.ch","LINUM CATHARTICUM",5.41666666666667,6.25,2.08333333333333,1.66666666666667,-4.58333333333333,-3.33333333333333,-1.25
"55","allmendo.ch","LOTUS CORNICULATUS",0.75,0.25,0.625,0.375,0.125,-0.125,0.25
"56","allmendo.ch","PIMPINELLA SAXIFRAGA",1.91666666666667,2.25,2.33333333333333,2.16666666666667,-0.0833333333333335,0.416666666666667,-0.5
"57","allmendo.ch","PLANTAGO LANCEOLATA",0.416666666666667,0.25,0.75,0.75,0.5,0.333333333333333,0.166666666666667
"58","allmendo.ch","POLYGALA VULGARIS",0,0.25,0.375,0.5,0.25,0.375,-0.125
"59","allmendo.ch","POTENTILLA GRANDIFLORA",1.75,0.416666666666667,5.25,3.25,2.83333333333333,3.5,-0.666666666666667
"60","allmendo.ch","PRUNELLA VULGARIS",5.75,6.25,7.91666666666667,4.16666666666667,-2.08333333333333,2.16666666666667,-4.25
"61","allmendo.ch","RHINANTHUS MINOR",2.33333333333333,3.41666666666667,1.08333333333333,0.833333333333333,-2.58333333333333,-1.25,-1.33333333333333
"62","allmendo.ch","SALVIA PRATENSIS",0,2.625,0.5,3.875,1.25,0.5,0.75
"63","allmendo.ch","SANGUISORBA MINOR",0,0.5,0,0.5,0,0,0
"64","allmendo.ch","SCABIOSA COLUMBARIA",0.416666666666667,1,0.25,1.625,0.625,-0.166666666666667,0.791666666666667
"65","allmendo.ch","TEUCRIUM CHAMAEDRYS",2.08333333333333,1.25,3.83333333333333,2.58333333333333,1.33333333333333,1.75,-0.416666666666667
"66","allmendo.ch","TEUCRIUM MONTANUM",3.5,0.5,7.25,0,-0.5,3.75,-4.25
"67","allmendo.ch","THYMUS SERPYLLUM",1,0.416666666666667,1.5,1.83333333333333,1.41666666666667,0.5,0.916666666666667
"68","allmendo.ch","TRIFOLIUM MONTANUM",1.08333333333333,0.25,0.666666666666667,0.5,0.25,-0.416666666666667,0.666666666666667
"69","baddrt.de","APERA SPICA-VENTI",1.775,7,4.7625,9.36666666666667,2.36666666666667,2.9875,-0.620833333333333
"70","baddrt.de","BROMUS HORDEACEUS",0,0.55,0.55,0.01,-0.54,0.55,-1.09
"71","baddrt.de","BROMUS STERILIS",0,2,0.1025,5,3,0.1025,2.8975
"72","baddrt.de","CIRSIUM ARVENSE",10.5,12.6,3.27777777777778,3.3,-9.3,-7.22222222222222,-2.07777777777778
"73","baddrt.de","CREPIS BIENNIS",40.7,52,4.85714285714286,6.5,-45.5,-35.8428571428571,-9.65714285714285
"74","baddrt.de","CREPIS CAPILLARIS",3.55555555555556,5.4,1.61666666666667,9,3.6,-1.93888888888889,5.53888888888889
"75","baddrt.de","EPILOBIUM ANGUSTIFOLIUM",0,5,0,1.05,-3.95,0,-3.95
"76","baddrt.de","EPILOBIUM TETRAGONUM",5.7,7,0.812,0.8,-6.2,-4.888,-1.312
"77","baddrt.de","ERIGERON CANADENSIS",1,0,0.353333333333333,0,0,-0.646666666666667,0.646666666666667
"78","baddrt.de","GALIUM APARINE",0.26,0.5,0.07,0.1,-0.4,-0.19,-0.21
"79","baddrt.de","HYPERICUM PERFORATUM",0.5,0,0.2,0,0,-0.3,0.3
"80","baddrt.de","PICRIS HIERACIOIDES",33.7,23.2,63,48,24.8,29.3,-4.5
"81","baddrt.de","POA TRIVIALIS",2,0,1.40333333333333,0.01,0.01,-0.596666666666667,0.606666666666667
"82","baddrt.de","PRUNUS AVIUM",0.5,0,0.3,0,0,-0.2,0.2
"83","baddrt.de","RUMEX CRISPUS",7,0,5,0.5,0.5,-2,2.5
"84","baddrt.de","SOLIDAGO CANADENSIS",4.25,0,0.2,0.15,0.15,-4.05,4.2
"85","baddrt.de","SONCHUS ASPER",2,2.125,0.35,1,-1.125,-1.65,0.525
"86","baddrt.de","TARAXACUM TARAXACUM",7.25,8.75,2.24,7.06,-1.69,-5.01,3.32
"87","baddrt.de","TRAGOPOGON PRATENSIS",1,1,0.5,0,-1,-0.5,-0.5
"88","baddrt.de","TRIPLEUROSPERMUM INODORUM",0.533333333333333,0.5,0.5,0,-0.5,-0.0333333333333333,-0.466666666666667
"89","baddrt.de","VULPIA MYUROS",1.33333333333333,80,4.34285714285714,3.53333333333333,-76.4666666666667,3.00952380952381,-79.4761904761905
"90","biddulph.ca","ARTEMISIA FRIGIDA",3,1,5,2,1,2,-1
"91","biddulph.ca","ARTEMISIA LUDOVICIANA",0,0.75,0,1,0.25,0,0.25
"92","biddulph.ca","FESTUCA ALTAICA",0.666666666666667,2.16666666666667,2,0.5,-1.66666666666667,1.33333333333333,-3
"93","biddulph.ca","LYGODESMIA JUNCEA",0,1,0.75,0,-1,0.75,-1.75
"94","biddulph.ca","PSORALEA LANCEOLATA",1.5,2,6.5,11,9,5,4
"95","biddulph.ca","ROSA ARKANSANA",3,1,8,1,0,5,-5
"96","biddulph.ca","SOLIDAGO MISSOURIENSIS",5,0,8,0,0,3,-3
"97","biddulph.ca","STIPA COMATA",3.5,5.5,12.5,14.5,9,9,0
"98","brokenh.au","MAIREANA PYRAMIDATA",30,0,12,0,0,-18,18
"99","brokenh.au","SCLEROLAENA DIACANTHA",1,1,1,1,0,0,0
"100","brokenh.au","SOLANUM ELLIPTICUM",2,2,1,1,-1,-1,0
