"","Taxon","site_code","mean.before.control.0","mean.before.drought.0","mean.after.control.0","mean.after.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"64","ARTEMISIA INDICA","teshio.jp",0,4,0,25,21,0,21,23.07881,1.882,NA,16.29,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"65","ARTEMISIA LUDOVICIANA","kernb.ca",1,12.5,1,3,-9.5,0,-9.5,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"66","ARTEMISIA LUDOVICIANA","brookdale.ca",12,9.166666667,1.25,1.95,-7.216666667,-10.75,3.533333333,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"67","ARTEMISIA LUDOVICIANA","kernnu.ca",1,2,0.75,3,1,-0.25,1.25,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"68","ARTEMISIA LUDOVICIANA","konzadrt.us",1,1,2,1,0,1,-1,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"69","ARTEMISIA LUDOVICIANA","biddulph.ca",0,0.75,0,1,0.25,0,0.25,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"70","ARTEMISIA LUDOVICIANA","cedarsav.us",1.6,3,1,1,-2,-0.6,-1.4,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"71","ARTEMISIA VULGARIS","elvadrt.ee",0,1,1,0,-1,1,-2,44.63333333,1.439387862,NA,21.44697757,NA,0.103788328,270.1683965,0.241066667,"FORB","PERENNIAL","FORB"
"72","ASPERULA CYNANCHICA","allmendb.ch",0.25,0.25,0.25,0.25,0,0,0,15,0.284375,NA,27.91666667,0.93,NA,390.8625,NA,"FORB","PERENNIAL","FORB"
"73","ASPERULA CYNANCHICA","allmendo.ch",0.375,1.375,0.416666667,2.375,1,0.041666667,0.958333333,15,0.284375,NA,27.91666667,0.93,NA,390.8625,NA,"FORB","PERENNIAL","FORB"
"74","ASPERULA GUNNII","falls.au",0.5,0.5,0.5,0,-0.5,0,-0.5,NA,0.432,NA,21.796842,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"87","BASSIA LANIFLORA","kiskun.hu",1.45,0.5525,0.125,0.0575,-0.495,-1.325,0.83,NA,0.25,NA,7.806666667,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"88","BLENNOSPORA DRUMMONDII","jilpanger.au",0.5,0.5,0.5,0.5,0,0,0,NA,0.06807094,NA,18.695174,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"101","BRACHYSCOME DECIPIENS","falls.au",0.666666667,0,0.5,0,0,-0.166666667,0.166666667,NA,0.2,NA,15.221818,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"102","BRACHYSCOME PERPUSILLA","jilpanger.au",0.6,0.5,0.5,0,-0.5,-0.1,-0.4,NA,0.07311427,NA,39.649227,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"130","CALADENIA CARNEA","jilpanger.au",0.5,0,0.5,0,0,0,0,NA,0.135,NA,20.36104461,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"132","CALOTIS LAPPULACEA","cobar.au",1,0,1.333333333,1,1,0.333333333,0.666666667,NA,0.5,NA,15.76,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"133","CAMASSIA QUAMASH","cowidrt.ca",3,1,3,5,4,0,4,NA,0.70104,NA,12.08,0.254,NA,NA,NA,"GRASS","PERENNIAL","FORB"
"134","CAMPANULA PATULA","elvadrt.ee",0,2,0,1,-1,0,-1,27.77811089,0.4375,14.26593954,33.98333333,0.29,0.0375,NA,0.265133333,"FORB","PERENNIAL","FORB"
"135","CAMPANULA ROTUNDIFOLIA","kernnu.ca",0.5,0.5,0.5,0.5,0,0,0,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"FORB","PERENNIAL","FORB"
"136","CAMPANULA ROTUNDIFOLIA","kernb.ca",0,1,0,0.5,-0.5,0,-0.5,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"FORB","PERENNIAL","FORB"
"137","CARDUUS PYCNOCEPHALUS","scruzm.us",1.7424088,2.76846785,6.8493151,7.11889028,4.35042243,5.1069063,-0.75648387,8.2,0.8,NA,38,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"138","CARDUUS PYCNOCEPHALUS","scruzl.us",1.25,1,8.795871367,20.12987015,19.12987015,7.545871367,11.58399878,8.2,0.8,NA,38,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"155","CARLINA VULGARIS","allmendb.ch",0.25,0.5,0.25,0,-0.5,0,-0.5,15.78260486,0.385,NA,22.08870347,0.87,0.082888022,322.3538749,0.246275926,"FORB","PERENNIAL","FORB"
"156","CELMISIA COSTINIANA","falls.au",43.33333333,50,43.33333333,48.33333333,-1.666666667,0,-1.666666667,NA,0.515,NA,9.655537,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"157","CENTAUREA JACEA","allmendo.ch",1,0.583333333,1,2.25,1.666666667,0,1.666666667,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"FORB","PERENNIAL","FORB"
"158","CENTAUREA JACEA","allmendb.ch",1.916666667,1.5,2.333333333,1.5,0,0.416666667,-0.416666667,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"FORB","PERENNIAL","FORB"
"159","CENTAUREA JACEA","rhijn.nl",1,25,7,6.5,-18.5,6,-24.5,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"FORB","PERENNIAL","FORB"
"160","CENTAUREA MELITENSIS","credom.au",0.5,0.5,0.5,0,-0.5,0,-0.5,19.1,1,NA,9.4,0.3,NA,145.36,NA,"FORB","ANNUAL","FORB"
"161","CENTAUREA SCABIOSA","allmendb.ch",5.5,6.083333333,5.166666667,7.25,1.166666667,-0.333333333,1.5,22.3,0.9625,NA,16.2315625,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"162","CENTAUREA SCABIOSA","allmendo.ch",3,1.583333333,4.125,1.75,0.166666667,1.125,-0.958333333,22.3,0.9625,NA,16.2315625,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"163","CENTIPEDA CUNNINGHAMII","quilpie.au",8,12.5,4,3.333333333,-9.166666667,-4,-5.166666667,NA,0.2,NA,18.1,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"164","Centrolepis ARISTATA","jilpanger.au",0.6,1,0.5,0.5,-0.5,-0.1,-0.4,19.7,0.09857143,NA,28.092362,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"165","Centrolepis STRIGOSA","jilpanger.au",0.5,0.5,0.5,0.5,0,0,0,NA,0.11,NA,5.632,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"166","CEPHALIPTERUM DRUMMONDII","credom.au",0.5,1,20,1,0,19.5,-19.5,NA,0.33086325,NA,37.282501,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"167","CEPHALIPTERUM DRUMMONDII","credoj.au",0.5,0,0.5,0.5,0.5,0,0.5,NA,0.33086325,NA,37.282501,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"168","CERASTIUM ARVENSE","matador.ca",2.25,0.5,3.5,0.75,0.25,1.25,-1,32.11111111,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"169","CERASTIUM ARVENSE","paike.ar",1,1,1,1,0,0,0,32.11111111,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"170","CERASTIUM ARVENSE","kernb.ca",2,0.5,2.5,1.25,0.75,0.5,0.25,32.11111111,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"171","CERASTIUM ARVENSE","elvadrt.ee",1,1,1,1,0,0,0,32.11111111,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
