"","site_code","Taxon","mean.before.control","mean.before.drought","mean.after.control","mean.after.drought"
"153","capmcd.us","DICHELOSTEMMA CAPITATUM",0.5,0.5,0.5,0.5
"154","capmcd.us","ERODIUM CICUTARIUM",0.5,NA,NA,NA
"155","capmcd.us","ERODIUM TEXANUM",0.5,NA,1,0.5
"156","capmcd.us","HARPAGONELLA PALMERI",NA,0.5,NA,NA
"157","capmcd.us","LEPIDIUM LASIOCARPUM",NA,0.5,NA,NA
"158","capmcd.us","LOGFIA ARIZONICA",NA,0.5,0.5,NA
"159","capmcd.us","MONOLEPIS NUTTALLIANA",0.5,0.5,NA,NA
"160","capmcd.us","PECTOCARYA RECURVATA",0.5,0.5,5.21428571428571,2.85714285714286
"161","capmcd.us","PHYSARIA GORDONII",0.5,NA,0.5,NA
"162","capmcd.us","PLAGIOBOTHRYS ARIZONICUS",NA,0.5,NA,NA
"163","capmcd.us","PLANTAGO OVATA",0.583333333333333,1,8.71428571428571,23.7142857142857
"164","capmcd.us","PLANTAGO PATAGONICA",0.5,0.5,0.75,4
"165","capmcd.us","SCHISMUS ARABICUS",71.4285714285714,70.2857142857143,33.8571428571429,25.1428571428571
"166","capwhite.us","AMBROSIA DELTOIDEA",0.5,0.5,NA,NA
"167","capwhite.us","ASTRAGALUS NUTTALLIANUS",NA,0.5,0.5,0.75
"168","capwhite.us","CRYPTANTHA MARITIMA",0.5,NA,NA,NA
"169","capwhite.us","DICHELOSTEMMA CAPITATUM",NA,0.5,NA,NA
"170","capwhite.us","ENCELIA FARINOSA",NA,0.5,NA,NA
"171","capwhite.us","ERODIUM TEXANUM",0.5,0.5,NA,NA
"172","capwhite.us","LEPIDIUM LASIOCARPUM",9.71428571428571,5.71428571428571,NA,NA
"173","capwhite.us","LOEFLINGIA SQUARROSA",0.5,0.5,NA,NA
"174","capwhite.us","LOGFIA ARIZONICA",2.42857142857143,0.833333333333333,0.928571428571429,4.7
"175","capwhite.us","OTTLEYA STRIGOSA",0.5,NA,0.5,0.6
"176","capwhite.us","PECTOCARYA HETEROCARPA",0.5,0.5,1.25,NA
"177","capwhite.us","PECTOCARYA PLATYCARPA",0.5,NA,1.25,0.5
"178","capwhite.us","PECTOCARYA RECURVATA",0.5,0.875,0.5,0.5
"179","capwhite.us","PHYSARIA GORDONII",2.33333333333333,4.6,0.5,0.5
"180","capwhite.us","PLANTAGO OVATA",1.42857142857143,2.85714285714286,9.5,4.57142857142857
"181","capwhite.us","PLANTAGO PATAGONICA",0.714285714285714,0.583333333333333,1.5,1
"182","capwhite.us","SCHISMUS ARABICUS",24.7142857142857,32,35.7142857142857,7.71428571428571
"183","capwhite.us","VULPIA OCTOFLORA",NA,0.5,0.5,NA
"184","cdpt_drt.us","ARISTIDA PURPUREA",NA,5,6,4.33333333333333
"185","cdpt_drt.us","ARTEMISIA FILIFOLIA",4.5,NA,8,NA
"186","cdpt_drt.us","ARTEMISIA FRIGIDA",6.2,12.5,4.66666666666667,11.5
"187","cdpt_drt.us","BOUTELOUA GRACILIS",11.6666666666667,10.6666666666667,15,12.8333333333333
"188","cdpt_drt.us","BROMUS JAPONICUS",5.5,1,2,4
"189","cdpt_drt.us","BUCHLOE DACTYLOIDES",2,NA,1,NA
"190","cdpt_drt.us","CAREX FILIFOLIA",20.1666666666667,20.5,18.5,19.1666666666667
"191","cdpt_drt.us","COREOPSIS TINCTORIA",2,1.75,3.5,2.25
"192","cdpt_drt.us","DALEA ENNEANDRA",0.5,NA,0.5,NA
"193","cdpt_drt.us","DICHANTHELIUM OLIGOSANTHES",1.25,2,3,0.5
"194","cdpt_drt.us","ESCOBARIA VIVIPARA",0.3,0.5,0.18,NA
"195","cdpt_drt.us","GAURA COCCINEA",0.1,0.5,2,1
"196","cdpt_drt.us","HESPEROSTIPA COMATA",13.6666666666667,10.8333333333333,10.1666666666667,15.5
"197","cdpt_drt.us","HETEROTHECA VILLOSA",NA,0.3,NA,0.55
"198","cdpt_drt.us","KOELERIA MACRANTHA",NA,14,10,12
"199","cdpt_drt.us","LIATRIS PUNCTATA",0.5,0.5,0.5,1
"200","cdpt_drt.us","LITHOSPERMUM INCISUM",1.75,1.91666666666667,2.75,2.16666666666667
"201","cdpt_drt.us","LYGODESMIA JUNCEA",1,0.5,1.2,0.55
"202","cdpt_drt.us","MACHAERANTHERA PINNATIFIDA",0.5,0.5,0.3,0.1
"203","cdpt_drt.us","POLYGALA ALBA",0.5,1,NA,2
"204","cdpt_drt.us","PSORALIDIUM TENUIFLORUM",0.3,10.2,1.66666666666667,6.36666666666667
"205","cdpt_drt.us","SPHAERALCEA COCCINEA",0.666666666666667,0.9,1,1.9
"206","cdpt_drt.us","SPOROBOLUS CRYPTANDRUS",7,1,3,1.125
"207","cdpt_drt.us","TRADESCANTIA OCCIDENTALIS",0.5,NA,1,NA
"208","cdpt_drt.us","TRAGOPOGON DUBIUS",0.5,NA,NA,0.1
"209","cdpt_drt.us","VERBENA STRICTA",NA,0.1,NA,0.1
"210","cdpt_drt.us","YUCCA GLAUCA",2,NA,NA,NA
"211","cedarsav.us","AMBROSIA PSILOSTACHYA",4.66666666666667,9.5,NA,NA
"212","cedarsav.us","AMORPHA CANESCENS",9.5,9.33333333333333,2.33333333333333,6.75
"213","cedarsav.us","AMPHICARPAEA BRACTEATA",3,NA,1,NA
"214","cedarsav.us","ANDROPOGON GERARDII",7.66666666666667,9.75,17.1428571428571,8.8
"215","cedarsav.us","ANEMONE CYLINDRICA",3,2,NA,NA
"216","cedarsav.us","ARTEMISIA LUDOVICIANA",1.6,3,1,1
"217","cedarsav.us","BOUTELOUA CURTIPENDULA",2,NA,NA,NA
"218","cedarsav.us","CAMPANULA ROTUNDIFOLIA",1,NA,NA,NA
"219","cedarsav.us","CHONDROSUM HIRSUTUM",2,NA,NA,NA
"220","cedarsav.us","COMANDRA UMBELLATA",1.6,2,9.66666666666667,6.66666666666667
"221","cedarsav.us","COREOPSIS PALMATA",11,6,27.5,6.66666666666667
"222","cedarsav.us","ERAGROSTIS SPECTABILIS",9,2,NA,NA
"223","cedarsav.us","ERIGERON STRIGOSUS",6,1,NA,NA
"224","cedarsav.us","EUTHAMIA GRAMINIFOLIA",5.5,8,4.33333333333333,4
"225","cedarsav.us","FRANGULA ALNUS",NA,1,NA,NA
"226","cedarsav.us","HELIANTHEMUM BICKNELLII",NA,1,NA,4
"227","cedarsav.us","LATHYRUS VENOSUS",4.9,4.75,5,4.5
"228","cedarsav.us","LIATRIS ASPERA",NA,1,NA,NA
"229","cedarsav.us","LITHOSPERMUM CANESCENS",2.5,NA,3,4.33333333333333
"230","cedarsav.us","LITHOSPERMUM CAROLINIENSE",5.5,4.8,NA,NA
"231","cedarsav.us","MUHLENBERGIA RACEMOSA",5.2,NA,5,NA
"232","cedarsav.us","PANICUM ACUMINATUM",3.2,2,3,4
"233","cedarsav.us","PANICUM OLIGOSANTHES",2.5,2,5,NA
"234","cedarsav.us","PANICUM PERLONGUM",1,1,NA,NA
"235","cedarsav.us","PHLOX PILOSA",1.5,NA,NA,NA
"236","cedarsav.us","POA PRATENSIS",5.85714285714286,6.4,5.4,5.6
"237","cedarsav.us","POLYGONATUM BIFLORUM",2,NA,NA,NA
"238","cedarsav.us","QUERCUS ELLIPSOIDALIS",NA,21,NA,20
"239","cedarsav.us","QUERCUS MACROCARPA",10,15,6,15
"240","cedarsav.us","RANUNCULUS RHOMBOIDEUS",4,NA,NA,NA
"241","cedarsav.us","ROSA ARKANSANA",1,3,NA,3
"242","cedarsav.us","SCHIZACHYRIUM SCOPARIUM",14.2857142857143,16,20.625,17
"243","cedarsav.us","SCUTELLARIA GALERICULATA",NA,1,NA,NA
"244","cedarsav.us","SISYRINCHIUM CAMPESTRE",1.5,1,NA,NA
"245","cedarsav.us","SOLIDAGO MISSOURIENSIS",15,NA,6,NA
"246","cedarsav.us","SORGHASTRUM NUTANS",23.5,17.2,12.5,25
"247","cedarsav.us","SPOROBOLUS CRYPTANDRUS",NA,12,NA,NA
"248","cedarsav.us","STIPA SPARTEA",3.66666666666667,3.5,15,NA
"249","cedarsav.us","SYMPHYOTRICHUM ERICOIDES",15,NA,NA,NA
"250","cedarsav.us","SYMPHYOTRICHUM OOLENTANGIENSE",6.6,2,7.66666666666667,NA
"251","cedarsav.us","VIOLA PEDATIFIDA",1.8,1,NA,NA
"252","cedartrait.us","ACHILLEA MILLEFOLIUM",3.5,1,1,1
"253","cedartrait.us","AGROSTIS SCABRA",2.33333333333333,1.5,NA,NA
"254","cedartrait.us","AGROSTIS STOLONIFERA",5,2.33333333333333,NA,NA
"255","cedartrait.us","AMORPHA CANESCENS",6.16666666666667,2.5,3,NA
"256","cedartrait.us","ANDROPOGON GERARDII",13,5,17,6.4
"257","cedartrait.us","ASCLEPIAS TUBEROSA",1,3,NA,NA
"258","cedartrait.us","BAPTISIA ALBA",17.5,NA,11.3333333333333,NA
"259","cedartrait.us","BOUTELOUA CURTIPENDULA",3,3,NA,NA
"260","cedartrait.us","BOUTELOUA GRACILIS",2,1.5,NA,8
"261","cedartrait.us","BROMUS INERMIS",1,NA,NA,NA
"262","cedartrait.us","CHONDROSUM HIRSUTUM",4,NA,NA,NA
"263","cedartrait.us","COREOPSIS PALMATA",17.25,9,25,13
"264","cedartrait.us","DALEA VILLOSA",10.3333333333333,5.75,3.16666666666667,3
"265","cedartrait.us","JUNIPERUS COMMUNIS",NA,80,NA,NA
"266","cedartrait.us","KOELERIA MICRATHERA",2,2.5,5,4
"267","cedartrait.us","LESPEDEZA CAPITATA",5.3,9,2.33333333333333,2.75
"268","cedartrait.us","LIATRIS ASPERA",8.55555555555556,13.5,8.42857142857143,11.8
"269","cedartrait.us","LINARIA VULGARIS",2,2,NA,NA
"270","cedartrait.us","LUPINUS PERENNIS",2,1.6,NA,NA
"271","cedartrait.us","MONARDA FISTULOSA",3,11,2,8
"272","cedartrait.us","PANICUM ACUMINATUM",4,NA,NA,NA
"273","cedartrait.us","PANICUM OLIGOSANTHES",2,3.5,NA,2
"274","cedartrait.us","PANICUM PERLONGUM",1.33333333333333,NA,NA,NA
"275","cedartrait.us","PETALOSTEMON CANDIDUS",1.625,1.5,1,1
"276","cedartrait.us","PETALOSTEMON PURPUREUS",9.1,8.7,5.77777777777778,5.66666666666667
"277","cedartrait.us","POA PALUSTRIS",2,NA,NA,NA
"278","cedartrait.us","POA PRATENSIS",3.11111111111111,3.2,4.125,2.6
"279","cedartrait.us","ROSA ARKANSANA",9,11,12,15
"280","cedartrait.us","RUMEX ACETOSELLA",1,NA,NA,NA
"281","cedartrait.us","SCHIZACHYRIUM SCOPARIUM",9.55555555555556,7.4,10.1111111111111,6
"282","cedartrait.us","SOLIDAGO NEMORALIS",10.1428571428571,12,10,7
"283","cedartrait.us","SOLIDAGO RIGIDA",12.3333333333333,9,20,9
"284","cedartrait.us","SORGHASTRUM NUTANS",6.6,7.5,15,2
"285","cedartrait.us","TARAXACUM CAMPYLODES",1.25,1.33333333333333,NA,5
"286","cedartrait.us","VERBASCUM THAPSUS",2,NA,NA,NA
"287","cerrillos.ar","ARISTIDA MENDOCINA",17.19,20.42,11.67,19.3766666666667
"288","cerrillos.ar","BOUTELOUA ARISTIDOIDES",NA,2.505,12.815,36.565
"289","cerrillos.ar","CORDOBIA ARGENTEA",20.005,6.04333333333333,16.4633333333333,8.75333333333333
"290","cerrillos.ar","DIGITARIA CALIFORNICA",0.63,NA,0.63,NA
"291","cerrillos.ar","ERAGROSTIS ORTHOCLADA",0.63,NA,4.38,0.63
"292","cerrillos.ar","GAYA PARVIFLORA",5,4.38,2.505,1.88
"293","cerrillos.ar","GOUINIA PARAGUAYENSIS",2.505,8.13,2.815,7.5
"294","cerrillos.ar","LARREA DIVARICATA",36.0433333333333,17.0866666666667,32.2933333333333,19.5033333333333
"295","cerrillos.ar","PAPPOPHORUM KRAPOVICKASII",0.63,14.17,0.836666666666667,17.5033333333333
"296","cerrillos.ar","PROSOPIS PUGIONATA",4.38,NA,10,NA
"297","cerrillos.ar","PROSOPIS TORQUATA",3.75,4.38,3.75,NA
"298","cerrillos.ar","SETARIA PAMPEANA",14.1666666666667,10,20.0033333333333,3.75
"299","cerrillos.ar","XEROALOYSIA OVATIFOLIA",0.63,NA,1.255,NA
"300","chacra.ar","BACCHARIS GILLIESII",1.5,1.5,NA,5
"301","chacra.ar","BACCHARIS TENELLA",1.5,1.5,NA,NA
"302","chacra.ar","BACCHARIS ULICINA",1.5,1.5,NA,NA
"303","chacra.ar","EPHEDRA TRIANDRA",1.5,1.5,NA,NA
"304","chacra.ar","HOFFMANNSEGGIA TRIFOLIATA",1.5,1.5,NA,NA
"305","chacra.ar","MARGYRICARPUS PINNATUS",NA,1.5,NA,NA
"306","chacra.ar","MEDICAGO MINIMA",1.5,NA,NA,NA
"307","chacra.ar","NASSELLA LONGIGLUMIS",21.6666666666667,36.6666666666667,50,36.6666666666667
"308","chacra.ar","NASSELLA TENUIS",10.5,5,1,3.5
"309","chacra.ar","PAPPOPHORUM MUCRONULATUM",5,3.25,NA,13
"310","chacra.ar","PIPTOCHAETIUM MONTEVIDENSE",1.5,NA,NA,NA
"311","chacra.ar","POA LIGULARIS",3.83333333333333,1.5,5,1
"312","chacra.ar","SCHINUS JOHNSTONII",1.5,1.5,1,NA
"313","chacra.ar","STIPA PAPPOSA",1.5,NA,NA,NA
"314","chacra.ar","TRICHOCLINE SINUATA",NA,1.5,NA,NA
"315","charleville.au","EMEX AUSTRALIS",NA,1,NA,NA
"316","charleville.au","EREMOPHILA GILESII",41.6666666666667,35,45,46.6666666666667
"317","charleville.au","GOODENIA CYCLOPTERA",1,1,NA,NA
"318","charleville.au","HYPOCHAERIS RADICATA",2,1.66666666666667,NA,NA
"319","charleville.au","KENNEDIA PROCURRENS",NA,1,NA,NA
"320","charleville.au","MEDICAGO LACINIATA",2,NA,NA,NA
"321","charleville.au","SCLEROLAENA ERIACANTHA",1,NA,NA,NA
"322","charleville.au","THYRIDOLEPIS MITCHELLIANA",1,1,NA,NA
"323","charleville.au","TRIPOGON LOLIIFORMIS",1,NA,NA,NA
"324","ciempoz.es","CENTAUREA HYSSOPIFOLIA",NA,2.04,NA,1.5
"325","ciempoz.es","GYPSOPHILA STRUTHIUM",1.08,3.145,4.6725,8.034
"326","ciempoz.es","HELIANTHEMUM SQUAMATUM",0.67,1.1775,5.405,1.51416666666667
"327","ciempoz.es","LEPIDIUM SUBULATUM",16.4085714285714,15.48,15.9407142857143,12.9378571428571
"328","ciempoz.es","THYMUS VULGARIS",8.98,8.71,8.52375,7.91416666666667
"329","cmss.us","ACHILLEA MILLEFOLIUM",NA,20,2,NA
