Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2/kg,root.depth_m,RTD.g.cm3,SRL_m/g,rootDiam.mm,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,,,,
ABUTILON HALOPHILUM,,1,,7.966675,,,,,,,"Milparinka, Quilpie",Malvaceae,SUBSHRUB,PERENNIAL,WOODY,,,,
ACACIA TETRAGONOPHYLLA,39.75775398,3.333333333,34.39,6.689844518,0.1056,,20.30769,,,,Broken Hill,Fabaceae,SHRUB,PERENNIAL,LEGUME,,,,
ACAENA ECHINATA,,0.17865,,13.19,,,,,,,Jilpanger,Rosaceae,FORB,PERENNIAL,FORB,,,,
ACAENA PINNATIFIDA,,0.025,,9.38,,,,,,,Potrok Aike Drt,Rosaceae,FORB,PERENNIAL,FORB,,,,
ACAENA POEPPIGIANA,,,,,,,,,,,Potrok Aike Drt,Rosaceae,FORB,PERENNIAL,FORB,,,,
ACALYPHA ANGUSTATA,,,,,,,,,,,Ukulinga Drought,Euphorbiaceae,FORB,PERENNIAL,FORB,,,,
ACAMPTOPAPPUS SHOCKLEYI,24.8,,,,0.4,,,,depth from GRooT,,NNSS_Mojave,Compositae,SHRUB,PERENNIAL,WOODY,,,,
ACER MACROPHYLLUM,26.4,20.17066667,15,29.548,0.6096,,,,rootC and N from GRooT,,Cowichan Drt,Sapindaceae,TREE,PERENNIAL,WOODY,,,,
ACER PLATANOIDES,20.09269841,24.86933333,10.98000555,23.73468194,1.016,0.452549377,28.23956406,0.953838934,"rootC, rootN, RTD, SRL, Diam from GRooT",,Bad Drought,Sapindaceae,WOODY,PERENNIAL,WOODY,,,,
ACER SACCHARUM,18.14984431,25.751,5.2,29.94474253,0.8128,0.27589533,45.40188716,0.449927887,"rootC,RTD,SRL, Diam from Groot",,Indiana University RTP,Sapindaceae,TREE,PERENNIAL,WOODY,,,,
ACHILLEA MILLEFOLIUM,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"Leaf N, SLA, height from PI","RTD, SRL, Diam from Justin","Allmend Brachy,Allmend Ovina,Bad Drought, Bayreuth_DroughtNet, Brookdale, Cedar Creek Trait, CMSS, Cowichan Drt, EE Elva, Hardware Ranch, Jena, Kernen_burned, Kernen_unburned, Kinsella, Matador, Oklahoma (KAEFS-OK), ORE IDE AC, Rhijnauwen, SantaCruzLow",Compositae,FORB,PERENNIAL,FORB,,,,
ACMELLA DECUMBENS,,,,,,,,,,,"Las Chilcas Drt, Mar Chiquita Drt, San Claudio",Compositae,FORB,PERENNIAL,FORB,,,,
ACMISPON AMERICANUS,,,,,,,,,,,"ORE IDE AC, SantaCruzHigh",Fabaceae,FORB,ANNUAL,LEGUME,,,,
ACMISPON MARITIMUS,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank",Fabaceae,LEGUME,ANNUAL,LEGUME,,,,
ACMISPON PARVIFLORUS,,,,,,,,,,,Cowichan Drt,Fabaceae,FORB,ANNUAL,LEGUME,,,,
ACMISPON STRIGOSUS,29.9,0.0756,,21.8,,,,,,,"Gmdrc Granitecove, Gmdrc Molar Junction",Fabaceae,FORB,ANNUAL,LEGUME,,,,
ACOURTIA NANA,18.76667,,,,,,,,,,JRN_Chihuahuan,Compositae,FORB,PERENNIAL,FORB,,,,
