,Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
19,ACHYRANTHES ASPERA,ACHYRANTHES,,aspera,NA,NA,,,kew-2617475,TRUE,1.1,Accepted,Amaranthaceae,Achyranthes,,aspera,,,L.,kew-2617475,Accepted,FALSE,FALSE,FALSE,12/26/24
20,ACLEISANTHES CHENOPODIOIDES,ACLEISANTHES,,chenopodioides,NA,NA,,,kew-2618093,TRUE,1.1,Accepted,Nyctaginaceae,Acleisanthes,,chenopodioides,,,(A.Gray) R.A.Levin,kew-2618093,Accepted,FALSE,FALSE,FALSE,12/26/24
21,ACMELLA DECUMBENS,ACMELLA,,decumbens,NA,NA,,,gcc-121488,TRUE,1.1,Accepted,Compositae,Acmella,,decumbens,,,(Sm.) R.K.Jansen,gcc-121488,Accepted,FALSE,FALSE,FALSE,12/26/24
22,ACMISPON AMERICANUS,ACMISPON,,americanus,NA,NA,,,ild-17080,TRUE,1.1,Accepted,Leguminosae,Acmispon,,americanus,,,(Nutt.) Rydb.,ild-17080,Accepted,FALSE,FALSE,FALSE,12/26/24
23,ACMISPON BRACHYCARPUS,ACMISPON,,brachycarpus,NA,NA,,,ild-41081,TRUE,1.1,Accepted,Leguminosae,Acmispon,,brachycarpus,,,(Benth.) D.D.Sokoloff,ild-41081,Accepted,FALSE,FALSE,FALSE,12/26/24
24,ACMISPON MARITIMUS,ACMISPON,,maritimus,NA,NA,,,ild-41105,TRUE,1.1,Accepted,Leguminosae,Acmispon,,maritimus,,,(Nutt.) D.D.Sokoloff,ild-41105,Accepted,FALSE,FALSE,FALSE,12/26/24
25,ACMISPON PARVIFLORUS,ACMISPON,,parviflorus,NA,NA,,,ild-41084,TRUE,1.1,Accepted,Leguminosae,Acmispon,,parviflorus,,,(Benth.) D.D.Sokoloff,ild-41084,Accepted,FALSE,FALSE,FALSE,12/26/24
26,ACMISPON STRIGOSUS,ACMISPON,,strigosus,NA,NA,,,tro-50326498,TRUE,1.1,Accepted,Leguminosae,Acmispon,,strigosus,,,(Nutt.) Brouillet,tro-50326498,Accepted,FALSE,FALSE,FALSE,12/26/24
27,ACOURTIA NANA,ACOURTIA,,nana,NA,NA,,,gcc-122212,TRUE,1.1,Accepted,Compositae,Acourtia,,nana,,,(A.Gray) Reveal & R.M.King,gcc-122212,Accepted,FALSE,FALSE,FALSE,12/26/24
28,ACTINOBOLE ULIGINOSUM,ACTINOBOLE,,uliginosum,NA,NA,,,gcc-114485,TRUE,1.1,Accepted,Compositae,Actinobole,,uliginosum,,,(A.Gray) H.Eichler,gcc-114485,Accepted,FALSE,FALSE,FALSE,12/26/24
