"","Leaf N","Height","Root N","SLA","Rooting Depth","Root Diameter","SRL","RTD","RMF","DSI","Precipitation"
"Leaf N",1,0.0497373023399026,-0.0467955450164652,0.126093642424426,0.00836370122141597,-0.154992725852548,0.030997262564683,-0.0811864887717236,-0.116341906024403,0.0822033581153798,0.154019637077679
"Height",0.0497373023399026,1,0.161645722277681,-0.272960345631028,0.0196882501877757,-0.256673518576907,0.165252429328386,-0.156842148660944,0.0802401675956738,0.0221144680429656,-0.0397453335747162
"Root N",-0.0467955450164652,0.161645722277681,1,0.194811301561385,0.094210719587621,0.070497697422677,-0.039218460313995,-0.00886948139994761,0.166319189964749,0.0538856823695011,-0.130798941356766
"SLA",0.126093642424426,-0.272960345631028,0.194811301561385,1,-0.0340222009737335,0.187380303687529,0.166539170689092,-0.243023654347682,0.1743594355281,-0.0324149814874757,0.0633127476544623
"Rooting Depth",0.00836370122141597,0.0196882501877757,0.094210719587621,-0.0340222009737335,1,0.0304935718775157,0.0279868143391095,-0.0729829385983129,0.13886052073158,0.0398123761917114,-0.129993965593412
"Root Diameter",-0.154992725852548,-0.256673518576907,0.070497697422677,0.187380303687529,0.0304935718775157,1,-0.344796013891184,0.0969090940843674,-0.274510693174801,0.059288045572335,-0.00615215955071905
"SRL",0.030997262564683,0.165252429328386,-0.039218460313995,0.166539170689092,0.0279868143391095,-0.344796013891184,1,-0.442360563217475,0.249171663432229,-0.0236532418197351,0.0405044996089579
"RTD",-0.0811864887717236,-0.156842148660944,-0.00886948139994761,-0.243023654347682,-0.0729829385983129,0.0969090940843674,-0.442360563217475,1,-0.116867317221924,0.103410800754115,-0.202413963316575
"RMF",-0.116341906024403,0.0802401675956738,0.166319189964749,0.1743594355281,0.13886052073158,-0.274510693174801,0.249171663432229,-0.116867317221924,1,-0.0241776856444918,-0.177375937426481
"DSI",0.0822033581153798,0.0221144680429656,0.0538856823695011,-0.0324149814874757,0.0398123761917114,0.059288045572335,-0.0236532418197351,0.103410800754115,-0.0241776856444918,1,-0.0734422940854815
"Precipitation",0.154019637077679,-0.0397453335747162,-0.130798941356766,0.0633127476544623,-0.129993965593412,-0.00615215955071905,0.0405044996089579,-0.202413963316575,-0.177375937426481,-0.0734422940854815,1
