"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.1727	0.2045	0.3229	0.0449	-0.3112	-1.6286	0.6965	0.78	0.0441
-0.5119	-0.6803	-0.1471	0.9703	-0.7935	1.4394	0.2286	0.1063	0.9153
-0.5161	-0.6775	-0.1479	0.976	-0.7937	1.4327	0.2201	0.0987	0.9101
-0.5226	-0.6889	-0.1433	0.9758	-0.7925	1.4403	0.2222	0.1042	0.9059
-0.5156	-0.6746	-0.1348	0.9834	-0.7563	1.4352	0.2189	0.1019	0.9125
-0.5217	-0.6479	-0.1397	0.9729	-0.7958	1.4409	0.2217	0.11	0.9114
-0.5196	-0.6706	-0.1471	0.9761	-0.7416	1.4491	0.222	0.1024	0.9035
-0.4851	-0.6705	-0.1362	0.9765	-0.7864	1.4404	0.2201	0.1011	0.9128
-0.5253	-0.6828	-0.1491	0.9702	-0.7961	1.4444	0.1987	0.099	0.9105
-0.5115	-0.6773	-0.1431	0.9757	-0.7835	1.4438	0.2239	0.0778	0.9134
-0.5177	-0.6805	-0.1453	0.9109	-0.7859	1.4397	0.2137	0.1003	0.9137
0.8346	-1.2325	1.0175	-0.0025	0.5289	0.7027	-0.0155	-1.6523	0.5459
0.95	-1.5194	1.0728	0.3233	0.4178	0.5619	0.0133	-1.522	0.7614
0.9557	-1.5221	1.1396	0.331	0.4055	0.6009	0.0152	-1.4704	0.7569
-0.192	-0.0459	0.1178	0.0972	0.1997	0.3084	0.0929	-0.3887	0.1369
-0.1197	0.0341	0.0584	0.0085	0.1626	0.3793	-0.1167	-0.1986	0.0215
-0.1611	3e-04	0.0648	0.005	0.194	0.3632	-0.1284	-0.1915	0.0323
-0.4055	0.0118	0.3895	0.1049	0.4008	0.3723	-0.4861	-0.1419	0.5146
0.0783	0.4677	0.01	1.0659	-0.326	-1.3008	0.0201	-0.1596	-0.3406
0.7543	0.3791	-0.0592	1.7272	-0.3205	-1.5648	0.4247	-0.3442	0.0197
-0.4538	1.3731	-0.1491	0.0349	-0.1258	-1.2741	-0.4277	0.0397	-0.0242
0.2082	-0.2381	-0.2191	0.306	-0.1981	-0.9826	-0.437	0.0997	-0.1297
-0.4414	0.3343	-0.3025	-0.3268	-0.0405	-1.0776	-0.7047	0.3416	-0.1174
1.0826	-0.0328	0.0265	-0.1246	-0.3493	-0.7298	0.2696	0.0217	-0.3924
1.093	-0.0092	0.0272	-0.1287	-0.3204	-0.7193	0.2666	0.0249	-0.376
1.0826	-0.0274	0.022	-0.0703	-0.3225	-0.7175	0.2741	0.0325	-0.3817
1.0687	0.364	-1.0692	-0.1583	-0.2789	-1.9885	-2.0447	0.2997	-0.203
1.077	0.3533	-0.9761	-0.1682	-0.3122	-1.9918	-2.0376	0.2992	-0.2003
0.4471	0.0389	-0.2144	0.6621	-1.0025	-0.5839	2.0685	-0.541	-1.9781
1.4941	-1.591	0.22	0.4845	-0.5624	-1.5103	0.8434	0.7664	-0.0992
-1.4305	-0.7076	-1.3695	1.0398	1.9291	0.0595	-0.3014	0.6662	-2.4835
-1.0704	-2.25	1.2134	-0.1016	8.3367	-8.4456	-2.1506	2.7896	7.6498
-0.1266	0.6158	2.1214	-1.4964	-1.1166	2.8014	-1.995	3.5767	-0.174
0.077	0.7335	2.2775	-0.1573	-0.9813	2.5427	-1.4374	3.0745	0.0149
0.431	0.0783	0.0653	-0.6511	0.3509	-0.1486	-0.683	0.7089	-1.7181
1.2064	0.7067	0.8646	0.7595	1.0437	-0.1065	0.6903	-1.1512	0.9575
0.3267	-0.2471	0.8139	0.2938	1.3045	0.8452	0.3833	-1.2374	0.4336
1.8667	0.4121	0.5132	-3.7791	0.9695	0.1168	-0.6547	0.9288	-0.3757
1.0289	0.4043	0.4836	-3.7892	1.1727	0.1655	-0.7813	0.9902	-0.1563
0.638	0.2685	0.5566	-0.1284	1.0681	0.558	-0.2381	0.9172	0.1695
0.6356	0.2674	0.5603	-0.0303	0.9819	0.5626	-0.234	0.9179	0.1314
0.7989	0.1554	0.5713	-0.9607	0.7815	0.4675	-0.0099	0.12	0.0399
0.1769	0.5233	1.7998	-0.5748	0.2934	-0.8607	-2.6416	1.5725	-0.3732
0.1779	0.5378	1.8022	-0.564	0.2811	-0.8579	-2.6401	1.5635	-0.384
0.1649	-0.4879	0.7865	0.8465	-0.2733	0.6503	-0.1996	1.4107	1.9464
-0.572	-0.9377	0.738	1.2759	0.2771	1.3482	-0.4263	0.5096	0.4654
-0.5994	-0.9413	0.7479	1.2703	0.2845	1.2719	-0.418	0.511	0.4643
-0.5978	-0.9367	0.7445	1.2758	0.2743	1.3146	-0.4247	0.5053	0.4719
-0.6048	-0.9355	0.7421	1.2793	0.2804	1.352	-0.4283	0.5037	0.4519
-0.6038	-0.9382	0.7421	1.2689	0.2812	1.3143	-0.4182	0.5092	0.4719
-0.0923	-3.9754	0.4789	0.3042	-1.6261	0.9011	0.5042	1.458	1.8299
-0.0954	-3.6529	0.4745	0.3093	-1.6222	0.8619	0.5093	1.4931	1.8066
-0.1133	0.1053	0.8847	-0.2193	-0.1134	0.2155	-2.0515	0.8825	0.0266
0.0162	1.1136	-0.2436	0.9257	-1.1036	-1.8134	1.2804	-0.7646	0.8224
0.0111	1.1696	-0.2427	0.9202	-1.1035	-1.814	1.2837	-0.7665	0.8191
0.02	1.1728	-0.2488	0.8329	-1.1108	-1.809	1.2867	-0.7699	0.821
0.0259	1.1731	-0.2459	0.8151	-1.1144	-1.8259	1.2831	-0.7636	0.8114
0.0243	1.1636	-0.2344	0.8536	-1.1091	-1.82	1.2854	-0.7655	0.8183
1.1465	0.0127	1.2605	-0.0317	1.6896	-1.3634	0.5275	-1.7999	-0.4342
-0.3184	1.1643	-0.2148	0.068	0.5874	-0.1767	0.0254	0.0542	0.1761
-0.2372	-2.585	-4.8699	-0.7145	-7.967	0.5881	4.3409	3.6676	-2.0254
-0.3611	-1.5246	0.6023	0.4972	-0.7579	-0.3097	1.8738	-1.5299	-1.9964
-0.891	0.2871	-1.0149	-1.314	1.2643	0.758	-1.4506	1.0052	-0.205
-2.1398	1.0426	-1.8738	-0.7756	1.2728	0.2861	-1.4484	0.9209	0.0835
0.3643	0.3513	-0.797	-0.7193	1.0852	0.6149	-1.0492	0.6822	-0.3892
-0.7546	-1.2261	-0.5805	1.2728	1.3949	1.3564	-1.2183	0.7276	-0.179
-0.7158	-1.3723	-0.5873	1.2754	1.3917	1.3648	-1.218	0.7307	-0.1806
-0.8947	1.639	-0.8722	-2.201	1.3753	0.4438	-1.561	1.0962	-0.2947
-0.4352	0.0987	0.0043	-0.6263	-2.8794	-0.6269	-9.2654	14.9854	-1.0218
0.5882	0.0109	-0.0689	0.9228	-0.1305	-0.0061	0.7018	-0.3492	1.0786
0.8189	0.1599	-0.0336	-0.6207	1.2759	0.0829	-0.5625	-0.2873	0.8864
-0.1295	-0.6887	0.3873	0.7905	-0.786	1.2892	-1.9912	0.0599	-1.2752
-0.1221	-0.7508	0.3279	0.7856	-0.7975	1.2988	-1.9923	0.0623	-1.2844
-0.1256	-0.7513	0.383	0.7937	-0.7934	1.2944	-1.9948	0.0844	-1.2778
-0.1248	-0.7471	0.3849	0.7863	-0.7873	1.2958	-1.9975	0.1043	-1.2822
-0.1207	-0.7139	0.3817	0.7847	-0.7936	1.2981	-1.9906	0.0653	-1.2762
1.9345	1.881	1.0401	0.3245	-0.7206	-0.4897	1.0432	-0.9046	-0.9774
0.6245	0.5489	1.2311	-0.8162	0.031	0.7616	-0.9028	0.1695	0.7982
1.016	0.5553	1.143	-0.9241	0.0506	0.2229	-0.7796	0.2407	0.7065
-0.735	0.0082	0.6556	0.7236	0.9948	-0.843	0.1992	0.1475	1.3036
-0.7425	0.0378	0.636	0.8012	0.9899	-0.7687	0.1568	0.0915	1.2439
-1.3488	0.1319	0.4716	0.5189	0.8925	-0.7615	-0.0385	0.2384	1.349
1.0144	0.005	1.0466	0.189	0.1869	0.028	-0.1941	-0.3823	-0.4131
1.012	0.0018	1.0206	0.188	0.1799	0.0685	-0.1941	-0.3844	-0.3733
-0.5389	0.9625	-0.4405	-0.9493	0.0886	-0.1416	-0.2093	0.408	0.0756
-0.4656	0.8194	-0.4064	-0.9401	0.1184	-0.188	-0.2204	0.3838	0.1094
