"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
-0.1022	-0.7153	0.1755	-0.6538	-0.1326	0.4457	-0.8649	1.0392	0.2742
-0.5186	-0.6835	-0.1109	0.9764	-0.7898	1.4349	0.2215	0.1041	0.9102
-0.5222	-0.6704	-0.1467	0.9815	-0.7963	1.434	0.2262	0.1082	0.8637
-0.5185	-0.641	-0.1477	0.969	-0.7908	1.4312	0.2166	0.0997	0.9078
-0.521	-0.6717	-0.1443	0.9683	-0.782	1.4343	0.2097	0.1144	0.9106
-0.5207	-0.6788	-0.1465	0.9785	-0.7863	1.3469	0.2128	0.1001	0.9112
-0.5164	-0.6776	-0.1389	0.977	-0.786	1.4361	0.224	0.1126	0.8149
-0.4806	-0.6759	-0.1361	0.9729	-0.7884	1.4345	0.2243	0.0987	0.9171
-0.4916	-0.6739	-0.1394	0.9716	-0.7866	1.4341	0.2224	0.101	0.9096
-0.5223	-0.6685	-0.1461	0.9633	-0.7844	1.433	0.2218	0.103	0.9034
-0.5105	-0.6714	-0.144	0.9717	-0.7925	1.4349	0.2182	0.1036	0.9095
0.972	-1.3078	0.9986	0.3399	0.5436	0.7038	-0.0113	-1.6568	0.7185
0.9575	-1.5166	1.0146	0.3285	0.5191	0.5988	0.0046	-1.4157	0.7548
0.9541	-1.5164	1.0247	0.3281	0.5569	0.603	0.0128	-1.5212	0.7527
-0.1926	-0.2504	0.2296	0.2016	0.1599	0.3776	-0.0047	-0.313	0.0356
-0.3733	-2.2945	0.0992	0.0157	0.2317	0.8011	-0.0794	0.0332	0.1405
-0.5004	-3.3463	0.0319	0.093	0.2084	1.0051	-0.1426	0.1182	0.1593
-0.109	0.0064	0.3892	0.0996	-1.1198	0.1037	-0.4857	-0.0028	0.5185
