"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6625	0.7026	0.8206	0.0981	0.726	0.6915	0.7972	0.717	0.6846
0.097	0.4012	0.0949	0.0956	0.1004	0.1044	0.1021	0.0973	0.1007
0.0935	0.0942	0.0931	0.0964	0.4011	0.0946	0.0936	0.103	0.095
0.0962	0.4185	0.0971	0.0939	0.0922	0.0959	0.0994	0.0974	0.0979
0.0954	0.4157	0.0956	0.0946	0.0952	0.0984	0.0931	0.0992	0.0955
0.089	0.0858	0.0966	0.0973	0.0997	0.3848	0.091	0.0975	0.0961
0.1019	0.1019	0.0984	0.0942	0.0974	0.3955	0.0969	0.0992	0.1009
0.0996	0.3912	0.0964	0.0946	0.0963	0.0967	0.0986	0.1022	0.0969
0.3572	0.0911	0.0977	0.0924	0.0944	0.104	0.0942	0.1015	0.0947
0.0953	0.0969	0.4072	0.1004	0.0958	0.0913	0.0994	0.0973	0.0985
0.0946	0.0927	0.4229	0.0949	0.0957	0.0948	0.0958	0.0958	0.0919
0.5162	0.5765	0.6728	0.0929	0.6173	0.0964	0.5444	0.0986	0.0987
0.3769	0.0967	0.7247	0.0934	0.6344	0.1003	0.0986	0.0903	0.1005
0.1009	0.094	0.7567	0.3911	0.6787	0.0995	0.0991	0.0935	0.0973
0.0986	0.7169	0.7249	0.6849	0.7512	0.6593	0.722	0.7157	0.7531
0.6127	0.0942	0.8346	0.4195	0.7203	0.7072	0.6975	0.7644	0.7164
0.5816	0.5219	0.8572	0.1045	0.7536	0.6971	0.7008	0.7325	0.7218
0.0976	0.0966	0.7467	0.0935	0.0967	0.6537	0.0972	0.6844	0.0945
0.0931	0.0944	0.0998	0.5263	0.0944	0.099	0.6278	0.6376	0.0947
0.103	0.0958	0.0994	0.0935	0.0985	0.104	0.0959	0.5712	0.0963
0.0948	0.1014	0.6367	0.5199	0.107	0.5491	0.5994	0.6131	0.0957
0.5524	0.6192	0.5933	0.0977	0.6183	0.5554	0.6227	0.6283	0.6031
0.0995	0.5313	0.6075	0.1006	0.5665	0.5269	0.6649	0.5753	0.5478
0.0908	0.0998	0.4387	0.0972	0.1032	0.0963	0.0978	0.0981	0.5519
0.094	0.0976	0.0956	0.3997	0.0931	0.1038	0.0979	0.0974	0.5432
0.0975	0.0994	0.0982	0.0941	0.0961	0.0907	0.0991	0.4599	0.521
0.0977	0.0927	0.0962	0.0939	0.486	0.0936	0.0981	0.0994	0.1016
0.0899	0.0959	0.1023	0.0912	0.0968	0.3519	0.0945	0.0952	0.1
0.662	0.0992	0.7383	0.0905	0.0995	0.0959	0.0938	0.6988	0.662
0.1031	0.1049	0.7518	0.7148	0.7054	0.6471	0.8045	0.7433	0.6993
0.102	0.0897	0.7976	0.7174	0.757	0.6976	0.7486	0.7392	0.8298
5.1544	0.0985	2.3251	0.0996	0.1052	3.788	4.8827	2.4793	3.2364
0.0935	0.0999	3.667	0.0942	0.6265	0.0993	2.4181	6.5676	0.6643
0.556	0.1051	3.6029	0.5863	0.0993	0.5895	2.3388	6.5109	0.1005
0.0971	0.097	0.0882	0.1001	0.817	0.095	0.0978	0.6067	0.6543
0.6735	0.7115	0.7785	0.0971	0.7664	0.6563	0.7393	0.7267	0.7473
0.0939	0.0989	0.0966	0.0965	0.6099	0.0996	0.0957	0.0994	0.691
0.099	0.0943	0.6376	0.0947	0.4603	0.5883	0.6576	0.5812	0.7313
0.0988	0.4329	0.6623	0.1016	0.1014	0.5487	0.6854	0.6111	0.6969
0.0966	0.0983	0.5113	0.1003	0.09	0.0934	0.0993	0.0978	0.6627
0.0949	0.0982	0.0997	0.0964	0.0946	0.0935	0.0944	0.3913	0.6467
0.096	0.5658	0.6205	0.096	0.6502	0.5505	0.6087	0.5885	0.693
0.0931	0.0986	0.1013	0.1021	0.1	0.0927	0.0938	0.096	0.3835
0.1011	0.1012	0.4368	0.0941	0.0962	0.0948	0.0969	0.1002	0.0943
0.1014	0.0982	0.7035	0.093	0.7553	1.4712	0.0961	0.7239	1.8834
0.0959	0.1012	0.4194	0.0971	0.0952	0.0907	0.0934	0.0969	0.0997
0.0949	0.0935	0.1008	0.0931	0.0976	0.0931	0.3806	0.0947	0.098
0.0997	0.3906	0.0988	0.0965	0.0985	0.1022	0.0987	0.0943	0.0971
0.1007	0.0932	0.0937	0.1017	0.1006	0.3737	0.0978	0.0999	0.0989
0.1064	0.0927	0.0991	0.0995	0.1006	0.0976	0.393	0.0988	0.0963
0.0955	0.0929	0.1	0.4036	0.0994	1.3928	0.0981	0.1019	1.8307
0.1001	0.5145	0.105	0.0929	0.0947	1.4068	0.0976	0.0966	1.8157
0.0948	0.0983	0.8063	0.0937	0.714	0.0956	0.0906	0.0973	0.0972
0.0931	0.0948	0.4181	0.0912	0.0989	0.1015	0.0983	0.0938	0.0956
0.0966	0.0953	0.1028	0.3827	0.0965	0.0979	0.0953	0.0983	0.0951
0.104	0.3938	0.0956	0.0929	0.0929	0.0986	0.0985	0.0982	0.1046
0.0967	0.0971	0.0999	0.3993	0.095	0.0928	0.0964	0.1019	0.0945
0.0972	0.0964	0.0972	0.0979	0.0992	0.0984	0.0949	0.0972	0.3793
0.0946	0.1028	0.0955	0.0936	0.7144	0.1	0.0908	0.0947	0.0954
0.6382	0.0964	0.7639	0.0995	0.6906	0.6473	0.7562	0.7285	0.0981
0.686	0.1006	2.3238	0.704	4.9379	2.0597	4.3187	3.3943	2.3153
0.0986	0.0956	0.0953	0.0918	0.0976	0.0938	0.6498	0.0937	0.1033
0.5217	0.5996	0.618	0.093	0.6156	0.6066	0.591	0.5853	0.5926
