"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.7032	0.7454	0.7243	0.0973	0.7051	0.6609	0.7762	0.7022	0.7695
0.099	0.0929	0.0943	0.0973	0.3724	0.1007	0.1001	0.098	0.0981
0.0997	0.0944	0.0951	0.0958	0.1002	0.0997	0.3888	0.0938	0.0946
0.094	0.1038	0.0952	0.0947	0.0974	0.0916	0.4134	0.0943	0.0998
0.1014	0.0969	0.1017	0.0912	0.0947	0.1012	0.091	0.1033	0.3777
0.1016	0.0979	0.0952	0.0988	0.0996	0.0923	0.1004	0.3823	0.0946
0.3905	0.0974	0.099	0.099	0.1015	0.099	0.0926	0.0931	0.0952
0.0947	0.0966	0.0964	0.0917	0.098	0.098	0.096	0.095	0.3886
0.093	0.0921	0.3456	0.0919	0.0964	0.0955	0.0924	0.0961	0.0981
0.0983	0.0967	0.0963	0.0958	0.0956	0.3604	0.0968	0.097	0.0913
0.0965	0.0992	0.0961	0.0962	0.0978	0.1	0.4043	0.0943	0.0995
0.557	0.5565	0.6682	0.101	0.6507	0.094	0.1014	0.5553	0.0964
0.0982	0.0972	0.5949	0.3773	0.6656	0.1026	0.0938	0.0968	0.0943
0.0943	0.1019	0.593	0.0942	0.6768	0.0968	0.0928	0.0943	0.4197
0.0975	0.7086	0.7097	0.6341	0.676	0.632	0.7719	0.7763	0.6967
0.6527	0.5207	0.7522	0.0974	0.6513	0.6182	0.8707	0.7406	0.7504
0.686	0.0984	0.731	0.4179	0.6807	0.6487	0.82	0.778	0.7732
0.0974	0.0984	0.1049	0.0939	0.1019	0.6303	0.7604	0.7268	0.095
0.097	0.0965	0.5659	0.0949	0.0977	0.0989	0.6088	0.6034	0.0969
0.0989	0.1013	0.098	0.0934	0.5502	0.0919	0.0962	0.1007	0.0986
0.1023	0.0959	0.5864	0.1047	0.095	0.5416	0.6138	0.6473	0.5811
0.5547	0.6152	0.5964	0.0902	0.5286	0.4866	0.656	0.6164	0.6291
0.0996	0.5604	0.5911	0.0989	0.5841	0.496	0.6791	0.6193	0.587
0.0928	0.099	0.1008	0.1011	0.4169	0.0949	0.0989	0.1027	0.5934
0.0921	0.099	0.0989	0.3733	0.0967	0.0985	0.0918	0.0938	0.5671
0.0999	0.0952	0.1001	0.0955	0.0959	0.0957	0.3807	0.0958	0.5935
0.3741	0.097	0.09	0.0945	0.0963	0.0903	0.0989	0.0985	0.0976
0.1009	0.0979	0.0976	0.098	0.0983	0.098	0.0957	0.3856	0.0977
0.7749	0.0992	0.6803	0.6314	0.0996	0.1017	0.0932	0.7265	0.098
0.6717	0.099	0.696	0.0936	0.7101	0.6143	0.77	0.7796	0.7575
0.6972	0.0955	0.67	0.096	0.844	0.6894	0.8197	0.763	0.7963
4.2627	5.5803	7.0335	0.103	0.1004	3.534	0.0937	6.4902	4.7668
0.0978	0.0956	2.3979	0.0999	0.0994	2.4714	3.3627	4.8594	3.413
0.5982	0.1058	2.3106	0.1001	0.1032	2.463	3.5023	4.5811	3.3368
0.1017	0.0944	0.0967	0.0997	0.6788	0.6098	0.0985	0.0914	0.6463
0.6752	0.7027	0.7635	0.0959	0.7174	0.6353	0.757	0.9472	0.7158
0.0961	0.1023	0.6352	0.0947	0.0977	0.096	0.0984	0.1001	0.6519
0.0999	0.0994	0.657	0.0985	0.563	0.5282	0.6714	0.6098	0.7364
0.0995	0.0957	0.6283	0.0985	0.5605	0.5493	0.6964	0.6387	0.7428
0.4192	0.0951	0.0939	0.098	0.0977	0.0993	0.0968	0.0977	0.7139
0.0951	0.3821	0.0989	0.0939	0.0967	0.097	0.0988	0.0973	0.7362
0.0953	0.5851	0.6	0.103	0.5548	0.5437	0.6068	0.5685	0.736
0.0937	0.0945	0.0914	0.0943	0.0917	0.0929	0.0955	0.4136	0.1042
0.0984	0.099	0.3742	0.0956	0.0957	0.099	0.0957	0.0989	0.0931
0.0974	0.0998	0.7559	0.0927	0.6525	1.5889	0.1006	0.8198	1.0447
0.0923	0.095	0.0981	0.0978	0.0945	0.344	0.098	0.1017	0.1015
0.0952	0.095	0.0992	0.3787	0.0921	0.0968	0.105	0.0945	0.0993
0.0959	0.1022	0.0972	0.0938	0.0928	0.0917	0.4053	0.0958	0.0912
0.0925	0.1035	0.102	0.0947	0.0987	0.0992	0.1016	0.1005	0.4369
0.0997	0.1007	0.0952	0.0937	0.0906	0.0957	0.0927	0.3989	0.103
0.0934	0.1024	0.0979	0.1004	0.4142	1.634	0.1001	0.097	1.0505
0.0996	0.095	0.1007	0.0934	0.1021	1.6568	0.4405	0.0956	1.1146
0.0952	0.0971	0.1003	0.1001	0.6159	0.0932	0.0985	0.6667	0.0951
0.0947	0.0996	0.1004	0.3886	0.0965	0.0947	0.1046	0.095	0.0928
0.0973	0.101	0.0965	0.1016	0.093	0.0922	0.1005	0.3699	0.1022
0.0902	0.0971	0.0994	0.0924	0.0955	0.319	0.1019	0.0946	0.0997
0.0961	0.0927	0.0956	0.0927	0.3876	0.098	0.1018	0.0972	0.0943
0.0975	0.1003	0.3777	0.0923	0.0909	0.0983	0.0962	0.1013	0.0962
0.0974	0.6489	0.0965	0.0946	0.0961	0.0889	0.0998	0.1002	0.0973
0.7058	0.1051	0.6453	0.6971	0.094	0.6093	0.747	0.7465	0.0967
0.7623	0.0913	5.0055	2.5137	2.9927	1.6376	4.6979	3.6711	5.2634
0.71	0.101	0.0957	0.0929	0.1044	0.0988	0.0968	0.0947	0.0985
0.5678	0.0959	0.5717	0.548	0.5759	0.5205	0.6497	0.6704	0.6447
0.094	0.5658	0.1008	0.1031	0.592	0.0961	0.6133	0.6403	0.5766
0.5786	0.1001	0.6475	0.0991	0.5746	0.5124	0.5931	0.5854	0.6344
0.0961	0.1003	0.1007	0.1035	0.0972	0.3471	0.0969	0.0956	0.0954
0.0952	0.0963	0.1002	0.0869	0.0984	0.0966	0.0934	0.392	0.0926
0.5951	0.6168	0.6158	0.104	0.0979	0.4892	0.6285	0.6162	0.6311
0.0991	3.2817	0.1026	0.0989	0.0984	0.1025	4.7017	6.6992	4.6851
0.0978	0.094	0.0978	0.0938	0.099	0.0957	0.6771	0.0969	0.0964
0.0914	0.1049	0.0926	0.0921	0.0974	0.5197	0.6203	0.5882	0.1042
0.1055	0.0979	0.1021	0.1012	0.0924	0.0978	0.0928	0.3862	0.0971
0.0966	0.1009	0.0954	0.0975	0.0983	0.096	0.3915	0.0998	0.0955
0.0947	0.0998	0.3592	0.1021	0.0985	0.09	0.1044	0.0974	0.0993
0.0922	0.0952	0.0955	0.0936	0.0973	0.0934	0.0915	0.0976	0.403
0.0946	0.0963	0.3708	0.0962	0.0917	0.0968	0.0968	0.0952	0.0972
0.1021	0.5647	0.548	0.0931	0.5739	0.0943	0.0981	0.0983	0.0974
0.1014	0.0942	0.0916	0.4972	0.1028	0.0905	0.0942	0.0958	0.093
0.0946	0.1057	0.5262	0.0976	0.5468	0.5031	0.0956	0.0991	0.0976
0.5631	0.1007	0.7707	0.0954	0.0986	0.7552	0.7611	0.7192	0.7073
0.5714	0.0967	0.753	0.0958	0.0893	0.7544	0.7115	0.7291	0.7002
0.1001	0.0974	0.7458	0.518	0.5684	0.735	0.7609	0.816	0.7537
0.6994	0.6771	0.6996	0.0998	0.6856	0.6562	0.7814	0.6707	0.692
