"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6307	0.7709	0.735	0.0994	0.7185	0.6308	0.7654	0.6526	0.7205
0.0937	0.0987	0.0982	0.0995	0.098	0.1005	0.3786	0.0941	0.0929
0.0987	0.4205	0.0927	0.0955	0.1009	0.1062	0.0992	0.0991	0.0965
0.0917	0.0912	0.1012	0.097	0.1001	0.3453	0.0928	0.0992	0.0927
0.0981	0.4163	0.0943	0.1009	0.0934	0.0935	0.0933	0.0914	0.0958
0.0981	0.094	0.0948	0.0981	0.377	0.1026	0.0951	0.0934	0.095
0.0933	0.0975	0.3863	0.0959	0.0934	0.0982	0.0953	0.101	0.0965
0.096	0.1	0.0969	0.3576	0.1038	0.1007	0.0975	0.094	0.1004
0.0924	0.4235	0.0944	0.0986	0.0934	0.0934	0.0931	0.0979	0.0949
0.0982	0.095	0.0947	0.0961	0.3831	0.0969	0.0955	0.0947	0.0924
0.0977	0.4077	0.0979	0.1001	0.0948	0.0951	0.0945	0.0957	0.1018
0.6109	0.6042	0.7547	0.1023	0.6978	0.5087	0.0967	0.0959	0.0968
0.0905	0.0978	0.6924	0.0984	0.6449	0.0907	0.0994	0.444	0.0984
0.0985	0.0913	0.6717	0.3535	0.6428	0.1007	0.0955	0.0946	0.0972
0.0988	0.7154	0.7138	0.6818	0.6662	0.6752	0.728	0.7656	0.7315
0.672	0.5431	0.6911	0.0958	0.6999	0.6611	0.7406	0.7294	0.7549
0.6337	0.092	0.699	0.3865	0.6958	0.6698	0.7729	0.7323	0.7244
0.0969	0.0949	0.0976	0.0936	0.656	0.6317	0.0915	0.6755	0.1011
0.0976	0.0986	0.0968	0.0973	0.0962	0.0943	0.5535	0.5778	0.5417
0.1018	0.0933	0.0856	0.4821	0.0949	0.0955	0.1008	0.108	0.0953
0.0957	0.1059	0.6129	0.0984	0.5742	0.5378	0.623	0.5927	0.0979
0.5477	0.0996	0.6461	0.5547	0.57	0.5159	0.6441	0.5909	0.6409
0.5367	0.0927	0.6351	0.0967	0.5533	0.5455	0.6273	0.6028	0.5842
0.3848	0.0966	0.0983	0.0973	0.0977	0.087	0.0969	0.099	0.5357
0.0944	0.094	0.0953	0.099	0.106	0.3675	0.0979	0.0999	0.5731
0.1004	0.1006	0.1018	0.0956	0.0979	0.0875	0.0976	0.4226	0.5741
0.0922	0.0918	0.0959	0.0992	0.5505	0.0978	0.0991	0.0983	0.0977
0.0966	0.0975	0.0957	0.0951	0.5578	0.0936	0.1008	0.0973	0.1008
0.6486	0.095	0.7298	0.7458	0.0957	0.0976	0.0967	0.6964	0.0995
0.6586	0.0982	0.7675	0.098	0.7244	0.6373	0.7479	0.7321	0.7674
0.7059	0.0977	0.6956	0.1004	0.6748	0.697	0.7469	0.7447	1.456
4.8314	0.101	3.5417	5.3169	0.096	4.3914	0.0971	4.3808	5.5085
0.0977	0.1003	6.5187	1.7535	0.1014	0.1008	2.0873	2.0529	0.7818
0.6063	0.0989	6.4087	1.7648	0.0931	0.5778	2.1228	2.0671	0.1028
0.625	0.0976	0.0985	0.0943	0.6421	0.0947	0.0958	0.0953	0.7109
0.6786	0.1058	0.7615	0.737	0.6775	0.6976	0.7727	0.7458	0.8523
0.5406	0.1006	0.1005	0.0951	0.1024	0.0961	0.0925	0.0918	0.671
0.0999	0.0952	0.5976	0.0979	0.4909	0.4935	0.6419	0.6421	0.7096
0.0929	0.0979	0.602	0.4148	0.1021	0.4863	0.6684	0.6289	0.6607
0.0963	0.0964	0.421	0.094	0.0903	0.1013	0.0984	0.1011	0.6216
0.0926	0.4766	0.0992	0.101	0.0914	0.0953	0.0895	0.0966	0.5946
0.574	0.0995	0.5917	0.1005	0.5644	0.5213	0.6063	0.591	0.6891
0.1053	0.0979	0.0939	0.0918	0.0945	0.0973	0.0921	0.3953	0.0959
0.0996	0.0975	0.0911	0.0983	0.3881	0.0958	0.1	0.0959	0.0998
0.7351	0.1019	0.758	0.098	0.1014	1.7267	0.1002	0.6936	1.6047
0.0975	0.1026	0.0978	0.1006	0.0997	0.0928	0.3779	0.0952	0.0936
0.0993	0.0978	0.0959	0.0954	0.0946	0.3808	0.1011	0.0984	0.096
0.0926	0.4118	0.0966	0.0965	0.0936	0.0928	0.096	0.0943	0.0984
0.0973	0.4359	0.0991	0.0945	0.0989	0.0902	0.096	0.0919	0.0999
0.0954	0.0924	0.101	0.0923	0.0955	0.0954	0.0977	0.099	0.4041
0.0947	0.095	0.4037	0.099	0.0888	1.6886	0.0986	0.0923	1.7482
0.0927	0.0961	0.1003	0.0983	0.1018	1.7107	0.4583	0.0947	1.747
0.0973	0.0975	0.0997	0.0978	0.6771	0.0967	0.095	0.6871	0.0985
0.0966	0.0949	0.0983	0.0941	0.1016	0.0991	0.0974	0.095	0.4258
0.1057	0.0918	0.0937	0.0953	0.3854	0.0965	0.0933	0.0974	0.098
0.0904	0.0889	0.0908	0.0944	0.3633	0.0981	0.0969	0.0985	0.0998
0.0935	0.424	0.0946	0.0981	0.0968	0.0993	0.095	0.0986	0.0992
