"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.7139	0.1022	0.7437	0.7055	0.6897	0.6309	0.7424	0.7336	0.7488
0.102	0.0934	0.0998	0.3871	0.0999	0.0933	0.0957	0.0982	0.0905
0.0913	0.0936	0.098	0.3903	0.0963	0.0995	0.1021	0.095	0.0948
0.0953	0.405	0.1029	0.0952	0.0977	0.0995	0.0993	0.0965	0.0973
0.0946	0.0912	0.0954	0.377	0.0936	0.1013	0.1026	0.1002	0.0973
0.1026	0.0907	0.1048	0.0913	0.0988	0.0962	0.3891	0.099	0.0975
0.0952	0.0978	0.0947	0.3827	0.0969	0.0954	0.0961	0.0987	0.0957
0.0946	0.095	0.0962	0.0983	0.0981	0.0959	0.1016	0.3808	0.0976
0.386	0.0928	0.0996	0.0852	0.0923	0.099	0.1021	0.0942	0.1007
0.094	0.095	0.103	0.0988	0.0942	0.0941	0.0932	0.0934	0.3557
0.0977	0.0956	0.0948	0.3769	0.0962	0.0953	0.0968	0.0963	0.0967
0.6061	0.5963	0.7141	0.5376	0.7476	0.09	0.0999	0.0937	0.0969
0.0922	0.0979	0.729	0.0931	0.6941	0.3877	0.0905	0.0958	0.1008
0.0909	0.0973	0.7224	0.096	0.6557	0.0955	0.1053	0.0948	0.4469
0.0959	0.7477	0.6953	0.69	0.7145	0.6885	0.7047	0.8109	0.6583
0.6756	0.1041	0.7633	0.6649	0.7689	0.6761	0.7793	0.7335	0.6656
0.6618	0.1004	0.7017	0.7195	0.7395	0.6659	0.7593	0.7368	0.6605
0.698	0.0925	0.0947	0.1	0.0968	0.6104	0.1018	0.6832	0.0936
0.1021	0.5597	0.0954	0.0972	0.0995	0.0924	0.568	0.6133	0.0986
0.0988	0.0968	0.1	0.5036	0.0956	0.0931	0.1002	0.0967	0.0969
0.1005	0.1077	0.6469	0.0974	0.5934	0.5503	0.5874	0.6434	0.0985
0.5886	0.6155	0.6323	0.096	0.5582	0.538	0.5369	0.5743	0.5084
0.5989	0.1035	0.6217	0.0979	0.5647	0.598	0.6161	0.6025	0.5487
0.1001	0.0982	0.0997	0.0955	0.0941	0.0965	0.1004	0.3862	0.4844
0.405	0.1002	0.0971	0.0975	0.0929	0.0972	0.0931	0.0937	0.4715
0.1059	0.0959	0.0976	0.0892	0.1011	0.093	0.4058	0.0913	0.5201
0.0922	0.0937	0.4155	0.0941	0.1044	0.0997	0.0914	0.0991	0.0976
0.0912	0.4133	0.096	0.0958	0.0942	0.0981	0.1017	0.0965	0.0992
0.6891	0.0972	0.7282	0.0933	0.0913	0.0995	0.7094	0.7411	0.1037
0.1021	0.094	0.774	0.6835	0.702	0.6195	0.7217	0.7342	0.7008
0.0953	0.0961	0.7738	0.7306	0.7079	0.6903	0.7896	0.8084	0.64
1.9883	0.0963	3.7357	0.0904	0.0999	3.5495	3.722	3.7981	3.4793
0.0959	0.103	2.1662	0.0962	0.5973	0.0936	3.3272	3.9608	0.6082
0.5782	0.7134	2.1568	0.1051	0.104	0.5667	3.3939	3.8815	0.0983
0.0955	0.701	0.095	0.0937	0.6776	0.0985	0.0995	0.1025	0.6228
1.8109	0.7014	0.7578	0.0964	0.6877	0.8133	0.763	0.7292	0.6558
0.0917	0.0916	0.6168	0.0871	0.1023	0.0953	0.0996	0.0927	0.6584
0.0959	0.0952	0.5914	0.4129	0.0932	0.5477	0.7216	0.6461	0.6297
0.0959	0.4687	0.6355	0.1011	0.0949	0.5738	0.7412	0.666	0.6565
0.0914	0.0992	0.4273	0.0968	0.0959	0.104	0.0946	0.0995	0.5808
0.0992	0.4877	0.0975	0.0941	0.0986	0.1005	0.0982	0.0961	0.592
0.0962	0.0938	0.586	0.5639	0.5558	0.5323	0.6435	0.6483	0.6261
0.0928	0.0968	0.0977	0.0982	0.0989	0.0984	0.0955	0.0974	0.4023
0.1	0.0953	0.4472	0.0994	0.1	0.0961	0.0955	0.1015	0.0948
0.0978	0.0998	0.6979	0.688	0.0991	2.1541	0.1022	0.6961	1.1414
0.0996	0.0975	0.0953	0.3976	0.09	0.0952	0.0962	0.1037	0.0999
0.4175	0.1005	0.1036	0.0959	0.1013	0.0998	0.0948	0.0972	0.0979
0.0972	0.0902	0.0895	0.1004	0.09	0.3717	0.095	0.0933	0.0961
0.4086	0.0962	0.0968	0.1023	0.0931	0.094	0.0909	0.0944	0.1002
0.0929	0.0959	0.0947	0.0972	0.1013	0.1016	0.0871	0.1023	0.347
0.7533	0.0973	0.0935	0.0952	0.0975	2.2506	0.0976	0.0969	1.1984
0.7608	0.0969	0.0991	0.0964	0.098	2.2238	0.0958	0.1014	1.1855
0.1011	0.097	0.0953	0.0965	0.7341	0.0965	0.1	0.6612	0.0994
0.0953	0.0993	0.0959	0.3935	0.0957	0.0975	0.098	0.0978	0.0967
0.0986	0.1005	0.0991	0.0987	0.3793	0.0936	0.0961	0.0938	0.0984
0.0971	0.0939	0.0982	0.0982	0.0963	0.0894	0.096	0.4375	0.0973
0.4139	0.0939	0.0977	0.092	0.099	0.0961	0.1007	0.0967	0.0948
0.0933	0.3965	0.0919	0.1008	0.1017	0.096	0.0982	0.1006	0.0957
0.0944	0.1015	0.0929	0.0983	0.0938	0.1014	0.0951	0.6986	0.1003
0.6582	0.7565	0.7271	0.1021	0.0932	0.6027	0.7219	0.7026	0.103
2.1959	0.0963	2.735	0.7781	1.537	2.2664	3.1557	2.6862	1.8669
0.0977	0.0979	0.1019	0.0954	0.6956	0.0998	0.0971	0.1001	0.0975
0.5612	0.1021	0.5779	0.6056	0.5321	0.5574	0.633	0.6713	0.5201
0.0973	0.0944	0.5966	0.0932	0.6102	0.0949	0.6453	0.6643	0.5322
0.5531	0.0972	0.6367	0.1013	0.5199	0.5199	0.6006	0.6899	0.5135
0.1057	0.4113	0.101	0.1009	0.0985	0.0974	0.0969	0.093	0.0919
0.1008	0.0981	0.0968	0.098	0.3986	0.0918	0.1011	0.1013	0.0981
0.5742	0.0963	0.5979	0.5699	0.1005	0.5823	0.6093	0.6852	0.4807
0.1	0.0996	0.102	0.096	4.3811	0.0919	3.4169	4.7783	2.9617
0.0982	0.104	0.1039	0.1021	0.0974	0.6147	0.0997	0.1013	0.096
0.0977	0.0958	0.0991	0.0968	0.5481	0.5287	0.0953	0.5692	0.0955
0.0964	0.0981	0.0984	0.0937	0.0943	0.0906	0.0954	0.1011	0.353
0.1004	0.0986	0.099	0.3725	0.0944	0.101	0.1037	0.096	0.0993
0.106	0.099	0.0993	0.0941	0.0995	0.0947	0.099	0.1015	0.3548
0.1033	0.097	0.1002	0.0923	0.0947	0.0976	0.4448	0.0995	0.0924
