"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6395	0.0945	0.8365	0.696	0.7401	0.6911	0.7697	0.7127	0.7198
0.0972	0.1065	0.0973	0.0974	0.0958	0.0945	0.0946	0.3511	0.0974
0.0959	0.4338	0.0971	0.0935	0.1001	0.1001	0.0993	0.1026	0.0974
0.1004	0.0963	0.0945	0.0896	0.0966	0.3847	0.0967	0.0972	0.0923
0.0942	0.0969	0.104	0.104	0.0955	0.0956	0.0913	0.3633	0.0963
0.0953	0.097	0.0988	0.0942	0.0967	0.1027	0.0963	0.3486	0.1025
0.0987	0.0981	0.0951	0.0952	0.093	0.3719	0.0972	0.0907	0.0928
0.0908	0.0944	0.0992	0.1	0.3992	0.1038	0.0958	0.0969	0.0974
0.098	0.0974	0.0982	0.1012	0.0974	0.3837	0.1008	0.0943	0.1014
0.0979	0.0987	0.095	0.0995	0.4279	0.0976	0.0972	0.0971	0.0987
0.093	0.0981	0.0984	0.0981	0.0993	0.0928	0.3738	0.0975	0.0984
0.5707	0.6444	0.7322	0.0967	0.6886	0.6473	0.0977	0.103	0.1005
0.093	0.0966	0.7142	0.0987	0.659	0.4061	0.097	0.0954	0.0948
0.0984	0.0978	0.7335	0.0967	0.7101	0.0983	0.0975	0.0939	0.4439
0.0916	0.8752	0.7279	0.6798	0.6621	0.6889	0.7609	0.7157	0.7331
0.6799	0.093	0.6624	0.4843	0.6828	0.653	0.7074	0.7426	0.6931
0.6635	0.4406	0.6613	0.097	0.6808	0.6423	0.6653	0.7112	0.694
0.6809	0.0916	0.0992	0.0955	0.0991	0.645	0.1002	0.6099	0.0963
0.0983	0.093	0.0976	0.0953	0.0971	0.0912	0.5507	0.5663	0.5586
0.0896	0.1024	0.0976	0.0997	0.0986	0.1016	0.0945	0.1008	0.5609
0.0954	0.1018	0.6261	0.0958	0.0988	0.5854	0.5959	0.5674	0.5657
0.5459	0.0979	0.5749	0.5641	0.571	0.5904	0.6198	0.5867	0.6046
0.5382	0.0944	0.6142	0.0993	0.6082	0.6192	0.6243	0.6547	0.5972
0.0978	0.0947	0.1005	0.3743	0.0964	0.097	0.099	0.0953	0.585
0.0957	0.1	0.0893	0.0951	0.0989	0.0935	0.3672	0.098	0.5405
0.3755	0.1002	0.096	0.0934	0.0968	0.0988	0.0993	0.0943	0.5445
0.0969	0.101	0.445	0.0964	0.1008	0.092	0.1011	0.0953	0.0912
0.0948	0.0975	0.098	0.392	0.1059	0.0979	0.0964	0.0983	0.0956
0.6155	0.1021	0.7437	0.0978	0.6527	0.0929	0.0974	0.7182	0.0985
0.0948	0.7347	0.8181	0.0996	0.7377	0.6398	0.7192	0.7061	0.7484
0.1031	0.8549	0.7767	0.1029	0.6804	0.6798	0.7606	0.7019	0.7496
3.4404	0.1036	3.1226	4.2136	0.0964	2.2539	0.0983	3.0761	7.0235
0.0938	0.1052	2.3511	0.0995	0.1016	1.6553	2.7355	1.6125	0.7039
0.6747	0.6417	2.4311	0.1	0.0992	1.6103	2.5867	1.5253	0.0968
0.6815	0.0881	0.0947	0.0991	0.7044	0.1004	0.0955	0.102	0.6981
1.8919	0.7271	0.7651	0.0939	0.7475	0.7345	0.7396	0.8108	0.7112
0.093	0.098	0.1047	0.0949	0.0977	0.0987	0.5229	0.0996	0.642
0.4087	0.0982	0.6438	0.0914	0.0973	0.5269	0.6275	0.5581	0.7057
0.1007	0.099	0.6085	0.0957	0.4157	0.5378	0.6468	0.5718	0.7379
0.0913	0.0951	0.0904	0.0988	0.1027	0.3668	0.0914	0.0912	0.6193
0.0903	0.4611	0.0977	0.1021	0.0957	0.0964	0.0963	0.0968	0.6698
0.1078	0.5972	0.5781	0.1012	0.5736	0.5259	0.5809	0.574	0.6616
0.1021	0.0955	0.0972	0.0928	0.1016	0.0941	0.6285	0.092	0.0964
0.0951	0.0997	0.0994	0.09	0.1013	0.094	0.616	0.0969	0.0965
0.1022	0.1014	0.7432	0.6693	0.0918	1.3729	0.106	0.7127	2.2188
0.0923	0.0963	0.0991	0.097	0.0947	0.1009	0.3783	0.0932	0.0952
0.0927	0.1005	0.0969	0.0986	0.1023	0.0955	0.098	0.1019	0.4181
0.089	0.4267	0.0958	0.0943	0.0951	0.0944	0.0958	0.0986	0.0929
0.402	0.0997	0.0972	0.0945	0.0927	0.0938	0.0978	0.0997	0.0933
0.0946	0.4218	0.0897	0.0949	0.0946	0.0893	0.0932	0.0929	0.0967
0.0967	0.093	0.4487	0.093	0.0979	1.3874	0.1026	0.1057	2.2019
0.3763	0.1012	0.1012	0.0946	0.0984	1.3748	0.0993	0.0972	2.1716
0.1015	0.1022	0.0966	0.6395	0.6461	0.0937	0.0982	0.0939	0.098
0.1017	0.0973	0.098	0.0933	0.0895	0.0992	0.3592	0.0984	0.0952
0.1002	0.0964	0.4071	0.0947	0.0935	0.0932	0.0935	0.0974	0.0991
0.0938	0.1008	0.0979	0.0934	0.102	0.3729	0.0926	0.0988	0.1019
0.099	0.0921	0.098	0.3674	0.0929	0.0977	0.0957	0.0959	0.0983
0.371	0.106	0.0915	0.0943	0.0968	0.0962	0.0924	0.0968	0.0921
0.098	0.1002	0.0918	0.0916	0.0906	0.0965	0.0955	0.5901	0.092
0.6853	0.7824	0.7493	0.1029	0.0951	0.7007	0.723	0.6517	0.0924
1.6243	0.0974	2.6868	0.8882	3.7276	4.6783	3.8278	2.0994	3.2689
0.6563	0.0994	0.1032	0.0954	0.0967	0.0995	0.093	0.0942	0.0934
0.5554	0.096	0.5805	0.5414	0.5828	0.537	0.5896	0.5782	0.5871
0.0979	0.1028	0.6285	0.0975	0.5785	0.0899	0.6147	0.5234	0.6212
0.5891	0.0954	0.6037	0.0958	0.5943	0.5644	0.6264	0.5395	0.6154
0.1018	0.0891	0.0965	0.0946	0.0961	0.0942	0.3634	0.0944	0.0932
0.0944	0.0981	0.1048	0.1002	0.0974	0.3792	0.0966	0.098	0.0995
0.5761	0.6677	0.6298	0.1	0.0995	0.5643	0.5942	0.5542	0.6229
0.099	2.8333	0.0986	0.0949	0.1019	0.094	3.0091	2.7523	3.6298
0.1021	0.0958	0.0897	0.6647	0.0925	0.0946	0.0987	0.0987	0.0997
