"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6773	0.7009	0.6893	0.1001	0.6909	0.6868	0.7989	0.7122	0.6502
0.0901	0.0959	0.0933	0.0984	0.0928	0.0985	0.0965	0.3758	0.1033
0.3624	0.0955	0.0989	0.0971	0.0953	0.0972	0.0967	0.0984	0.0961
0.096	0.0932	0.0994	0.0959	0.0886	0.3694	0.0977	0.0981	0.0942
0.093	0.0964	0.0961	0.0992	0.0974	0.3639	0.0964	0.0993	0.0927
0.0995	0.1049	0.1003	0.099	0.0947	0.3548	0.0969	0.0889	0.0933
0.0972	0.1013	0.1024	0.1006	0.3629	0.0948	0.0956	0.1019	0.0969
0.0957	0.3877	0.0934	0.099	0.1035	0.0925	0.097	0.1016	0.0966
0.0977	0.0973	0.0958	0.0974	0.3718	0.0906	0.0893	0.1036	0.0977
0.0912	0.4159	0.094	0.099	0.0951	0.0971	0.0951	0.0916	0.0974
0.1016	0.1031	0.0971	0.0924	0.0984	0.0968	0.0984	0.0966	0.347
0.547	0.6308	0.7053	0.0977	0.7492	0.0897	0.0898	0.0933	0.4999
0.0909	0.1042	0.6991	0.1006	0.7071	0.0926	0.0927	0.3738	0.0967
0.0972	0.0958	0.6695	0.3761	0.7095	0.0957	0.0997	0.0961	0.0963
0.0953	0.7422	0.6758	0.6578	0.7266	0.6518	0.7611	0.7141	0.6439
0.6894	0.5556	0.6726	0.0945	0.6889	0.6914	0.7263	0.691	0.5811
0.7262	0.0949	0.6967	0.4164	0.7272	0.7413	0.7802	0.6965	0.6143
0.094	0.0943	0.0946	0.093	0.1001	0.5844	0.6904	0.6763	0.0936
0.5802	0.0978	0.1026	0.101	0.1003	0.0993	0.5634	0.5969	0.097
0.099	0.0944	0.5346	0.0991	0.092	0.0961	0.1001	0.1002	0.0961
0.0975	0.5659	0.5601	0.0959	0.0965	0.5167	0.5758	0.5599	0.0963
0.5646	0.5794	0.5929	0.1007	0.5659	0.5556	0.6433	0.6311	0.5118
0.0996	0.591	0.5293	0.0981	0.5652	0.5446	0.6027	0.5853	0.4982
0.0953	0.4033	0.1024	0.0983	0.095	0.1	0.0963	0.0968	0.4828
0.0968	0.0944	0.0956	0.1004	0.3696	0.0964	0.0994	0.0914	0.492
0.0967	0.092	0.3941	0.095	0.0998	0.0964	0.0963	0.093	0.4689
0.0936	0.0973	0.0938	0.1	0.0947	0.0919	0.0969	0.4196	0.0946
0.102	0.0979	0.3995	0.0987	0.0928	0.1014	0.1025	0.1011	0.0997
0.6586	0.0955	0.6856	0.1014	0.0963	0.6338	0.0944	0.6974	0.0877
0.0989	0.7298	0.6847	0.0994	0.7126	0.6783	0.7332	0.722	0.6
0.6604	0.0965	0.7362	0.096	0.6671	0.6604	0.7797	0.7556	0.6497
2.8388	0.0987	3.2468	0.0992	4.4598	2.8534	0.0917	3.3628	4.0059
0.1021	0.0973	4.9319	0.0962	1.9704	0.0945	7.6827	6.1151	0.5692
0.5807	0.0975	4.9884	0.1022	2.0405	0.5884	7.6599	6.2414	0.0938
0.1014	0.0973	0.1015	0.0957	0.6962	0.0978	0.0952	1.6109	0.7185
0.6773	0.0982	0.8937	0.6556	0.6689	0.6389	0.7735	0.7277	0.6159
0.0934	0.0941	0.0944	0.0894	0.0945	0.0942	0.0994	0.5477	0.5434
0.3902	0.1001	0.5568	0.1048	0.0942	0.5823	0.5998	0.597	0.6132
0.0985	0.1025	0.5549	0.0967	0.3967	0.6349	0.6351	0.5797	0.6363
0.0976	0.0909	0.0937	0.1	0.0932	0.4524	0.0929	0.0946	0.5701
0.0931	0.4073	0.0984	0.0975	0.0972	0.0964	0.0936	0.1005	0.617
0.521	0.0998	0.5953	0.1015	0.5532	0.5941	0.6433	0.5923	0.5998
0.0949	0.1018	0.393	0.0917	0.0983	0.0966	0.0959	0.0966	0.0875
0.0957	0.0951	0.1017	0.0964	0.4082	0.0932	0.103	0.0971	0.0966
0.1039	0.1008	0.6419	0.7172	0.1017	1.4394	0.0947	0.6391	1.2718
0.0925	0.0971	0.096	0.0959	0.0972	0.0993	0.0957	0.3847	0.1005
0.0932	0.0971	0.3904	0.0935	0.0982	0.0958	0.0981	0.103	0.098
0.0948	0.0967	0.0916	0.3743	0.0942	0.1	0.0945	0.0964	0.0926
0.0998	0.092	0.0991	0.0992	0.0944	0.0963	0.0971	0.1	0.3351
0.0937	0.0986	0.0987	0.097	0.376	0.0917	0.0974	0.0985	0.0939
0.0925	0.0954	0.0969	0.3887	0.0972	1.3863	0.0967	0.0972	1.3301
0.0945	0.1021	0.0922	0.1005	0.1002	1.427	0.4193	0.0969	1.3157
0.6293	0.0926	0.0962	0.0969	0.662	0.0974	0.0944	0.0929	0.0951
0.1001	0.4081	0.0989	0.0903	0.0897	0.0921	0.0957	0.0993	0.0929
0.0976	0.0924	0.1017	0.0933	0.0957	0.1014	0.0958	0.1037	0.3482
0.3755	0.0998	0.0975	0.0998	0.0966	0.0976	0.0945	0.0952	0.0939
0.0953	0.0998	0.0977	0.098	0.0968	0.0966	0.3714	0.0982	0.0998
0.0922	0.4102	0.0966	0.096	0.0948	0.0987	0.0988	0.096	0.0994
0.092	0.0939	0.098	0.0986	0.7182	0.0977	0.0942	0.0981	0.0982
0.6474	0.0983	0.6939	0.6509	0.0973	0.6453	0.7457	0.7377	0.1
1.9522	0.0961	2.0051	0.7394	2.1087	2.4124	2.3289	3.7872	3.2446
0.095	0.0967	0.0981	0.1058	0.0923	0.6369	0.0995	0.1023	0.0932
0.5747	0.0996	0.5557	0.5063	0.5178	0.5	0.5872	0.6004	0.4893
0.0963	0.0989	0.5734	0.1027	0.539	0.0977	0.5915	0.6417	0.5334
0.0945	0.5844	0.5638	0.0984	0.571	0.558	0.6154	0.5792	0.5225
0.0963	0.0991	0.0956	0.0946	0.1013	0.0997	0.1009	0.0982	0.3337
0.0986	0.1012	0.0975	0.0997	0.4607	0.0968	0.0972	0.1051	0.0957
0.6337	0.5708	0.5637	0.0951	0.1002	0.54	0.6143	0.6305	0.5409
0.0955	0.1009	0.0942	2.7412	0.0942	0.0974	2.4015	3.5454	6.4308
0.0969	0.0993	0.6424	0.0962	0.0984	0.0977	0.0923	0.1004	0.099
