"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.623	0.6636	0.7267	0.0948	0.6537	0.646	0.7579	0.7632	0.7512
0.0951	0.0999	0.0973	0.3896	0.0928	0.0945	0.0971	0.0965	0.0919
0.0949	0.097	0.0981	0.3727	0.0987	0.0892	0.0985	0.1035	0.1044
0.0991	0.0997	0.4083	0.0998	0.0954	0.0986	0.0951	0.0948	0.1007
0.0877	0.0951	0.1035	0.099	0.0952	0.3566	0.0957	0.1031	0.1005
0.3534	0.0929	0.0963	0.0917	0.0966	0.098	0.0994	0.1009	0.0919
0.0928	0.0993	0.0987	0.099	0.0979	0.092	0.0907	0.0946	0.4166
0.0963	0.1036	0.4135	0.0932	0.0972	0.0997	0.1036	0.1011	0.0989
0.0899	0.1018	0.0968	0.0969	0.0987	0.364	0.0975	0.0984	0.0973
0.0942	0.0986	0.0982	0.0933	0.1	0.1003	0.1033	0.1042	0.3852
0.1029	0.0997	0.097	0.3579	0.0999	0.0959	0.0953	0.0999	0.1019
0.5198	0.5781	0.7263	0.099	0.7011	0.0982	0.0981	0.0943	0.5713
0.0988	0.0911	0.7071	0.0952	0.6284	0.4459	0.0945	0.0986	0.0936
0.0942	0.0971	0.6711	0.099	0.6167	0.1004	0.0949	0.1024	0.4388
0.0965	0.7458	0.7064	0.7134	0.6902	0.6779	0.7735	0.7181	0.7342
0.6283	0.0978	0.8948	0.4275	0.6542	0.6812	0.6735	0.7703	0.8115
0.6516	0.5226	0.8723	0.0934	0.6487	0.6069	0.674	0.7495	0.7935
0.1069	0.099	0.0986	0.0987	0.6331	0.5641	0.0981	0.6736	0.1006
0.0962	0.5897	0.1009	0.0998	0.0959	0.0976	0.6177	0.5743	0.1012
0.0932	0.1	0.1014	0.0931	0.553	0.0966	0.0969	0.0924	0.0912
0.0994	0.1041	0.5691	0.5992	0.0994	0.5271	0.6555	0.5802	0.094
0.5141	0.5793	0.5944	0.0924	0.5576	0.5659	0.6197	0.6189	0.6093
0.5128	0.1001	0.6189	0.0946	0.5998	0.5615	0.6231	0.6242	0.6267
0.0909	0.0992	0.0945	0.0982	0.0957	0.0972	0.3547	0.0979	0.5893
0.3633	0.0967	0.1031	0.0987	0.0962	0.1007	0.0928	0.0935	0.5698
0.1009	0.4059	0.0974	0.103	0.099	0.0988	0.098	0.0959	0.581
0.3691	0.0992	0.0965	0.0953	0.0992	0.0929	0.0992	0.0993	0.101
0.0925	0.1039	0.096	0.0996	0.4692	0.0959	0.096	0.095	0.0881
0.6511	0.7498	0.739	0.0926	0.0937	0.0955	0.0988	0.6401	0.0963
0.102	0.0964	0.7034	0.6911	0.6873	0.7272	0.7829	0.7756	0.8223
0.0924	0.6966	0.8057	0.1035	0.6548	0.6967	0.7359	0.8057	0.8078
2.7823	0.1015	6.2296	0.0969	2.9927	4.1451	0.0989	5.7125	5.2043
0.0962	0.5963	3.847	0.0994	0.1013	0.0916	1.7177	4.2102	0.6123
0.6339	0.0951	3.828	0.0978	0.6214	0.5687	1.6846	4.1849	0.0988
0.5897	0.0964	0.1003	0.0986	0.6854	0.0953	0.0958	0.0962	0.7779
