"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6621	0.4922	0.7384	0.0954	0.6483	0.6585	0.7006	0.6742	2.745
0.6725	0.1005	0.7099	0.3849	0.66	0.6175	0.678	0.7476	2.7597
0.0971	0.1011	0.707	0.097	0.0993	0.6824	0.7285	0.672	0.0961
0.6335	0.6662	0.6784	0.0932	0.7293	0.6532	0.7158	0.7062	0.7343
0.0989	0.6467	0.6776	0.6657	0.6546	0.6059	0.7294	0.6933	0.7147
0.1017	0.0995	5.3153	0.0963	0.0939	4.9141	2.7096	2.9133	4.5397
0.0957	0.0946	0.388	0.0931	0.0972	0.0987	0.0965	0.0941	0.0971
0.0951	0.1024	0.1022	0.0985	0.0937	0.3498	0.1002	0.0957	0.0903
0.0952	0.0961	0.0978	0.0834	0.3616	0.0941	0.0963	0.0948	0.1025
0.0973	0.0916	0.0951	0.0959	0.0918	0.0998	0.3575	0.096	0.0965
0.3671	0.0992	0.0956	0.0908	0.0982	0.0953	0.0954	0.098	0.0989
0.0932	0.0947	0.0975	0.3723	0.0987	0.1006	0.0972	0.1	0.0959
0.0991	0.0906	0.0963	0.0991	0.092	0.3339	0.104	0.0926	0.093
0.0991	0.0947	0.0991	0.0996	0.0929	0.0947	0.0923	0.3866	0.0913
0.0987	0.0987	0.0941	0.383	0.0995	0.0941	0.0927	0.1012	0.0998
0.0957	0.0969	0.0936	0.0934	0.0948	0.0976	0.0967	0.1021	0.3806
0.5349	0.5279	0.7643	0.0923	0.6446	0.1009	0.0968	0.0983	0.7598
0.0983	0.1013	0.6997	0.1027	0.6761	0.094	0.0976	0.0993	0.7084
0.1	0.095	0.6891	0.1017	0.6843	0.0983	0.1028	0.0968	0.6743
0.0935	0.665	0.6745	0.6875	0.6891	0.6056	0.6916	0.7177	0.6613
0.6419	0.4584	0.7096	0.0947	0.7143	0.6142	0.6598	0.7026	0.7366
0.6241	0.0988	0.6922	0.3967	0.7211	0.6353	0.686	0.709	0.726
0.0986	0.7131	0.0983	0.0998	0.0966	0.5892	0.0949	0.6048	0.0985
0.0936	0.0964	0.093	0.5235	0.0933	0.0927	0.5303	0.5551	0.1005
0.0926	0.094	0.0993	0.0942	0.0975	0.0993	0.0925	0.4896	0.1008
0.0977	0.0949	0.5822	0.5034	0.0947	0.5335	0.5664	0.5564	0.0965
0.5266	0.0952	0.5711	0.514	0.5835	0.5291	0.5671	0.5512	0.5686
0.5463	0.0986	0.5811	0.094	0.5813	0.5211	0.5702	0.5535	0.542
0.1014	0.0968	0.102	0.0956	0.099	0.0969	0.0991	0.3496	0.4999
0.1005	0.0977	0.1056	0.3421	0.095	0.0947	0.0952	0.0996	0.5033
0.4249	0.0949	0.1032	0.0966	0.0923	0.0955	0.0968	0.0916	0.5276
0.0985	0.0958	0.1038	0.3722	0.096	0.0983	0.0909	0.0982	0.099
0.3834	0.0981	0.0968	0.0979	0.0975	0.0972	0.095	0.0992	0.0916
0.6969	0.1009	0.6789	0.0955	0.6911	0.0976	0.0979	0.6099	0.1011
0.0977	0.6236	0.7327	0.1011	0.6378	0.6395	0.7114	0.6503	0.7234
0.0997	0.1006	0.7005	0.6483	0.7086	0.6365	0.7851	0.6602	0.7384
3.4228	0.0925	5.7022	0.0969	3.1061	3.8507	0.1026	3.0234	3.1262
0.1002	0.0923	2.2307	0.1001	0.0929	2.9965	2.7132	2.6941	0.585
0.5935	0.0979	2.2083	0.5487	0.0958	3.0286	2.6994	2.7176	0.0977
0.0931	0.1	0.0988	0.6216	0.6626	0.0964	0.0968	0.0945	1.0193
1.9346	0.7222	0.6727	0.106	0.6531	0.6296	0.7614	0.6963	0.688
0.0942	0.5443	0.0952	0.0976	0.0994	0.1013	0.0981	0.093	0.5418
0.5503	0.0943	0.5759	0.1025	0.1032	0.5292	0.575	0.5752	0.5597
0.5362	0.098	0.606	0.095	0.0959	0.5365	0.5887	0.5962	0.5458
0.1021	0.5242	0.55	0.0911	0.0973	0.4948	0.5318	0.5715	0.0974
