"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.7114	0.7088	0.8363	0.101	0.6527	0.6529	0.7096	1.2364	1.8272
0.6875	0.6685	0.8113	0.0919	0.6567	0.6625	0.7412	1.2153	1.794
0.0961	0.0976	0.6427	0.0974	0.62	0.605	0.101	0.6109	0.1038
0.694	0.6788	0.6775	0.0987	0.6612	0.6482	0.7266	0.646	0.706
0.6727	0.6745	0.683	0.7021	0.102	0.6428	0.694	0.7384	0.7073
2.6536	0.103	0.0941	0.0946	0.0968	3.6206	4.4415	3.9684	5.999
0.0963	0.0992	0.0954	0.0931	0.0943	0.0934	0.095	0.0938	0.388
0.0932	0.0992	0.0979	0.1012	0.0978	0.0912	0.1006	0.0837	0.382
0.0992	0.0986	0.0971	0.0949	0.0939	0.0954	0.097	0.3615	0.0942
0.101	0.0999	0.0946	0.0982	0.3507	0.0991	0.0951	0.0966	0.1001
0.0953	0.1001	0.3779	0.0939	0.0981	0.098	0.0923	0.0956	0.0955
0.0944	0.0927	0.0946	0.0967	0.0949	0.0948	0.3735	0.0949	0.0959
0.095	0.0963	0.0933	0.0933	0.0982	0.0948	0.3794	0.0945	0.0946
0.0948	0.1015	0.0964	0.3577	0.0968	0.0912	0.1041	0.0978	0.0983
0.3845	0.0933	0.0896	0.092	0.1034	0.0915	0.0952	0.091	0.0983
0.0977	0.391	0.0956	0.0975	0.0977	0.0943	0.0905	0.0953	0.0974
0.5576	0.5512	0.6673	0.0981	0.6385	0.5024	0.0927	0.1001	0.0957
0.0986	0.0971	0.6915	0.0956	0.647	0.1008	0.5685	0.0987	0.0976
0.1001	0.0974	0.6983	0.0968	0.6654	0.0984	0.5678	0.0988	0.0999
0.0963	0.6859	0.6718	0.6037	0.6736	0.5942	0.6478	0.7544	0.6905
0.7122	0.0977	0.6792	0.6093	0.6381	0.6571	0.7329	0.6885	0.7327
0.6631	0.094	0.6489	0.61	0.6637	0.6516	0.7463	0.726	0.7206
0.0985	0.0997	0.0949	0.0982	0.6295	0.5875	0.1001	0.6185	0.0941
0.0989	0.0981	0.0936	0.5664	0.0914	0.0959	0.5325	0.5343	0.0922
0.0916	0.0963	0.0991	0.1001	0.0972	0.1008	0.0997	0.509	0.0963
0.0933	0.0963	0.6015	0.0934	0.0979	0.5055	0.5545	0.5814	0.5717
