"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.629	0.4851	0.6894	0.0978	0.6399	0.6682	0.6871	0.6867	2.1993
0.6393	0.1064	0.6607	0.3819	0.6421	0.6889	0.6937	0.6465	2.1987
0.0935	0.0974	0.7151	0.0968	0.638	0.6004	0.0995	0.6682	0.0915
0.6521	0.6495	0.6815	0.0938	0.6493	0.6157	0.6723	0.6426	0.7054
0.6358	0.6234	0.7073	0.703	0.0941	0.6168	0.7444	0.6907	0.6661
0.0955	2.6662	0.0943	0.1011	0.0981	2.9625	3.7716	3.7721	3.35
0.0945	0.0968	0.0987	0.375	0.0959	0.0928	0.0957	0.0979	0.0918
0.0988	0.0966	0.098	0.3751	0.0921	0.0992	0.0946	0.0948	0.0879
0.0995	0.0947	0.4013	0.0967	0.0975	0.0954	0.0964	0.0977	0.1024
0.372	0.0939	0.0962	0.0979	0.0897	0.0942	0.099	0.0902	0.0924
0.0999	0.103	0.0987	0.0986	0.0972	0.1011	0.3822	0.0871	0.0885
0.0977	0.3797	0.0922	0.0959	0.0973	0.0981	0.0934	0.0939	0.1007
0.0958	0.0928	0.0956	0.0987	0.0919	0.0966	0.3613	0.0965	0.0967
0.0931	0.0978	0.0993	0.095	0.0973	0.0933	0.0984	0.3731	0.0947
0.097	0.094	0.0983	0.0905	0.0983	0.0956	0.0959	0.3523	0.0973
0.0953	0.099	0.3919	0.0947	0.0947	0.0955	0.0889	0.1001	0.0926
0.5016	0.5735	0.6942	0.5405	0.6969	0.0959	0.0966	0.093	0.1025
0.0966	0.0927	0.6188	0.3774	0.6278	0.0984	0.096	0.0939	0.0959
0.0976	0.09	0.6017	0.1016	0.6149	0.0919	0.095	0.098	0.4066
0.0911	0.6773	0.7042	0.6396	0.6562	0.6367	0.7248	0.7008	0.7307
0.6098	0.631	0.6554	0.093	0.6818	0.6132	0.6695	0.6473	0.7176
0.6423	0.6275	0.6396	0.0919	0.6603	0.6205	0.703	0.6595	0.6848
0.1003	0.0955	0.0971	0.6253	0.1	0.5621	0.0985	0.6299	0.0991
0.0997	0.0969	0.0937	0.0932	0.0932	0.0934	0.5638	0.557	0.5073
0.0909	0.0945	0.0953	0.1029	0.5365	0.0988	0.0939	0.0957	0.0998
0.0982	0.0983	0.5527	0.0978	0.0965	0.4985	0.5494	0.5628	0.5326
0.5452	0.0988	0.556	0.5603	0.5663	0.516	0.5669	0.5795	0.5591
0.0959	0.1001	0.5215	0.5377	0.5196	0.502	0.5508	0.5725	0.6155
0.0985	0.0876	0.1024	0.0916	0.0992	0.0942	0.0984	0.3856	0.5099
0.3864	0.1006	0.1008	0.0952	0.0985	0.0946	0.0917	0.0997	0.4736
0.3792	0.1003	0.0905	0.0943	0.0935	0.095	0.0953	0.0979	0.4747
0.3652	0.0963	0.0983	0.0919	0.0929	0.0932	0.1033	0.0932	0.0927
0.0924	0.0989	0.1004	0.0959	0.0915	0.0971	0.0954	0.0957	0.3945
0.6342	0.103	0.6823	0.0952	0.0934	0.099	0.6423	0.6718	0.1015
0.0985	0.1005	0.6764	0.7229	0.6449	0.5742	0.7683	0.6662	0.7661
0.6945	0.0962	0.7291	0.0925	0.6732	0.606	0.7022	0.7243	1.8921
2.4556	0.1011	5.1896	0.0942	0.0974	2.582	2.3043	3.9958	6.0272
0.0969	0.6136	2.7069	0.1011	0.0951	0.095	2.9857	1.5362	0.599
0.5654	0.1009	2.6532	0.0977	0.5622	0.5124	3.0202	1.5424	0.1015
0.0965	0.0984	0.097	0.0921	0.6478	0.0963	0.0952	0.6447	0.646
0.668	0.6692	0.6632	0.0981	0.7067	0.645	0.7402	0.7831	0.6964
0.0927	0.1009	0.0948	0.0926	0.0914	0.0959	0.4907	0.0971	0.5291
0.0924	0.0973	0.5349	0.3714	0.0975	0.5681	0.5989	0.5728	0.5617
0.0992	0.3697	0.5584	0.0937	0.1007	0.5662	0.5823	0.5783	0.5514
0.0949	0.538	0.5744	0.0967	0.0974	0.4884	0.6037	0.5959	0.0963
0.0977	0.0987	0.0928	0.0885	0.0912	0.0928	0.091	0.3722	0.5354
0.3779	0.0954	0.1001	0.0971	0.0959	0.0983	0.0912	0.099	0.5097
0.0967	0.5367	0.5947	0.098	0.5788	0.5119	0.6025	0.522	0.5778
0.0962	0.449	0.0926	0.0942	0.0942	0.0957	0.0988	0.0961	0.0927
0.0925	0.0982	0.0936	0.0968	0.3686	0.0975	0.0996	0.0979	0.0984
0.0951	0.0975	0.6987	0.6657	0.0965	1.2038	0.1008	0.645	1.0061
0.0975	0.0992	0.0936	0.0973	0.1002	0.0922	0.3564	0.0953	0.0973
0.1003	0.0972	0.0926	0.0937	0.0962	0.0963	0.0977	0.3736	0.0946
0.0975	0.0956	0.094	0.0958	0.1024	0.0889	0.0955	0.3652	0.0908
0.0981	0.0939	0.095	0.3668	0.1043	0.0886	0.0973	0.1003	0.1016
0.0944	0.0942	0.0992	0.0984	0.4052	0.0974	0.0985	0.0948	0.0946
0.097	0.0942	0.0976	0.095	0.0928	1.2738	0.1042	0.3862	1.1444
0.0956	0.0951	0.0922	0.0999	0.4104	1.2674	0.0928	0.0951	1.0872
0.0954	0.1028	0.0885	0.1031	0.8066	0.1039	0.0963	0.0974	0.6616
0.096	0.0915	0.0942	0.3789	0.0953	0.1034	0.0955	0.0986	0.0982
0.1014	0.0989	0.0941	0.0948	0.0964	0.0946	0.3733	0.098	0.0969
0.0932	0.0925	0.0914	0.0959	0.1006	0.3378	0.0917	0.0981	0.0941
0.0976	0.0961	0.094	0.0945	0.1017	0.3506	0.0957	0.0947	0.1019
0.1017	0.0918	0.0981	0.0898	0.0992	0.3443	0.0959	0.0932	0.0989
0.0961	0.0977	0.1011	0.0987	0.0993	0.5841	0.099	0.0921	0.0922
0.6269	0.0996	0.717	0.0956	0.1006	0.5676	0.6888	0.7028	0.6632
0.7141	0.0927	2.5283	0.6975	2.7824	1.8463	2.0798	1.3527	1.6923
0.0953	0.0984	0.0992	0.094	0.0986	0.0909	0.1036	0.636	0.1002
0.5723	0.0935	0.5314	0.5546	0.5548	0.5058	0.5826	0.6263	0.6009
0.0982	0.0968	0.1005	0.097	0.566	0.5083	0.5936	0.6456	0.57
0.1019	0.5178	0.5476	0.0963	0.5248	0.4868	0.6109	0.5754	0.5373
0.0958	0.0972	0.099	0.1003	0.0945	0.0911	0.098	0.3496	0.098
0.1044	0.089	0.4145	0.0951	0.0941	0.0985	0.0945	0.0965	0.098
0.5464	0.4681	0.5733	0.0965	0.0988	0.4877	0.5787	0.6553	0.5577
0.0902	2.6249	0.098	0.0957	0.0998	0.0962	4.5609	2.5875	2.9497
0.0969	0.094	0.0958	0.1004	0.0944	0.0991	0.0909	0.6132	0.0936
0.5369	0.097	0.5979	0.5714	0.0962	0.5122	0.5816	0.55	0.5941
0.0985	0.5215	0.101	0.093	0.0952	0.5071	0.1072	0.5621	0.0975
0.094	0.555	0.5725	0.093	0.0966	0.1011	0.096	0.0969	0.5767
0.0956	0.3738	0.0932	0.0925	0.0953	0.0954	0.0955	0.0966	0.4986
0.1002	0.0913	0.3973	0.1024	0.0991	0.0974	0.1011	0.0992	0.529
0.095	0.1003	0.097	0.0929	0.095	0.0986	0.0965	0.3635	0.4877
0.096	0.1036	0.3706	0.0996	0.0985	0.0981	0.0959	0.0961	0.5086
0.0981	0.1013	0.4021	0.0973	0.0981	0.0986	0.0938	0.0976	0.5114
0.0928	0.1002	0.1025	0.0963	0.3646	0.0985	0.0957	0.0945	0.4879
0.0913	0.0963	0.0976	0.0977	0.0985	0.3348	0.0971	0.0988	0.0989
0.0954	0.0993	0.3798	0.0951	0.1031	0.0955	0.0966	0.0944	0.0978
0.0994	0.0957	0.0956	0.096	0.0948	0.3414	0.0914	0.1001	0.1008
0.0997	0.1016	0.0961	0.0921	0.1049	0.092	0.1008	0.377	0.0909
0.3637	0.0967	0.0998	0.0989	0.0945	0.0895	0.0964	0.097	0.0961
0.5812	0.5572	0.5489	0.5511	0.0965	0.5294	0.603	0.577	0.5564
0.3862	0.1	0.5759	0.097	0.1002	0.0951	0.0924	0.4703	0.0986
0.0958	0.0959	0.5827	0.0959	0.3922	0.0991	0.0928	0.4657	0.0984
0.0927	0.0991	0.5694	0.3727	0.0919	0.098	0.0927	0.4922	0.096
0.5091	0.102	0.556	0.0928	0.5366	0.0952	0.0912	0.0959	0.0982
0.0959	0.1033	0.0961	0.0964	2.3416	0.0982	0.0931	0.0956	0.0996
0.0978	0.0987	0.5579	0.101	2.2685	0.1019	0.0941	0.5351	0.0959
0.381	0.0939	0.7185	0.0936	0.0977	0.5887	0.6486	0.6427	0.652
0.0992	0.3845	0.7379	0.0887	0.0976	0.5712	0.6465	0.6618	0.65
0.0927	0.101	0.6852	0.5704	0.6309	0.631	0.6594	0.6835	0.6868
0.71	0.0968	1.9448	0.0977	1.761	1.8034	2.3396	2.1765	2.3825
0.6446	0.6751	0.6824	0.6602	0.0938	0.6016	0.7212	0.6486	0.6559
0.6717	0.675	0.6863	0.6623	0.0922	0.6168	0.7015	0.6156	0.6762
0.6793	0.0964	0.683	0.6432	0.6353	0.094	0.6669	0.6985	0.6387
0.6492	0.0948	0.6793	0.6535	0.6623	0.5539	0.7177	0.6839	0.692
0.0958	0.3714	0.7379	0.0956	0.1017	0.0927	0.6266	0.0946	0.0993
0.0994	0.0944	0.7143	0.0975	0.0953	0.0939	0.6536	0.4188	0.1031
0.0975	0.1006	0.7106	0.0955	0.0972	0.1007	0.6602	0.3782	0.0965
0.0978	0.3781	0.7269	0.1015	0.1011	0.0966	0.648	0.0981	0.101
0.634	0.099	0.6801	0.0929	0.6842	0.6199	0.699	0.641	0.7161
0.0976	0.5735	0.6978	0.0965	0.655	0.6283	0.7211	0.6885	0.6984
0.6561	0.0943	0.7708	0.6447	0.676	0.6712	0.785	0.634	0.7444
0.6591	0.0973	0.7057	0.6336	0.66	0.5973	0.6778	0.6705	0.7224
0.6078	0.631	0.6551	0.0964	0.7376	0.6405	0.6453	0.6921	0.7174
0.1013	0.0976	0.6077	0.0985	0.0985	0.4801	0.1006	0.4924	0.5279
0.3929	0.0896	0.0916	0.0937	0.0989	0.0948	0.0979	0.0933	0.0983
0.0997	0.0991	0.0973	0.1034	0.1012	0.1026	0.0978	0.3688	0.1021
0.0963	0.0968	0.0949	0.0933	0.3702	0.0972	0.0944	0.0939	0.1003
0.3812	0.0985	0.0903	0.1	0.0946	0.0946	0.0996	0.0919	0.1013
