"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6722	0.0982	0.712	0.3895	0.7037	0.6907	0.7208	2.0428	1.218
0.6688	0.5216	0.7234	0.0961	0.7129	0.6862	0.7396	2.0745	1.2462
0.6399	0.096	0.7322	0.0965	0.0957	0.6479	0.1016	0.5944	0.0926
0.7171	0.0986	0.7286	0.5984	0.6833	0.6743	0.6834	0.7319	0.6168
0.0979	0.6404	0.7061	0.6394	0.6724	0.6549	0.6603	0.6883	0.5877
0.1006	0.0959	0.0959	3.6144	0.0946	3.141	4.9145	2.7504	3.9827
0.0977	0.0962	0.0926	0.0973	0.1015	0.0992	0.0924	0.1018	0.3695
0.3655	0.0942	0.0996	0.0958	0.1024	0.0975	0.0976	0.0967	0.0979
0.0959	0.098	0.4028	0.097	0.0946	0.1008	0.0914	0.0967	0.0971
0.096	0.0972	0.0942	0.0976	0.0952	0.0943	0.0976	0.3591	0.0911
0.0958	0.0947	0.0952	0.0965	0.0939	0.0987	0.096	0.0954	0.3391
0.0989	0.0971	0.1015	0.0973	0.097	0.0975	0.0969	0.0948	0.356
0.095	0.1022	0.1016	0.0923	0.0918	0.3556	0.0929	0.0988	0.099
0.0931	0.0949	0.1002	0.3554	0.0966	0.0951	0.094	0.0976	0.0954
0.3487	0.0999	0.0932	0.0955	0.0983	0.091	0.0975	0.0946	0.0995
0.0949	0.3716	0.0902	0.098	0.097	0.0937	0.0973	0.0972	0.0906
0.5223	0.5273	0.7078	0.0981	0.6738	0.0968	0.4676	0.0964	0.0954
0.0992	0.4748	0.701	0.0963	0.6838	0.1007	0.0959	0.0977	0.094
0.0888	0.1003	0.6901	0.0943	0.6574	0.099	0.0917	0.1004	0.3868
0.0888	0.6661	0.7442	0.6067	0.6689	0.614	0.5955	0.7738	0.5989
0.6401	0.1025	0.6865	0.3743	0.6809	0.681	0.6768	0.6953	0.6379
0.6233	0.4734	0.7011	0.1001	0.668	0.7038	0.675	0.7032	0.6182
0.0941	0.1006	0.0986	0.0907	0.1004	0.6977	0.6208	0.6642	0.0943
0.0939	0.0994	0.5875	0.105	0.0987	0.0963	0.5098	0.5974	0.0932
0.097	0.0944	0.0961	0.4936	0.1014	0.0928	0.094	0.0952	0.0928
0.1001	0.0954	0.5887	0.514	0.0925	0.5438	0.5285	0.5539	0.1011
0.5452	0.1	0.5568	0.5795	0.5412	0.5479	0.5355	0.5756	0.5661
0.5497	0.0982	0.6343	0.1013	0.5748	0.5588	0.5443	0.554	0.5476
0.0989	0.0975	0.1025	0.3631	0.0963	0.1016	0.0974	0.0979	0.4654
0.0912	0.098	0.0982	0.0935	0.097	0.0977	0.3565	0.0959	0.4669
0.0943	0.0883	0.1017	0.0925	0.4103	0.0921	0.0961	0.0939	0.4498
0.1006	0.0954	0.0979	0.1014	0.0953	0.0978	0.0915	0.0952	0.3434
0.3771	0.0957	0.0902	0.0942	0.0958	0.0979	0.0952	0.1042	0.0939
0.6359	0.099	0.6982	0.105	0.1026	0.0909	0.6481	0.6421	0.1003
0.099	0.0988	0.6914	0.6279	0.6846	0.7416	0.6543	0.7416	0.6502
0.0934	0.1011	0.7334	0.6639	0.7023	0.6839	0.6763	0.6828	0.6695
4.3244	3.4681	3.3797	0.0944	0.0924	3.2426	0.1067	4.1495	2.2557
0.0928	0.0965	1.7935	0.0955	0.5962	0.0923	3.4722	3.4188	0.542
0.5374	0.6434	1.7654	0.0958	0.1	0.5603	3.5761	3.3751	0.0967
0.0984	0.0963	0.1031	0.0936	0.7241	0.6275	0.0951	0.0934	1.0415
0.691	0.0941	0.7004	0.6259	0.6961	1.4321	0.8197	0.7907	0.6123
0.0938	0.0927	0.6072	0.0948	0.0993	0.0994	0.097	0.0936	0.5237
0.4085	0.0962	0.6267	0.1	0.0953	0.5637	0.5547	0.6156	0.583
0.0946	0.4502	0.6453	0.0923	0.0981	0.5724	0.5605	0.6105	0.5522
0.0976	0.0902	0.6268	0.0972	0.5171	0.5925	0.5913	0.5859	0.0982
0.3812	0.0935	0.0977	0.1002	0.097	0.0973	0.0967	0.0947	0.553
0.0957	0.3866	0.0963	0.093	0.0967	0.1014	0.0911	0.0923	0.5564
0.1037	0.5405	0.6381	0.0948	0.6054	0.5343	0.5542	0.575	0.5577
0.0995	0.0958	0.0945	0.0978	0.0958	0.0963	0.0973	0.3671	0.0896
0.0967	0.0918	0.0948	0.1021	0.0943	0.0929	0.0945	0.0947	0.3862
0.0914	0.0948	0.7199	0.097	0.6608	1.3131	0.0998	0.6929	1.6458
0.1005	0.3819	0.0968	0.1005	0.0937	0.0957	0.0979	0.0981	0.1028
0.0903	0.0969	0.1019	0.0924	0.3675	0.095	0.0938	0.0993	0.0914
