"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.7272	0.0947	0.7291	0.6573	0.7667	0.6916	1.2391	0.6681	1.9118
0.7125	0.0947	0.7354	0.6557	0.7793	0.6654	1.2306	0.6633	1.8893
0.0932	0.6084	0.6594	0.1034	0.0947	0.6165	0.0996	0.6406	0.105
0.6339	0.5985	0.6541	0.1026	0.7309	0.6305	0.678	0.6117	0.6532
0.0981	0.6167	0.6815	0.6363	0.6904	0.6902	0.7313	0.6747	0.6395
2.713	0.095	0.0975	0.101	0.0945	3.785	3.6528	3.3859	2.9071
0.1001	0.0954	0.3674	0.0927	0.097	0.0998	0.0956	0.09	0.0939
0.0955	0.0957	0.3915	0.0984	0.0999	0.0923	0.0972	0.1005	0.0992
0.1008	0.3516	0.0932	0.0901	0.0969	0.101	0.0968	0.0966	0.0933
0.1018	0.0957	0.1004	0.0944	0.0991	0.0981	0.097	0.0911	0.3404
0.0978	0.1034	0.0952	0.0956	0.0965	0.3714	0.0932	0.092	0.1024
0.104	0.3224	0.0942	0.0976	0.0955	0.092	0.0957	0.0975	0.0949
0.0978	0.0948	0.1012	0.0975	0.0964	0.3823	0.0914	0.0951	0.0948
0.1046	0.0955	0.0984	0.0862	0.099	0.095	0.0897	0.3547	0.099
0.0958	0.1006	0.0951	0.0949	0.0951	0.3612	0.1009	0.1	0.0951
0.0901	0.0931	0.094	0.0968	0.0958	0.0989	0.0955	0.0933	0.3483
0.5346	0.5042	0.7093	0.4941	0.7028	0.0948	0.0965	0.1024	0.0925
0.1021	0.0991	0.7121	0.3629	0.6815	0.0941	0.0967	0.095	0.0961
0.0942	0.0991	0.7339	0.0965	0.7015	0.0987	0.3726	0.1041	0.096
0.0918	0.6167	0.6339	0.6085	0.724	0.6989	0.7055	0.7286	0.6358
0.6639	0.6266	0.6736	0.0966	0.6876	0.7025	0.6853	0.576	0.629
0.6588	0.6589	0.6903	0.1007	0.6937	0.6701	0.6959	0.6091	0.634
0.0962	0.0957	0.0984	0.0936	0.096	0.6311	0.6328	0.6142	0.0896
0.0997	0.0948	0.5456	0.0983	0.0991	0.0974	0.5451	0.4881	0.0962
0.0975	0.0974	0.0995	0.0981	0.0957	0.0939	0.1053	0.0926	0.5132
0.5359	0.0995	0.5421	0.1028	0.0971	0.5515	0.5811	0.5483	0.099
0.5454	0.0982	0.5943	0.5504	0.5898	0.5484	0.6155	0.5619	0.5576
0.096	0.0987	0.5702	0.5471	0.5626	0.5084	0.601	0.5779	0.5346
0.0954	0.1011	0.0929	0.0952	0.3922	0.0946	0.0965	0.0981	0.525
0.0952	0.1026	0.0985	0.097	0.0992	0.096	0.0883	0.3777	0.4906
0.0942	0.4301	0.0929	0.0962	0.0959	0.0954	0.096	0.0968	0.5058
0.0981	0.0923	0.0969	0.0958	0.0954	0.3829	0.0958	0.0962	0.103
0.0996	0.101	0.1008	0.0969	0.0978	0.0965	0.0946	0.0939	0.4389
0.6755	0.0968	0.6976	0.0981	0.0948	0.6355	0.1002	0.5812	0.0916
0.0985	0.6211	0.7027	0.0945	0.678	0.6735	0.6957	0.6582	0.6526
0.0955	0.0961	0.7469	0.6626	0.737	0.6746	0.6805	0.7221	0.6136
4.4725	0.0986	2.0974	1.9131	0.0958	4.4372	0.0982	3.9652	4.2905
0.0921	0.0961	2.2794	0.098	0.1014	3.9064	1.682	4.0656	0.5609
0.5298	0.0888	2.3149	0.0944	0.8042	3.9213	1.6657	4.0672	0.0977
0.6489	0.1017	0.1013	0.0983	0.6813	0.0978	0.0977	0.0979	0.6333
0.6896	0.0971	0.7837	0.6784	0.6795	0.657	0.702	0.6677	0.6353
0.0961	0.0922	0.0985	0.0955	0.0946	0.094	0.0965	0.4798	0.5103
0.1033	0.38	0.5735	0.0943	0.0901	0.5933	0.6042	0.5465	0.5253
0.0982	0.0942	0.5827	0.0979	0.411	0.6049	0.6089	0.5544	0.5231
0.0947	0.0971	0.5115	0.0962	0.5404	0.5427	0.5715	0.5537	0.0945
0.0958	0.0976	0.0928	0.0973	0.1013	0.0962	0.348	0.0938	0.4609
0.0995	0.0893	0.3834	0.0988	0.0978	0.0991	0.095	0.0999	0.5118
0.1008	0.4884	0.568	0.0983	0.5593	0.5602	0.538	0.509	0.5433
0.0972	0.35	0.0985	0.0929	0.0974	0.0911	0.1	0.0951	0.0977
0.09	0.0928	0.0946	0.0947	0.4053	0.0959	0.0973	0.0932	0.1015
0.0996	0.6545	0.6872	0.0879	0.0944	1.4012	0.1046	0.5552	1.1861
0.3535	0.0941	0.0933	0.0988	0.0983	0.0939	0.0958	0.0936	0.0899
0.0952	0.0943	0.0967	0.0969	0.3741	0.0978	0.0995	0.0917	0.095
0.0962	0.1033	0.0962	0.0931	0.0977	0.1009	0.0937	0.0944	0.3703
0.096	0.0908	0.0966	0.0969	0.093	0.0959	0.1005	0.0988	0.3561
0.1037	0.093	0.3848	0.1014	0.092	0.0936	0.1002	0.0974	0.1011
0.0954	0.0992	0.5046	0.0963	0.0893	1.4367	0.0958	0.0937	1.0697
0.0988	0.094	0.1008	0.3649	0.1019	1.4146	0.0927	0.0956	1.0677
0.0911	0.0977	0.0972	0.0993	0.6372	0.0945	0.0935	0.7216	0.0979
0.0961	0.3427	0.0919	0.0955	0.0981	0.0937	0.0962	0.0926	0.1027
0.0973	0.0974	0.1027	0.3708	0.0959	0.0926	0.0982	0.0977	0.0944
0.0983	0.3557	0.0955	0.0991	0.1033	0.1012	0.0993	0.0943	0.0963
0.0924	0.0939	0.1002	0.0976	0.0992	0.0942	0.1009	0.0981	0.3367
0.0961	0.0926	0.0991	0.096	0.0947	0.0904	0.0917	0.0946	0.3252
0.098	0.0946	0.0946	0.589	0.0949	0.0939	0.0916	0.1012	0.0984
0.5988	0.5911	0.673	0.0983	0.0967	0.6548	0.6862	0.657	0.0901
2.2765	0.0985	2.9481	0.6667	2.5573	2.4431	3.4088	4.5771	2.8954
0.0959	0.0949	0.0976	0.0985	0.7311	0.0961	0.0957	0.0928	0.09
0.5288	0.1007	0.5674	0.5219	0.5877	0.5757	0.5868	0.5571	0.5899
0.0967	0.098	0.5651	0.0972	0.6023	0.1018	0.5724	0.5197	0.5577
0.5322	0.0957	0.5524	0.0958	0.5831	0.5412	0.5771	0.6053	0.5955
0.0928	0.0981	0.0992	0.092	0.3931	0.1002	0.0982	0.098	0.098
0.0961	0.0962	0.0993	0.0959	0.1014	0.0964	0.1011	0.0917	0.3495
0.5025	0.5299	0.5811	0.1	0.1011	0.5802	0.5626	0.5502	0.5871
0.1045	0.0951	0.0942	0.0985	0.0983	2.8342	2.2321	3.4103	5.4403
0.097	0.0947	0.0977	0.6085	0.0917	0.0961	0.0993	0.096	0.0938
0.5332	0.0948	0.5818	0.0958	0.5753	0.5374	0.5872	0.5555	0.5398
0.1005	0.0998	0.0978	0.0974	0.0943	0.5451	0.1024	0.5028	0.4854
0.0982	0.095	0.587	0.094	0.0976	0.0972	0.5429	0.1004	0.5058
0.1028	0.0953	0.0965	0.0968	0.0985	0.0963	0.3456	0.0929	0.5181
0.1002	0.0987	0.0988	0.0926	0.0955	0.3883	0.0985	0.0911	0.5213
0.097	0.1041	0.0974	0.091	0.0953	0.0908	0.0983	0.346	0.5068
0.0964	0.0954	0.3925	0.0974	0.0954	0.0972	0.1	0.0974	0.5237
0.0956	0.0972	0.3903	0.0996	0.0989	0.0955	0.0985	0.1017	0.5311
0.0942	0.0894	0.0988	0.0954	0.0999	0.1019	0.3509	0.0946	0.5105
0.0973	0.0951	0.4051	0.0971	0.1019	0.1055	0.0978	0.0983	0.0983
0.099	0.0961	0.094	0.0971	0.0891	0.0938	0.0924	0.3484	0.0942
0.0955	0.0951	0.0983	0.0921	0.0929	0.093	0.0931	0.0945	0.3299
0.4115	0.0984	0.097	0.103	0.0955	0.0952	0.0939	0.0975	0.0956
0.3919	0.0936	0.091	0.0938	0.0989	0.0979	0.1003	0.0974	0.0965
0.5523	0.0949	0.5678	0.5231	0.5939	0.5684	0.5616	0.5734	0.527
0.1026	0.3555	0.5751	0.0927	0.1009	0.0957	0.0991	0.5076	0.0964
0.0971	0.0947	0.6145	0.0998	0.098	0.0981	0.3739	0.5141	0.0969
0.0942	0.0955	0.5863	0.0937	0.394	0.0979	0.0978	0.5238	0.0871
0.1004	0.0925	0.5938	0.1005	0.5789	0.517	0.0971	0.0988	0.0951
0.0954	0.0944	3.2178	0.0959	0.101	0.0877	0.0941	0.0933	0.1016
0.5505	0.1013	3.2037	0.1019	0.5463	0.0966	0.0942	0.0952	0.0941
0.0976	0.0966	0.6925	0.0948	0.507	0.692	0.6557	0.6924	0.6635
0.0953	0.0951	0.7199	0.3856	0.0963	0.6399	0.6639	0.7304	0.6387
0.5019	0.0904	0.6688	0.0975	0.5662	0.6324	0.6663	0.6725	0.6399
0.0905	0.6636	2.625	0.0977	4.4978	1.9212	3.2308	1.99	1.398
0.6344	0.6565	0.7208	0.6511	0.0945	0.7441	0.6682	0.6614	0.6202
