"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.5433	-1.153	-0.0339	-1.4252	0.017	-0.2122	-1.4075	0.6847	5.3437
0.5814	-1.1634	-0.0066	-1.4391	0.0369	-0.2123	-1.4617	0.7498	5.3631
1.0216	3.195	1.4494	1.2701	2.7934	0.5968	-0.4541	-1.2752	-1.0625
-0.2181	0.1031	0.006	-0.506	1.0436	0.0803	-1.1798	0.6556	-0.5045
0.5272	-0.0354	0.175	0.184	-0.067	0.1756	0.0325	-0.2505	-0.0156
0.702	4.1396	0.8753	0.9687	2.4277	1.0833	-1.2319	-3.7408	0.2687
-0.4264	-0.6931	-0.0999	1.0177	-0.766	1.4437	0.3145	0.0189	0.9529
-0.4691	-0.6937	-0.1095	0.9761	-0.7594	1.4377	0.302	0.0194	0.937
-0.458	-0.6929	-0.1021	1.0253	-0.7651	1.44	0.3111	0.0304	0.9465
-0.4703	-0.6853	-0.1175	1.0335	-0.7125	1.4382	0.3152	0.0209	0.9449
-0.4601	-0.685	-0.1094	1.0215	-0.7735	1.4093	0.3051	0.0169	0.9428
-0.4633	-0.7061	-0.1075	1.0318	-0.7641	1.4469	0.3116	0.021	0.9433
-0.4685	-0.6881	-0.1086	1.0215	-0.7666	1.45	0.3089	0.0194	0.9094
-0.4728	-0.6906	-0.0754	1.0255	-0.7631	1.4461	0.3121	0.0223	0.937
-0.4654	-0.6856	-0.04	1.0185	-0.7669	1.4438	0.3178	0.0189	0.9394
-0.4701	-0.6843	-0.1093	1.021	-0.7586	1.4206	0.3014	0.0251	0.9404
0.7852	-1.1657	1.057	0.4158	0.6109	0.6874	0.1013	-1.6792	0.7689
0.976	-1.4169	1.0669	0.4086	0.5048	0.5905	0.1231	-1.5507	0.7886
0.976	-1.283	1.1031	0.4221	0.5335	0.5919	0.1262	-1.5552	0.7901
-0.1428	-0.1576	0.1143	0.2423	0.013	0.3243	0.0577	-0.3503	0.0443
-0.4432	-2.9721	-0.0408	0.2699	-0.2061	0.4782	-0.0295	0.1861	0.6885
-0.3542	-2.0329	0.0165	0.1217	-0.0788	0.4321	0.0018	0.0302	0.5286
-0.3547	-0.103	0.4412	0.2499	-1.0694	0.126	-0.34	0.0375	0.5535
0.1186	0.2821	0.0383	1.0928	-0.5324	-1.0737	0.1345	-0.2601	-0.266
0.7926	0.2202	-0.0227	1.7169	-0.3287	-1.6004	0.4939	-0.4127	0.0737
-0.3991	1.0794	-0.2112	0.7479	-0.1044	-1.0782	0.022	-0.3396	0.0395
0.554	-0.3183	-0.3521	0.3368	-0.3372	-1.2079	-0.0725	0.0463	-0.0388
0.3507	-2.1226	-0.5384	-0.2011	-0.5259	-1.2302	-0.1801	0.4944	0.3073
1.1122	-0.1475	0.0642	-0.0067	-0.329	-0.8022	0.3597	-0.0547	-0.1373
1.122	-0.1393	0.0638	-0.0059	-0.3364	-0.7651	0.3475	-0.0454	-0.1425
1.1108	-0.1356	0.0629	-0.0015	-0.3332	-0.7593	0.3573	-0.049	-0.1486
1.1077	0.1901	-1.0463	-0.0553	-0.3375	-2.0571	-1.4941	0.2056	-0.118
1.1059	0.2081	-0.9826	-0.0505	-0.3263	-2.0482	-1.749	0.2067	-0.1178
