"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.7527	0.5079	0.7768	0.0959	0.6628	0.6251	0.7793	0.6218	1.5649
0.7339	0.0999	0.771	0.3805	0.6636	0.6519	0.7646	0.6587	1.6335
0.6573	0.0976	0.6896	0.0971	0.0977	0.6305	0.0951	0.5897	0.0962
0.7026	0.0973	0.7761	0.6449	0.6887	0.6706	0.7211	0.6495	0.6806
0.097	0.6481	0.7151	0.5488	0.751	0.6596	0.7031	0.6672	0.6593
4.701	0.1018	0.0982	0.0991	0.096	3.8658	2.2746	3.9423	1.8567
0.0921	0.1015	0.0946	0.0968	0.0948	0.3401	0.0953	0.099	0.1004
0.3499	0.1033	0.0981	0.095	0.0941	0.096	0.095	0.0987	0.0988
0.0969	0.095	0.0975	0.0996	0.1005	0.0954	0.0987	0.0921	0.3219
0.0985	0.0975	0.0958	0.0943	0.0999	0.1046	0.0955	0.0959	0.3509
0.0959	0.0994	0.0928	0.0987	0.0954	0.0927	0.0985	0.1016	0.3561
0.0967	0.3605	0.0973	0.0987	0.1006	0.0948	0.0983	0.0906	0.0984
0.0895	0.0984	0.0981	0.0933	0.0949	0.1	0.0981	0.3416	0.0996
0.0948	0.0959	0.0918	0.0975	0.1015	0.3472	0.0997	0.0992	0.0965
0.0948	0.099	0.0924	0.098	0.095	0.0962	0.365	0.0992	0.0945
0.0967	0.3937	0.0987	0.0979	0.0955	0.094	0.098	0.1049	0.1021
0.4963	0.5431	0.736	0.0957	0.6822	0.0969	0.5272	0.0955	0.0945
0.3693	0.095	0.7179	0.0949	0.6733	0.0951	0.0986	0.0945	0.0978
0.0952	0.0924	0.6909	0.3638	0.6612	0.0982	0.099	0.0993	0.0986
0.0981	0.6734	0.7381	0.6554	0.7005	0.6542	0.7934	0.6361	0.6031
0.6986	0.0932	0.6489	0.6752	0.7115	0.6388	0.7488	0.7131	0.6549
0.6472	0.0962	0.6549	0.7085	0.7318	0.6166	0.7598	0.7225	0.6537
0.094	0.0934	0.1018	0.6196	0.0924	0.5692	0.0996	0.5833	0.0993
0.0951	0.4974	0.0949	0.0914	0.0924	0.095	0.577	0.5281	0.0908
0.0899	0.0993	0.0988	0.4632	0.0973	0.0965	0.0986	0.0958	0.0968
0.5129	0.0948	0.5378	0.0955	0.1035	0.5262	0.5844	0.5473	0.0931
0.5333	0.0982	0.5808	0.516	0.5758	0.5421	0.6586	0.5306	0.537
0.0934	0.5545	0.6243	0.0995	0.5905	0.524	0.643	0.5499	0.5596
0.0995	0.385	0.0949	0.0982	0.0977	0.0982	0.0913	0.094	0.4533
0.0945	0.0998	0.0982	0.0934	0.4044	0.0967	0.0942	0.1054	0.4492
0.099	0.0937	0.0928	0.0983	0.392	0.0987	0.0984	0.0952	0.4676
0.0972	0.0945	0.4124	0.0928	0.1003	0.0988	0.0902	0.0953	0.094
0.0955	0.1038	0.0964	0.0963	0.0901	0.0981	0.0917	0.0955	0.3395
0.6928	0.0988	0.7108	0.0916	0.0988	0.6061	0.0939	0.5841	0.0997
0.0949	0.669	0.6885	0.0978	0.7356	0.6398	0.7066	0.6513	0.632
0.627	0.0939	0.7252	0.0959	0.7306	0.6883	0.7329	0.6763	0.6423
3.9816	3.7872	4.2789	0.091	0.0954	3.1517	0.0961	2.6202	3.6211
0.1047	0.575	6.8808	0.0958	0.0984	0.0981	3.5283	1.6372	3.4616
0.5532	0.0955	6.8805	0.0947	0.0921	0.5815	3.6169	1.6638	3.5594
0.1009	0.0973	0.0994	0.0929	0.6756	0.6222	0.0996	0.0985	0.6963
0.6195	0.6452	0.7136	0.097	0.802	0.6248	0.6781	0.6957	0.6038
0.1009	0.518	0.1011	0.0964	0.0979	0.0925	0.0892	0.097	0.4864
0.0972	0.0971	0.575	0.5096	0.0984	0.5391	0.5821	0.5324	0.5014
0.1001	0.0963	0.588	0.5528	0.1018	0.5552	0.5992	0.5307	0.5086
0.099	0.0949	0.5858	0.4926	0.0899	0.542	0.5705	0.5613	0.0944
0.3783	0.0944	0.0936	0.101	0.0936	0.0918	0.0963	0.0999	0.4975
0.0923	0.0961	0.0975	0.0967	0.3929	0.0944	0.0975	0.0987	0.4804
0.0999	0.5268	0.6257	0.0972	0.5408	0.5557	0.6062	0.5354	0.5072
0.0993	0.0944	0.102	0.0947	0.0983	0.3558	0.0915	0.0995	0.0974
0.0962	0.3792	0.0894	0.0967	0.093	0.0959	0.0951	0.0991	0.0968
0.0902	0.0928	0.7544	0.0956	0.7248	1.617	0.0975	0.7563	1.1025
0.0937	0.096	0.0951	0.0928	0.0968	0.0965	0.0964	0.0973	0.338
0.0963	0.0941	0.0925	0.0962	0.1004	0.3595	0.0957	0.0993	0.0897
0.0936	0.0996	0.1022	0.0937	0.0994	0.3395	0.0981	0.0925	0.0959
0.0903	0.098	0.0916	0.0989	0.3677	0.0939	0.0968	0.0937	0.0962
0.0942	0.3634	0.0932	0.0987	0.0949	0.0929	0.0989	0.0955	0.0961
0.0986	0.1021	0.4113	0.0924	0.0995	1.4422	0.1008	0.102	1.1077
0.0983	0.0998	0.0989	0.101	0.0966	1.4498	0.3717	0.0985	1.1082
0.1003	0.0999	0.095	0.0948	0.7063	0.0986	0.0994	0.095	0.6329
0.3754	0.0944	0.0989	0.0913	0.0979	0.0956	0.0956	0.1004	0.0909
0.0994	0.3601	0.1028	0.0978	0.0963	0.0947	0.0967	0.0923	0.0952
0.0927	0.0987	0.1007	0.3375	0.0942	0.0971	0.097	0.0932	0.0981
0.0958	0.0986	0.0937	0.096	0.098	0.0976	0.0935	0.0991	0.3347
0.0981	0.3614	0.0923	0.0954	0.0994	0.0989	0.0975	0.0918	0.0987
0.0901	0.0975	0.1032	0.0964	0.0953	0.0886	0.6367	0.0944	0.0917
0.5987	0.0989	0.7552	0.1013	0.0966	0.6433	0.7004	0.7085	0.6294
0.7476	0.0969	2.0402	0.7441	3.5747	4.355	5.0759	2.2465	4.1588
0.0929	0.6592	0.0978	0.0966	0.0943	0.0915	0.097	0.0968	0.0961
0.5141	0.588	0.5985	0.102	0.5615	0.515	0.5696	0.5362	0.5285
0.4863	0.1003	0.099	0.0986	0.595	0.0949	0.5738	0.5696	0.4954
0.1013	0.5791	0.5843	0.0921	0.5956	0.5204	0.5903	0.5629	0.4991
0.1002	0.095	0.09	0.0956	0.0929	0.0873	0.1042	0.1017	0.3541
0.0993	0.0918	0.0982	0.0929	0.0976	0.1027	0.367	0.095	0.095
0.5339	0.0963	0.6024	0.0983	0.5529	0.5323	0.5574	0.5441	0.4976
0.0978	0.0956	2.2984	0.0935	0.0965	0.0948	4.5141	4.2456	5.2211
0.0982	0.0922	0.0968	0.095	0.0986	0.0925	0.1006	0.5989	0.0972
0.5476	0.0962	0.5735	0.535	0.1007	0.5376	0.5706	0.5376	0.4704
0.0944	0.09	0.0963	0.0955	0.5642	0.5005	0.1007	0.495	0.1018
0.53	0.0942	0.5902	0.0962	0.0945	0.0988	0.0933	0.101	0.4749
0.0969	0.0982	0.0961	0.0956	0.3894	0.1013	0.0889	0.099	0.493
0.0925	0.4098	0.1019	0.0939	0.0986	0.0921	0.0966	0.0975	0.487
0.0953	0.0945	0.1007	0.0951	0.099	0.3699	0.1005	0.0959	0.4923
0.0958	0.0939	0.0964	0.0936	0.0903	0.381	0.0985	0.0974	0.486
0.1003	0.1037	0.0965	0.0951	0.3878	0.0992	0.0979	0.1017	0.4867
0.0929	0.0942	0.3982	0.099	0.0981	0.0923	0.0984	0.0901	0.47
0.0973	0.0929	0.1054	0.0974	0.0928	0.0951	0.3577	0.0903	0.0981
0.0928	0.0966	0.096	0.0953	0.097	0.1007	0.092	0.0965	0.3613
0.0983	0.0923	0.0968	0.0916	0.0944	0.0959	0.1004	0.3529	0.0966
0.0895	0.0945	0.0993	0.0967	0.098	0.0953	0.0988	0.0979	0.3435
0.0993	0.0956	0.097	0.0978	0.1037	0.093	0.0962	0.36	0.0921
0.5479	0.5415	0.5776	0.5224	0.0912	0.5617	0.6204	0.5616	0.5099
0.0997	0.0988	0.5959	0.0976	0.0909	0.1005	0.0965	0.5319	0.3576
0.0951	0.0953	0.6083	0.1022	0.3933	0.0989	0.0944	0.4995	0.0949
0.0916	0.3636	0.5682	0.1005	0.0942	0.0971	0.0982	0.5005	0.0955
0.0956	0.5545	0.5626	0.1004	0.5782	0.0919	0.0989	0.0995	0.0977
0.095	0.099	2.9098	0.098	0.1058	0.0976	0.0988	0.0958	0.0943
0.1012	0.1013	2.9341	0.0962	0.5713	0.0945	0.0987	0.5154	0.0926
0.0968	0.1008	0.7565	0.4	0.0934	0.6716	0.7037	0.6729	0.6286
0.384	0.0953	0.7365	0.0978	0.1003	0.6554	0.7296	0.6909	0.6289
0.0984	0.5691	0.6879	0.0928	0.6343	0.7223	0.7458	0.7537	0.6355
0.7543	0.0972	1.8084	0.0962	3.4499	2.5643	2.496	2.2881	4.5251
0.6854	0.6871	0.7232	0.0956	0.7855	0.6484	0.7077	0.7036	0.6416
0.6642	0.7112	0.7245	0.097	0.7356	0.6551	0.7326	0.6748	0.6609
0.6058	0.0967	0.72	0.0978	0.659	0.6688	0.6889	0.6212	0.6155
0.6462	0.1	0.7336	0.5623	0.6912	0.6311	0.7405	0.6649	0.6361
0.0932	0.0942	0.7459	0.0971	0.0891	0.3895	0.6076	0.0959	0.0937
0.1019	0.0914	0.7513	0.3555	0.0976	0.0979	0.5753	0.0971	0.0972
0.0926	0.1035	0.7446	0.0941	0.099	0.1052	0.6219	0.3851	0.0969
0.3884	0.0924	0.7256	0.0961	0.0958	0.0934	0.5673	0.0986	0.0941
0.6564	0.1002	0.7227	0.6204	0.0944	0.6791	0.751	0.6588	0.6147
0.1011	0.0991	0.6921	0.664	0.7142	0.6676	0.6807	0.7118	0.6028
