"leafN.mg.g"	"height.m"	"rootN.mg.g"	"SLA_m2.kg"	"root.depth_m"	"rootDiam.mm"	"SRL.groot.cahill.merge"	"RTD.groot.cahill.merge"	"RMF.g.g"
0.6808	0.0941	0.5245	0.3799	0.7091	0.7617	0.6951	0.7423	1.3836
0.6895	0.5298	0.518	0.0974	0.6689	0.7427	0.7286	0.7391	1.4351
0.099	0.1022	0.6032	0.0972	0.0946	0.6312	0.6835	0.7116	0.0915
0.7317	0.6821	0.5913	0.0978	0.6778	0.6671	0.6989	0.7008	0.7105
0.6568	0.6814	0.5799	0.6509	0.0987	0.7086	0.7043	0.7166	0.7108
0.1009	0.1042	0.0956	0.0985	3.2594	2.0004	2.8394	3.0611	3.2201
0.0966	0.0923	0.0997	0.3783	0.0939	0.1052	0.0971	0.0983	0.0964
0.0975	0.0912	0.3265	0.0994	0.1008	0.0943	0.0933	0.1033	0.095
0.0977	0.0999	0.09	0.0983	0.09	0.0999	0.3662	0.0969	0.0986
0.0984	0.0991	0.3269	0.0976	0.0995	0.0934	0.0945	0.0956	0.0936
0.0999	0.3918	0.0909	0.0986	0.0947	0.0974	0.0988	0.0989	0.0948
0.0958	0.0888	0.0948	0.0961	0.0968	0.0915	0.3588	0.1047	0.0934
0.0957	0.09	0.0972	0.0954	0.0921	0.3376	0.0955	0.0951	0.0954
0.3961	0.0989	0.0897	0.0929	0.0927	0.097	0.0926	0.0945	0.0947
0.0972	0.1004	0.0888	0.0972	0.1039	0.091	0.3617	0.0963	0.0986
0.0974	0.0994	0.0966	0.1021	0.0938	0.0986	0.0977	0.3819	0.1013
0.6424	0.5086	0.5561	0.5653	0.6316	0.1002	0.0941	0.0952	0.0948
0.0961	0.0913	0.5335	0.0959	0.6084	0.0988	0.095	0.5587	0.1034
0.097	0.0997	0.5479	0.0974	0.6398	0.1017	0.0949	0.5622	0.0997
0.1003	0.6797	0.5712	0.6253	0.6521	0.6725	0.6795	0.7037	0.7029
0.7095	0.0935	0.6087	0.5236	0.6434	0.7936	0.6632	0.7735	0.7513
0.6854	0.4051	0.5935	0.098	0.6185	0.7749	0.6557	0.7384	0.7166
0.097	0.0947	0.0933	0.6187	0.0947	0.6765	0.0951	0.6581	0.0976
0.095	0.096	0.0883	0.5233	0.0974	0.0964	0.5303	0.5349	0.1001
0.0998	0.0968	0.0946	0.0954	0.4904	0.0943	0.0937	0.0983	0.0906
0.1067	0.0926	0.4363	0.5465	0.0933	0.5176	0.5826	0.614	0.0993
0.5415	0.5648	0.4639	0.0999	0.5143	0.5581	0.6002	0.5963	0.6135
0.5639	0.1002	0.4696	0.0969	0.5388	0.6148	0.5884	0.5587	0.6169
0.0957	0.0956	0.0951	0.0882	0.0944	0.3892	0.0954	0.0936	0.5697
0.095	0.0941	0.0966	0.0979	0.0969	0.3968	0.0975	0.0923	0.5571
