"","Taxon","site_code","mean.after.control.0","mean.after.drought.0","mean.before.control.0","mean.before.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"29","AGROPYRON CRISTATUM","nplatte.us",0,0,0,2,-2,0,-2,15.25,0.4498,9.53,13.44438801,0.4572,0.483923882,39.92666667,0.128451606,"GRASS","PERENNIAL","GRASS"
"30","AGROSTIS CANINA","lygraint.no",1,1,1,1,0,0,0,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"31","AGROSTIS CANINA","lygraold.no",0,2,0,1,1,0,1,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"32","AGROSTIS CAPILLARIS","pineta.es",47,37.16666667,0,0,37.16666667,47,-9.833333333,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"GRASS","PERENNIAL","GRASS"
"33","AGROSTIS CAPILLARIS","lygraint.no",1,1,2,1,0,-1,1,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"GRASS","PERENNIAL","GRASS"
"34","AGROSTIS GIGANTEA","rhijn.nl",0,0,4,2,-2,-4,2,16.68362281,0.94615,NA,25.95773333,0.3556,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"35","AGROSTIS MONTEVIDENSIS","marcdrt.ar",8,5.5,20,25,-19.5,-12,-7.5,NA,0.229358974,NA,12,NA,NA,NA,NA,"FORB","PERENNIAL","GRASS"
"36","AGROSTIS RUPESTRIS","passogavia.it",2.5,1.7,1.54,0.8,0.9,0.96,-0.06,17,0.035,NA,15.5,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"37","AGROSTIS SCABRA","kernb.ca",3,1.333333333,3.5,2.333333333,-1,-0.5,-0.5,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"38","AGROSTIS SCABRA","kernnu.ca",0,0,0,1,-1,0,-1,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"39","AGROSTIS SCABRA","mattheis.ca",5,3,3.5,3,0,1.5,-1.5,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"40","AGROSTIS SCABRA","cedartrait.us",0,0,2.333333333,1.5,-1.5,-2.333333333,0.833333333,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"41","AGROSTIS STOLONIFERA","elvadrt.ee",1,1,0,0,1,1,0,31.5111841,0.414942857,6.2,31.65060428,0.3048,0.212659866,353.7043306,0.1,"GRASS","PERENNIAL","GRASS"
