"","Taxon","site_code","mean.after.control.0","mean.after.drought.0","mean.before.control.0","mean.before.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"22","ACTINOBOLE ULIGINOSUM","brokenh.au",0,0,4.333333333,3,-3,-4.333333333,1.333333333,NA,0.015,NA,18.35659068,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"23","AGASTACHE FOENICULUM","brookdale.ca",0,1.5,0,8.333333333,-6.833333333,0,-6.833333333,14.7,NA,NA,15.29,0.124,0.18,56.33396667,0.42,"FORB","PERENNIAL","FORB"
"24","AGOSERIS GLAUCA","matador.ca",0,0,0.5,0.5,-0.5,-0.5,0,17.172,0.1183,8.85,19.71405909,0.1524,0.12631018,56.33396327,NA,"FORB","PERENNIAL","FORB"
"25","AGOSERIS GLAUCA","kernnu.ca",1,0,0,0,0,1,-1,17.172,0.1183,8.85,19.71405909,0.1524,0.12631018,56.33396327,NA,"FORB","PERENNIAL","FORB"
"26","AGRIMONIA EUPATORIA","allmendb.ch",0,0,0,0.25,-0.25,0,-0.25,14.78,0.087,14.78,13.66,1.55,0.1143,NA,NA,"FORB","PERENNIAL","FORB"
"27","AGRIMONIA EUPATORIA","rhijn.nl",0,0,1,0,0,-1,1,14.78,0.087,14.78,13.66,1.55,0.1143,NA,NA,"FORB","PERENNIAL","FORB"
"28","AGRIMONIA EUPATORIA","elvadrt.ee",0,1,0,1,0,0,0,14.78,0.087,14.78,13.66,1.55,0.1143,NA,NA,"FORB","PERENNIAL","FORB"
"48","ALCHEMILLA PENTAPHYLLEA","passogavia.it",35,53.8,32.6,48.6,5.2,2.4,2.8,37,0.07,NA,21,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"49","ALKANNA TINCTORIA","kiskun.hu",0,0,3.666666667,1.833333333,-1.833333333,-3.666666667,1.833333333,11.2,0.4,NA,31.44654088,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"50","ALLIONIA INCARNATA","cerrillos.ar",0.94,1.25,0,0,1.25,0.94,0.31,NA,0.4,NA,21.88917424,0.4,NA,10.31,0.665,"FORB","PERENNIAL","FORB"
"51","ALLIONIA INCARNATA","sevblack.us",9,0,1.5,0,0,7.5,-7.5,NA,0.4,NA,21.88917424,0.4,NA,10.31,0.665,"FORB","PERENNIAL","FORB"
"52","ALLIUM ACUMINATUM","oreaa.us",0,1,0.5,0,1,-0.5,1.5,NA,0.3048,NA,8.45,0.1524,NA,NA,NA,"FORB","PERENNIAL","FORB"
"53","ALLIUM CERNUUM","brookdale.ca",1,0,5,0,0,-4,4,45.1745,NA,NA,6.843,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"54","ALLIUM VINEALE","rhijn.nl",0,0,1,1,-1,-1,0,NA,0.5375,NA,17.40703293,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
