,Species,leafN.mg.g,Height.m,rootN.mg.g,SLA.mg.g,Root.depth.m,SRL.fine.cm.g,root.diam.mm,SLA.no.petiole.mm2.mg,SLA.unknown.petiole.mm2.mg,SLA.petiole.mm2.mg
6,Abarema adenophora,23.96909,NA,NA,12.41572222,NA,NA,NA,NA,12.41572222,NA
7,Abarema brachystachya,30.4,10,NA,NA,NA,NA,NA,NA,NA,NA
8,Abarema jupunba,30.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Abarema macradenia,23.39490891,32.15111597,NA,7.526648489,NA,NA,NA,7.861665103,NA,7.191631874
10,Abarema mataybifolia,36.83501,10,NA,17.38782938,NA,NA,NA,NA,17.38782938,NA
11,Abarema piresii,23.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Abatia parviflora,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Abelia grandiflora_x,NA,1.8288,NA,NA,0.3048,NA,NA,NA,NA,NA
14,Abies alba,15.53902247,37.99504,NA,6.364538576,NA,NA,NA,5.461842679,7.076241182,6.555531868
15,Abies amabilis,9.5,51.764,NA,NA,0.9144,NA,NA,NA,NA,NA
16,Abies balsamea,11.70736724,17.17906667,NA,7.55268,0.508,NA,NA,10,5.10536,NA
17,Abies borisii-regis_x,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
18,Abies bracteata,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
19,Abies cephalonica,NA,35,NA,NA,NA,NA,NA,NA,NA,NA
20,Abies chensiensis,NA,70,NA,NA,NA,NA,NA,NA,NA,NA
21,Abies cilicica,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
22,Abies concolor,13.06666667,37.16,NA,NA,1.016,NA,NA,NA,NA,NA
23,Abies delavayi,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
24,Abies fargesii,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
25,Abies firma,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
26,Abies fraseri,18.07777778,20.358,NA,5.538897818,0.1524,NA,NA,NA,5.538897818,NA
27,Abies grandis,14.6,58.3225,NA,NA,1.016,NA,NA,NA,NA,NA
28,Abies holophylla,NA,45,NA,NA,NA,NA,NA,NA,NA,NA
29,Abies homolepis,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
30,Abies kawakamii,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
31,Abies koreana,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
32,Abies lasiocarpa,13.6885,24.513,NA,3.615524847,1.016,NA,NA,3.615524847,NA,NA
33,Abies magnifica,NA,45.24,NA,NA,0.508,NA,NA,NA,NA,NA
34,Abies mariesii,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
35,Abies nephrolepis,14.1,45,NA,NA,NA,NA,NA,NA,NA,NA
36,Abies nordmanniana,NA,41.11111111,NA,NA,NA,NA,NA,NA,NA,NA
37,Abies numidica,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
38,Abies pindrow,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
39,Abies pinsapo,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
40,Abies procera,NA,65.78733333,NA,NA,0.508,NA,NA,NA,NA,NA
41,Abies recurvata,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
42,Abies religiosa,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
43,Abies sachalinensis,10.8,40,NA,NA,NA,NA,NA,NA,NA,NA
44,Abies sibirica,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
45,Abies spectabilis,NA,65,NA,NA,NA,NA,NA,NA,NA,NA
46,Abies squamata,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
47,Abies veitchii,NA,26.25,NA,NA,NA,NA,NA,NA,NA,NA
48,Abrus precatorius,NA,NA,NA,48.86841426,NA,NA,NA,NA,48.86841426,NA
49,Abuta grandifolia,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Abuta panamensis,27.7,NA,NA,16.34465512,NA,NA,NA,17.34103455,NA,15.3482757
51,Abuta racemosa,22.24535331,NA,NA,14.51008812,NA,NA,NA,15.10878768,NA,13.91138856
52,Abuta rufescens,18.13333333,NA,NA,5.774985047,NA,NA,NA,NA,5.774985047,NA
53,Abutilon cryptopetalum,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA
54,Abutilon fraseri,NA,0.35,NA,9.802755505,NA,NA,NA,NA,8.210340673,11.39517034
55,Abutilon indicum,32.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Abutilon theophrasti,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
57,Acacia aneura,23.47470215,9.8,30.585,5.649545161,NA,NA,NA,9.22,2.598783597,5.129851885
58,Acacia auriculiformis,21.94965033,NA,NA,10.63165431,NA,NA,NA,11.61,11.61,8.67496293
59,Acacia binervata,NA,NA,NA,25,NA,NA,NA,25,NA,NA
60,Acacia brachybotrya,NA,1.5,NA,5.465035743,NA,NA,NA,NA,5.465035743,5.465035743
61,Acacia brachystachya,NA,3.916666667,NA,4.333276639,NA,NA,NA,NA,4.324368852,4.342184426
62,Acacia brownii,NA,0.2,NA,3.99525,NA,NA,NA,NA,3.99525,3.99525
63,Acacia burkei,20.29326967,4.641666667,NA,NA,NA,NA,NA,NA,NA,NA
64,Acacia cambagei,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
65,Acacia cana,NA,1,NA,2.540003873,NA,NA,NA,NA,2.540003873,2.540003873
66,Acacia celsa,NA,NA,NA,6.896551724,NA,NA,NA,NA,6.896551724,NA
67,Acacia cheelii,NA,4,NA,3.070968372,NA,NA,NA,NA,3.070968372,3.070968372
68,Acacia cognata,NA,NA,NA,23.6,NA,NA,NA,23.6,NA,NA
69,Acacia colei,44.01807887,NA,32.44,17.59603706,NA,NA,NA,NA,NA,17.59603706
70,Acacia colletioides,19.3,2.075,NA,2.289238285,NA,NA,NA,NA,2.170300251,2.408176318
71,Acacia conferta,NA,1.5,NA,5.348913043,NA,NA,NA,NA,5.348913043,5.348913043
72,Acacia confusa,29.6,NA,NA,7.911392405,NA,NA,NA,7.911392405,NA,NA
73,Acacia coriacea,28.72734227,NA,36.67,12.48607821,NA,NA,NA,NA,NA,12.48607821
74,Acacia cultriformis,NA,1.5,NA,2.482144482,NA,NA,NA,NA,2.482144482,2.482144482
75,Acacia cyclops,NA,3.8288,NA,NA,0.4572,NA,NA,NA,NA,NA
76,Acacia dealbata,48.81,NA,31.42,17.30676468,NA,NA,NA,12.9,NA,21.71352936
77,Acacia deanei,NA,6,NA,5.206056701,NA,NA,NA,NA,5.206056701,5.206056701
78,Acacia decora,NA,2,NA,5.868585438,NA,NA,NA,NA,5.868585438,5.868585438
79,Acacia decurrens,NA,NA,NA,9.359501923,NA,NA,NA,NA,NA,9.359501923
80,Acacia dimidiata,21.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Acacia doratoxylon,20.38216024,4.833333333,NA,3.964019153,NA,NA,NA,4.570217509,3.357599335,3.964240615
82,Acacia elata,NA,NA,NA,22.5,NA,NA,NA,22.5,NA,NA
83,Acacia excelsa,NA,10,NA,4.27,NA,NA,NA,NA,NA,4.27
84,Acacia falcata,NA,NA,NA,7.812985653,NA,NA,NA,NA,7.812985653,NA
85,Acacia floribunda,22.35,10,NA,7.407726292,NA,NA,NA,NA,7.229207607,7.586244977
86,Acacia hakeoides,NA,4,NA,3.497940112,NA,NA,NA,NA,3.497253483,3.498626742
87,Acacia havilandiorum,15.42469556,NA,NA,3.102808566,NA,NA,NA,3.806784212,NA,2.398832919
88,Acacia holosericea,19.48,5,NA,NA,NA,NA,NA,NA,NA,NA
89,Acacia homalophylla,NA,6.5,NA,3.151852472,NA,NA,NA,NA,3.082469963,3.221234982
90,Acacia implexa,54.07738984,NA,33.97,17.15059527,NA,NA,NA,10.9,NA,23.40119055
91,Acacia irrorata,51.54,11,29.36,18.47049502,NA,NA,NA,18.05,17.41214559,19.94933947
92,Acacia jonesii,NA,NA,NA,24.3,NA,NA,NA,24.3,NA,NA
93,Acacia kempeana,NA,3,NA,1.975106383,NA,NA,NA,NA,1.975106383,1.975106383
94,Acacia koa,27.55,32.004,NA,10.54852321,0.762,NA,NA,10.54852321,NA,NA
95,Acacia koaia,NA,15.24,NA,NA,0.9144,NA,NA,NA,NA,NA
96,Acacia ligulata,NA,4,NA,14.26027273,NA,NA,NA,25.39054545,NA,3.13
97,Acacia lineata,NA,1.1,NA,4.641241379,NA,NA,NA,NA,4.641241379,4.641241379
98,Acacia longifolia,NA,6.096,NA,8.653068162,0.6096,NA,NA,NA,8.653068162,NA
99,Acacia longissima,NA,1.45,NA,5.189089402,NA,NA,NA,NA,5.189089402,5.189089402
100,Acacia mangium,22.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Acacia mearnsii,38.99,NA,32.08,19.3428682,NA,NA,NA,14.95,NA,23.7357364
102,Acacia melanoxylon,49.73379511,12.096,33.852,11.84102739,0.7112,NA,NA,15.66,7.760302725,12.10277945
103,Acacia mimula,23.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Acacia muelleriana,NA,0.5,NA,3.135443038,NA,NA,NA,NA,3.135443038,3.135443038
