"","AccSpeciesName","Plant biomass and allometry: Root mass fraction (fraction of root dry mass per whole plant dry mass)","Fine root tissue density (fine root dry mass per fine root volume)","Root length per root dry mass (specific root length, SRL)","Root tissue density (root dry mass per root volume)"
"88","Aegilops uniaristata",0.333166666666667,NA,NA,NA
"89","Aegilops vavilovii",0.290666666666667,NA,NA,NA
"90","Aegilops ventricosa",0.315333333333333,NA,NA,NA
"91","Aegopodium podagraria",0.5645,NA,NA,NA
"92","Aesculus hippocastanum",0.235996505,0.159758648,NA,NA
"93","Aesculus indica",0.271,NA,NA,NA
"94","Aesculus parviflora",NA,0.1039049,NA,NA
"95","Aextoxicon punctatum",0.233333333333333,NA,NA,NA
"96","Afrocarpus falcatus",NA,0.31,NA,NA
"97","Afrocarpus gracilior",0.3075,NA,NA,NA
"98","Afzelia africana",NA,NA,538.2394297,NA
"99","Agastache foeniculum",NA,0.18,NA,NA
"100","Agathis australis",0.2135,0.237784528733333,NA,NA
"101","Agathis kinabaluensis",NA,0.21125,NA,NA
"102","Ageratina adenophora",0.18225,NA,NA,NA
"103","Ageratina altissima",NA,0.161433,16896.697164,0.161432544
"104","Aglaia exstipulata",NA,0.7872410045,NA,NA
"105","Aglaia odorata",NA,0.408691044,NA,NA
"106","Aglaia odoratissima",NA,0.352860225,NA,NA
"107","Aglaia squamulosa",NA,0.241,NA,NA
"108","Agonis flexuosa",0.09225,NA,NA,NA
"109","Agoseris glauca",0.4773678476,NA,NA,0.126310184666667
"110","Agoseris heterophylla",NA,NA,25849.06931,NA
"111","Agropyron desertorum",0.473,NA,NA,NA
"112","Agropyron sp",NA,NA,NA,0.53
"113","Agrostis bourgeaei",NA,0.12,NA,NA
"114","Agrostis canina",0.34295,NA,NA,0.28
"115","Agrostis capillaris",0.360179496402878,0.153459029194805,15257.5684231711,0.190789084783134
"116","Agrostis gigantea",0.34235,NA,NA,NA
"117","Agrostis lyallii",NA,0.10975981583871,10081.789574371,0.109757924419355
"118","Agrostis pourretii",0.36,NA,NA,NA
"119","Agrostis scabra",NA,0.2,NA,NA
"120","Agrostis sp",NA,NA,NA,0.38
"121","Agrostis stolonifera",0.269,0.239,34817.95989,0.2556223175
"122","Agrostis striata",NA,0.1260665356,8080.80859883333,0.126066160833333
"123","Agrostis vinealis",0.4,NA,9579.514194,NA
"124","Ailanthus altissima",0.4965,NA,50.36563768,NA
"125","Ajania potaninii",NA,NA,260.5379087,NA
"126","Ajuga genevensis",NA,NA,15294.24324,0.202840909
"127","Ajuga reptans",NA,NA,22043.860796,0.068
"128","Akebia quinata",NA,NA,591.2036511,NA
"129","Alangium chinense",NA,0.32,NA,NA
"130","Albizia lebbeck",NA,NA,154.2555084275,NA
"131","Albizia zygia",0.2724,NA,NA,NA
"132","Alchorneopsis portoricensis",0.243,NA,NA,NA
"133","Alectryon excelsus",NA,0.17519188775,NA,NA
"134","Aleurites moluccanus",0.198333333333333,NA,NA,NA
"135","Allantoma decandra",0.34,NA,NA,NA
"136","Allium textile",NA,0.104998558,NA,NA
"137","Allium vineale",0.3951,NA,NA,NA
"138","Allophylus abyssinicus",NA,0.41,NA,NA
"139","Alloteropsis semialata",0.1671,NA,NA,0.97375
"140","Alniphyllum fortunei",NA,0.18,761.790651357143,0.400821959785714
"141","Alnus alnobetula",0.2155869265,NA,NA,NA
"142","Alnus cremastogyne",0.16005,NA,NA,NA
"143","Alnus formosana",0.1835,NA,NA,NA
"144","Alnus glutinosa",0.200322228851852,0.406274606,NA,NA
"145","Alnus incana",0.207125,NA,NA,NA
"146","Alnus rubra",0.239714285714286,NA,NA,NA
"147","Alopecurus bulbosus",NA,0.189,NA,NA
"148","Alopecurus geniculatus",0.27655,0.1184927922,13705.59928055,0.13700142545
"149","Alopecurus pratensis",0.396666666666667,0.11912844,21197.252698,0.138927888637681
"150","Alseis blackiana",NA,0.2752988461,NA,NA
"151","Alseodaphne hainanensis",NA,NA,220.355138731176,0.357737294176471
"152","Alstonia scholaris",NA,0.1530638535,NA,NA
"153","Alternanthera philoxeroides",0.165,NA,NA,NA
"154","Amaranthus blitoides",NA,0.533716,8854.65685,0.431878305
"155","Amaranthus blitum",0.1737875,NA,NA,NA
"156","Amaranthus cruentus",0.1801625,NA,NA,NA
"157","Amaranthus hybridus",0.38,NA,NA,NA
"158","Amaranthus hypochondriacus",0.2377,NA,NA,NA
"159","Amaranthus retroflexus",0.269857142857143,0.492098,18144.98879375,0.4920984925
"160","Amaranthus tricolor",0.175016666666667,NA,NA,NA
"161","Ambrosia artemisiifolia",NA,0.08,NA,NA
"162","Ambrosia dumosa",0.39,NA,NA,NA
"163","Ambrosia psilostachya",NA,0.373588,NA,NA
"164","Ambrosia salsola",0.42,NA,3833.80520137,NA
"165","Amburana cearensis",0.52863,NA,NA,NA
"166","Amelanchier alnifolia",NA,0.503968254,NA,NA
"167","Amelanchier sp",NA,NA,8956.521739,NA
"168","Ammannia coccinea",0.3877,NA,NA,NA
"169","Ammophila arenaria",0.2535,NA,NA,NA
"170","Amomyrtus luma",0.219,NA,NA,NA
"171","Amomyrtus meli",0.204333333333333,NA,NA,NA
"172","Amorpha canescens",NA,0.585778,NA,NA
"173","Ampelocera ruizii",0.294550685642857,NA,NA,NA
"174","Amphibromus fluitans",NA,0.083984375,12103.6133275595,0.104746978547619
"175","Amphipterygium adstringens",0.485,NA,NA,NA
"176","Anadenanthera colubrina",0.660931991,NA,NA,NA
"177","Anaxagorea javanica",NA,0.3452499625,NA,NA
"178","Andropogon gayanus",NA,NA,NA,0.78
"179","Andropogon gerardii",0.416157142857143,0.27992125,4538.83903,0.492068965
"180","Andropogon hallii",NA,NA,NA,0.41
"181","Andropogon sp",NA,NA,NA,0.5875
"182","Androsace occidentalis",NA,0.407107843,NA,NA
"183","Anemone cylindrica",0.3975,0.19,NA,NA
"184","Anemone narcissiflora",NA,NA,2476.000002,NA
"185","Angophora floribunda",0.386666666666667,NA,NA,NA
"186","Anisotome aromatica",0.408858866666667,NA,2655.21060961111,NA
"187","Annona herzogii",0.365073574666667,NA,NA,NA
"188","Anoda cristata",0.276566666666667,NA,NA,NA
"189","Antennaria dioica",NA,NA,3279.999998,NA
"190","Antennaria neglecta",NA,0.1760535,11193.40279,0.15569332
"191","Antennaria parvifolia",0.473663432333333,0.250416667,NA,NA
"192","Anthemis cretica",NA,NA,2702,NA
"193","Anthosachne scabra",NA,NA,NA,0.53
"194","Anthoxanthum odoratum",0.327022584903838,0.114313918372093,23307.1623852059,0.17161642067708
"195","Anthoxanthum sp",NA,NA,NA,0.37
"196","Anthriscus sylvestris",0.296528571428571,NA,10381.4943533333,0.139166666666667
"197","Anthyllis cytisoides",NA,0.574054368,NA,NA
"198","Anthyllis vulneraria",0.2235,0.0549,18430.3721,0.315533981
"199","Antidesma cuspidatum",0.4355,NA,NA,NA
"200","Antidesma maclurei",NA,0.29,NA,NA
"201","Apeiba tibourbou",0.2385,NA,NA,NA
"202","Apocynum androsaemifolium",NA,NA,5066.666667,NA
"203","Apocynum cannabinum",NA,0.32674,5403.91637666667,0.326740066666667
"204","Apodytes dimidiata",NA,0.34,NA,NA
"205","Apoplanesia paniculata",0.322,NA,NA,NA
"206","Aporosa subcaudata",NA,0.458032258,NA,NA
"207","Aporosa villosa",NA,0.34,NA,NA
"208","Aporosa yunnanensis",NA,0.36,NA,NA
"209","Aquilegia canadensis",0.22185,NA,NA,NA
