"","site_code","Taxon","mean.before.control","mean.before.drought","mean.after.control","mean.after.drought","drought.after.minus.before","control.after.minus.before","cover.change","mean.after.drought.plus","mean.before.drought.plus","mean.after.control.plus","mean.before.control.plus","drought.after.minus.before.plus","control.after.minus.before.plus","cover.change.plus","relative.cover.change","log.fold.change.cover"
"21","allmendo.ch","POLYGALA VULGARIS",0,0.25,0.375,0.5,0.25,0.375,-0.125,0.5000001,0.2500001,0.3750001,1e-07,0.25,0.375,-0.125,-0.49999980000008,5.33333084444553e-07
"22","allmendo.ch","PLANTAGO LANCEOLATA",0.416666667,0.25,0.75,0.75,0.5,0.333333333,0.166666667,0.7500001,0.2500001,0.7500001,0.416666767,0.5,0.333333333,0.166666667,0.666666401333439,1.66666640133344
"23","allmendo.ch","EUPHORBIA CYPARISSIAS",2.25,0.25,2.25,1.75,1.5,0,1.5,1.7500001,0.2500001,2.2500001,2.2500001,1.5,0,1.5,5.99999760000096,6.99999760000096
"24","nnss.us","SCHISMUS ARABICUS",0.3067008,0.25714855,2.27615137,0.320392533,0.063243983,1.96945057,-1.906206587,0.320392633,0.25714865,2.27615147,0.3067009,0.063243983,1.96945057,-1.906206587,-7.4128586208794,0.167885103888316
"25","nnss.us","LOESELIASTRUM SCHOTTII",0.0685167,0.27351615,0.389588286,0.0687285,-0.20478765,0.321071586,-0.525859236,0.0687286,0.27351625,0.389588386,0.0685168,-0.20478765,0.321071586,-0.525859236,-1.92258864327074,0.0441921808093453
"26","yarradrt.au","SENECIO MADAGASCARIENSIS",0.5,0.3,2,15,14.7,1.5,13.2,15.0000001,0.3000001,2.0000001,0.5000001,14.7,1.5,13.2,43.9999853333382,12.4999977916673
"27","allmendb.ch","PLANTAGO LANCEOLATA",0.25,0.375,0.25,1,0.625,0,0.625,1.0000001,0.3750001,0.2500001,0.2500001,0.625,0,0.625,1.66666622222234,2.66666622222234
"28","allmendo.ch","GLOBULARIA VULGARIS",0.375,0.375,0.583333333,1.333333333,0.958333333,0.208333333,0.75,1.333333433,0.3750001,0.583333433,0.3750001,0.958333333,0.208333333,0.75,1.99999946666681,2.28571406604085
"29","nnss.us","ERIOGONUM MACULATUM",1.5137421,0.3792902,1.562988243,0.6872779,0.3079877,0.049246143,0.258741557,0.687278,0.3792903,1.562988343,1.5137422,0.3079877,0.049246143,0.258741557,0.682172881826928,1.7549182298386
"30","passogavia.it","PRIMULA GLUTINOSA",0.6,0.4,0.98,0.75,0.35,0.38,-0.03,0.7500001,0.4000001,0.9800001,0.6000001,0.35,0.38,-0.0300000000000001,-0.0749999812500049,1.14795912393275
"31","jrnchi.us","PHYSALIS HEDERIFOLIA",0.69929288,0.41075845,0.44768225,0.0687285,-0.34202995,-0.25161063,-0.09041932,0.0687286,0.41075855,0.44768235,0.69929298,-0.34202995,-0.25161063,-0.0904193200000001,-0.22012766380639,0.261360577625104
"32","nnss.us","CRYPTANTHA CIRCUMSCISSA",0.19404304,0.41422252,1.06477779,0.27386215,-0.14036037,0.87073475,-1.01109512,0.27386225,0.41422262,1.06477789,0.19404314,-0.14036037,0.87073475,-1.01109512,-2.44094617527165,0.120486289459003
"33","allmendo.ch","THYMUS SERPYLLUM",1,0.416666667,1.5,1.833333333,1.416666666,0.5,0.916666666,1.833333433,0.416666767,1.5000001,1.0000001,1.416666666,0.5,0.916666666,2.19999946864013,2.93333288423122
"34","allmendo.ch","POTENTILLA GRANDIFLORA",1.75,0.416666667,5.25,3.25,2.833333333,3.5,-0.666666667,3.2500001,0.416666767,5.2500001,1.7500001,2.833333333,3.5,-0.666666667,-1.59999961552009,2.59999955296773
"35","ebro.es","HERNIARIA FRUTICOSA",0.589631778,0.464549556,0.857831333,0.613775556,0.149226,0.268199555,-0.118973555,0.613775656,0.464549656,0.857831433,0.589631878,0.149226,0.268199555,-0.118973555,-0.256105140674133,0.908147759505374
"36","nnss.us","BROMUS RUBENS",0.319339489,0.4770241,2.98615225,0.48253192,0.00550782,2.666812761,-2.661304941,0.48253202,0.4770242,2.98615235,0.319339589,0.00550782,2.666812761,-2.661304941,-5.5789725992937,0.10817490604344
"37","nnss.us","ERIOPHYLLUM PRINGLEI",0.58499523,0.4966975,1.57694249,0.154395725,-0.342301775,0.99194726,-1.334249035,0.154395825,0.4966976,1.57694259,0.58499533,-0.342301775,0.99194726,-1.334249035,-2.68624014893569,0.115313461037411
"38","baddrt.de","GALIUM APARINE",0.26,0.5,0.07,0.1,-0.4,-0.19,-0.21,0.1000001,0.5000001,0.0700001,0.2600001,-0.4,-0.19,-0.21,-0.419999916000017,0.742856961633022
"39","cdpt_drt.us","MACHAERANTHERA PINNATIFIDA",0.5,0.5,0.3,0.1,-0.4,-0.2,-0.2,0.1000001,0.5000001,0.3000001,0.5000001,-0.4,-0.2,-0.2,-0.399999920000016,0.333333555555481
"40","allmendb.ch","CREPIS BIENNIS",0.25,0.5,1.75,0.5,0,1.5,-1.5,0.5000001,0.5000001,1.7500001,0.2500001,0,1.5,-1.5,-2.99999940000012,0.142857191836732
"41","capmcd.us","DICHELOSTEMMA CAPITATUM",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"42","credoj.au","MAIREANA TRICHOPTERA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"43","credom.au","GOODENIA MIMULOIDES",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"44","credom.au","MAIREANA TRICHOPTERA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"45","falls.au","VIOLA BETONICIFOLIA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"46","gmgranite.us","ERIOGONUM MACULATUM",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"47","gmmolar.us","CAMISSONIA PALMERI",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"48","gmmolar.us","CENTROSTEGIA THURBERI",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"49","jilpanger.au","BLENNOSPORA DRUMMONDII",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"50","jilpanger.au","Centrolepis STRIGOSA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"51","jilpanger.au","DROSERA GLANDULIGERA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"52","jilpanger.au","HYDROCOTYLE FOVEOLATA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"53","jilpanger.au","LEPIDOSPERMA CONGESTUM",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"54","jilpanger.au","MICROSERIS SCAPIGERA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"55","jilpanger.au","QUINETIA URVILLEI",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"56","jilpanger.au","ROMULEA ROSEA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"57","jilpanger.au","STIPA VAGINATA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"58","jilpanger.au","WAHLENBERGIA STRICTA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"59","kernb.ca","ANDROSACE SEPTENTRIONALIS",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"60","kernnu.ca","CAMPANULA ROTUNDIFOLIA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"61","matador.ca","VICIA AMERICANA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"62","sevblack.us","HOFFMANNSEGGIA DREPANOCARPA",0.5,0.5,0.5,0.5,0,0,0,0.5000001,0.5000001,0.5000001,0.5000001,0,0,0,0,1
"63","jilpanger.au","MILLOTIA MUELLERI",0.5,0.5,0.666666667,0.5,0,0.166666667,-0.166666667,0.5000001,0.5000001,0.666666767,0.5000001,0,0.166666667,-0.166666667,-0.333333267333347,0.750000037124994
"64","jilpanger.au","MILLOTIA TENUIFOLIA",0.5,0.5,0.666666667,0.5,0,0.166666667,-0.166666667,0.5000001,0.5000001,0.666666767,0.5000001,0,0.166666667,-0.166666667,-0.333333267333347,0.750000037124994
