"site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","RMF.g.g","local_lifespan","local_lifeform","functional_group","plant_id","impute.leafN.mg.g","impute.height.m","impute.rootN.mg.g","impute.SLA_m2.kg","impute.root.depth_m","impute.rootDiam.mm","impute.SRL.groot.cahill.merge","impute.RTD.groot.cahill.merge","impute.RMF.g.g"
"jilpanger.au","ACAENA ECHINATA",-3.5,NA,0.3384125,NA,13.19,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB",1,21.2129469346139,0.275874293311244,10.9623040823525,15.873998265208,0.341563513524161,0.23968224340913,41.0048518946548,0.37635230119327,0.415697598573927
"matador.ca","ACHILLEA MILLEFOLIUM",0.75,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",2,16.4530823202591,0.157881497820208,8.5068297437135,30.1662318965663,0.204490826287137,0.731135127692584,115.290828793872,0.210031818816839,0.550707557664872
"oreac.us","ACHILLEA MILLEFOLIUM",3.333333332,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",3,16.4767083126237,0.15809589682967,8.49690386990182,30.1758854680304,0.203975232264233,0.733368953905651,115.377893605878,0.209870251504078,0.552316831701904
"cedartrait.us","ACHILLEA MILLEFOLIUM",2.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",4,16.4639628932906,0.158122342266439,8.49483533581782,30.2413211398442,0.20387254702177,0.730060128637285,115.242383346753,0.210194689049413,0.54993255943076
"allmendo.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",5,16.46684778492,0.157635040153647,8.49209152157784,30.2400227836326,0.20479161047506,0.731473456744114,115.513091856787,0.209787308966709,0.551525070269383
"allmendb.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",6,16.4703343700912,0.158192975985869,8.49435106889371,30.2467624769059,0.205391362087637,0.730579217530825,115.779475577014,0.209474070459539,0.551987553136841
"kernb.ca","ACHILLEA MILLEFOLIUM",0.333333334,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",7,16.483967186617,0.157642107525389,8.51332872879265,30.2132334503994,0.205342800390758,0.734247877734017,115.978069206979,0.210225922720106,0.551564009970448
"elvadrt.ee","ACHILLEA MILLEFOLIUM",6,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",8,16.4828841682547,0.157841755655586,8.49477480094251,30.1776437991549,0.204747370263672,0.732605749165899,115.777822059629,0.209833482149441,0.55153459781454
"brookdale.ca","ACHILLEA MILLEFOLIUM",0.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",9,16.4843816939544,0.157928602516773,8.50675902001568,30.3109574825811,0.20453257543638,0.730887627657585,115.399552358536,0.209807306295228,0.551905471434893
"hard.us","ACHILLEA MILLEFOLIUM",-5.25,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",10,16.4579142758306,0.157671467692157,8.49460328780507,30.3179609222985,0.204929617713143,0.734075072891639,115.610466637896,0.209677651635198,0.550946270146945
