"","site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","RMF.g.g","local_lifespan","local_lifeform","functional_group","plant_id","impute.leafN.mg.g","impute.height.m","impute.rootN.mg.g","impute.SLA_m2.kg","impute.root.depth_m","impute.rootDiam.mm","impute.SRL.groot.cahill.merge","impute.RTD.groot.cahill.merge","impute.RMF.g.g","leafN.final","height.final","rootN.final","SLA.final","root.depth.final","rootDiam.final","SRL.final","RTD.final","RMF.final"
"1","milparinka.au","ABUTILON HALOPHILUM",0,NA,1,NA,7.966675479,NA,NA,NA,NA,NA,"PERENNIAL","SUBSHRUB","WOODY",1,26.7260203369886,0.616532724717491,9.41395351707614,8.71810823721459,0.338251589782635,0.292339376897754,16.4887182171466,0.300281167660888,0.344899186182465,26.7260203369886,1,9.41395351707614,7.966675479,0.338251589782635,0.292339376897754,16.4887182171466,0.300281167660888,0.344899186182465
"2","quilpie.au","ABUTILON HALOPHILUM",2.666666673,NA,1,NA,7.966675479,NA,NA,NA,NA,NA,"PERENNIAL","SUBSHRUB","WOODY",2,26.6710415323145,0.608978186198758,9.4021055748232,8.67742449545971,0.339371028896918,0.292509480746753,16.3914710123956,0.301361145304792,0.345340710143629,26.6710415323145,1,9.4021055748232,7.966675479,0.339371028896918,0.292509480746753,16.3914710123956,0.301361145304792,0.345340710143629
"3","gmmolar.us","ACACIA GREGGII",0,30.38475,7.78785,NA,34.95352095,5.5,NA,52.9631553,NA,0.248572826,"PERENNIAL","TREE","LEGUME",3,31.2443657701294,5.65705830333658,19.0320251330114,30.4160581533129,3.71107529575649,0.356013992674368,55.2993964254895,0.11362424135972,0.259779892653178,30.38475,7.78785,19.0320251330114,34.95352095,5.5,0.356013992674368,52.9631553,0.11362424135972,0.248572826
"4","jilpanger.au","ACAENA ECHINATA",-3.5,NA,0.3384125,NA,13.19,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB",4,19.3234786126206,0.351397153674581,8.73258201188444,14.7654288262614,0.887186341815504,0.361660376408523,19.4637826948792,0.365026376498223,0.294337512172909,19.3234786126206,0.3384125,8.73258201188444,13.19,0.887186341815504,0.361660376408523,19.4637826948792,0.365026376498223,0.294337512172909
"5","nnss.us","ACAMPTOPAPPUS SHOCKLEYI",1.5232314,24.8,NA,NA,NA,0.4,NA,NA,NA,NA,"PERENNIAL","SHRUB","WOODY",5,21.6651950354093,0.266675535990507,9.80566548673688,19.9767692630103,0.40310631179059,0.393324796380353,90.4804828393849,0.168359101118264,0.379792292230018,24.8,0.266675535990507,9.80566548673688,19.9767692630103,0.4,0.393324796380353,90.4804828393849,0.168359101118264,0.379792292230018
"6","cowidrt.ca","ACER MACROPHYLLUM",-1,26.4,20.17066667,15,29.548,0.6096,NA,NA,NA,NA,"PERENNIAL","TREE","WOODY",6,24.2867453520203,12.8719581148067,10.7162590515915,25.6494627746255,0.379016366947954,0.184801154070792,49.3351621590408,0.36283720994896,0.47723884447746,26.4,20.17066667,15,29.548,0.6096,0.184801154070792,49.3351621590408,0.36283720994896,0.47723884447746
"7","matador.ca","ACHILLEA MILLEFOLIUM",0.75,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",7,16.4758615965537,0.158244870344018,8.50422934691656,30.1519928260649,0.204406976508204,0.7340002239909,115.685831714206,0.209842809785865,0.551059974098397,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"8","oreac.us","ACHILLEA MILLEFOLIUM",3.333333332,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",8,16.4863042400164,0.157567593359363,8.50077241579706,30.1793807136109,0.205082323024367,0.730561633316891,115.36704631083,0.210279001156327,0.551325446136116,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"9","cedartrait.us","ACHILLEA MILLEFOLIUM",2.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",9,16.4680474709936,0.157850097302221,8.49647549891379,30.2717520600313,0.20456021731588,0.732095958638497,115.678875436846,0.209902637486651,0.549649618747727,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"10","allmendo.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",10,16.4846805968468,0.157753136689053,8.50261461676774,30.271653432724,0.204645568617023,0.731895139507862,115.348548281648,0.210339257587212,0.551102318795894,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"11","allmendb.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",11,16.4902016361238,0.157937950185512,8.50190145936091,30.2911879078956,0.204054882831057,0.730714671489171,115.325429916033,0.210327996235414,0.549183058130417,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"12","kernb.ca","ACHILLEA MILLEFOLIUM",0.333333334,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",12,16.4739144780515,0.158042615768589,8.49145857935456,30.1884608942782,0.205068317316442,0.733256955333655,115.277409903866,0.210216632635525,0.551131132512098,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"13","elvadrt.ee","ACHILLEA MILLEFOLIUM",6,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",13,16.4675473850354,0.157724407366253,8.49301182550066,30.2017090884812,0.204201828865004,0.731781005473753,115.410476950096,0.20965432744459,0.550680326879216,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"14","brookdale.ca","ACHILLEA MILLEFOLIUM",0.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",14,16.4825430438793,0.157894017633653,8.50722186598459,30.2111240851793,0.204656523352867,0.732761304986116,115.807247426829,0.210236406017104,0.550751872551308,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"15","hard.us","ACHILLEA MILLEFOLIUM",-5.25,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",15,16.4749691386744,0.158257856387689,8.50186184125889,30.2348221799328,0.205134947609626,0.732945674467518,115.378095159743,0.210124482794706,0.550767578942975,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"16","cmss.us","ACHILLEA MILLEFOLIUM",-22,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB",16,16.4648039403934,0.158237269251926,8.49248744949571,30.1700739054526,0.2043956578515,0.732406044889495,115.443896259382,0.210022951886739,0.551418042112094,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646
"17","oreac.us","ACMISPON AMERICANUS",0.25,NA,NA,NA,18.35535977,NA,0.481,91.1,0.061,0.516,"ANNUAL","FORB","LEGUME",17,28.034137384454,0.11128850482497,17.503373295434,19.1117374630881,0.686555388143087,0.467272080746261,92.5039937027359,0.0651537152153734,0.496540270869726,28.034137384454,0.11128850482497,17.503373295434,18.35535977,0.686555388143087,0.481,91.1,0.061,0.516
"18","gmgranite.us","ACMISPON STRIGOSUS",1.380952381,29.9,0.0756,NA,21.8,NA,0.454,93.7,0.067,0.522,"ANNUAL","FORB","LEGUME",18,29.7412617049902,0.0774734199591587,17.5258995381581,21.8017336683729,0.650389281916491,0.450774848268983,94.6492466500187,0.0683194723603987,0.515820005407221,29.9,0.0756,17.5258995381581,21.8,0.650389281916491,0.454,93.7,0.067,0.522
"19","gmmolar.us","ACMISPON STRIGOSUS",0.645238096,29.9,0.0756,NA,21.8,NA,0.454,93.7,0.067,0.522,"ANNUAL","FORB","LEGUME",19,29.7584268481541,0.077295306636811,17.5419140367466,21.7970934336318,0.650106024863207,0.452339568130742,94.578866835047,0.0685348335614885,0.512916447140737,29.9,0.0756,17.5419140367466,21.8,0.650106024863207,0.454,93.7,0.067,0.522
"20","jrnchi.us","ACOURTIA NANA",-2.0048392,18.76667,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB",20,18.7822537074503,0.256460929510952,9.69378804437053,19.1639888135222,0.447250254253622,0.40187566860494,86.8756571952762,0.169660417772908,0.387157949571343,18.76667,0.256460929510952,9.69378804437053,19.1639888135222,0.447250254253622,0.40187566860494,86.8756571952762,0.169660417772908,0.387157949571343
"21","cobar.au","ACTINOBOLE ULIGINOSUM",0,NA,0.015,NA,18.51241452,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB",21,18.0514393369821,0.0326984079048482,8.77890131833856,19.9199869094116,0.36993629609655,0.431108188609835,82.3218814147434,0.19810295121255,0.444422618420621,18.0514393369821,0.015,8.77890131833856,18.51241452,0.36993629609655,0.431108188609835,82.3218814147434,0.19810295121255,0.444422618420621
"22","brokenh.au","ACTINOBOLE ULIGINOSUM",1.333333333,NA,0.015,NA,18.51241452,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB",22,18.0846864928973,0.037402742011477,8.83082459636789,19.6050094875142,0.377225445763925,0.429730877503644,81.6486683054703,0.196979279455017,0.440305886610527,18.0846864928973,0.015,8.83082459636789,18.51241452,0.377225445763925,0.429730877503644,81.6486683054703,0.196979279455017,0.440305886610527
